,neighbourhood_cleansed,price,room_type,accommodates,bathrooms_text,bedrooms,beds,review_scores_rating,latitude,longitude,full name
0,Sumida Ku,"$11,000.00",Entire home/apt,2,1 bath,1.0,2.0,4.78,35.71707,139.82608,東京都 墨田区 八広 二丁目
1,Kita Ku,"$7,208.00",Private room,1,1 shared bath,,1.0,4.98,35.73844,139.76917,東京都 北区 田端新町 一丁目
2,Shibuya Ku,"$23,066.00",Entire home/apt,6,1 bath,2.0,4.0,4.76,35.67878,139.67847,東京都 渋谷区 幡ケ谷 二丁目
3,Setagaya Ku,"$16,000.00",Private room,2,1 shared bath,,2.0,4.94,35.658,139.67134,東京都 世田谷区 代沢 二丁目
4,Adachi Ku,"$10,000.00",Private room,4,1.5 shared baths,,,4.71,35.744730998785165,139.79738412263163,東京都 足立区 千住河原町
5,Shibuya Ku,"$54,782.00",Entire home/apt,3,1 bath,1.0,1.0,4.96,35.65111,139.72165,東京都 渋谷区 広尾 五丁目
6,Setagaya Ku,"$7,571.00",Private room,1,1 shared bath,,2.0,4.79,35.60742,139.67616,東京都 世田谷区 奥沢 二丁目
7,Katsushika Ku,"$16,000.00",Entire home/apt,4,2 baths,2.0,4.0,4.93,35.73987,139.85176,東京都 葛飾区 立石 七丁目
8,Shinjuku Ku,"$39,143.00",Entire home/apt,2,1 bath,1.0,1.0,4.91,35.70263,139.74147,東京都 新宿区 津久戸町
9,Meguro Ku,"$29,286.00",Entire home/apt,10,2.5 baths,2.0,2.0,4.77,35.62039,139.69983,東京都 目黒区 目黒本町 五丁目
10,Katsushika Ku,"$15,257.00",Entire home/apt,4,1.5 baths,1.0,,4.93,35.7362,139.85178,東京都 葛飾区 東立石 四丁目
11,Shinjuku Ku,"$7,980.00",Private room,2,1 shared bath,,,4.84,35.69857,139.704,東京都 新宿区 大久保 一丁目
12,Shinjuku Ku,"$7,980.00",Private room,2,1 shared bath,,,4.85,35.69848,139.70432,東京都 新宿区 大久保 一丁目
13,Shinjuku Ku,"$5,980.00",Shared room,8,1 shared bath,,8.0,4.81,35.69847,139.70433,東京都 新宿区 大久保 一丁目
14,Shinjuku Ku,"$5,980.00",Shared room,8,1 shared bath,,8.0,4.82,35.69848,139.70433,東京都 新宿区 大久保 一丁目
15,Setagaya Ku,"$3,300.00",Private room,1,1 shared bath,,1.0,4.8,35.65897,139.60988,東京都 世田谷区 粕谷 一丁目
16,Setagaya Ku,"$3,300.00",Private room,1,1.5 shared baths,,1.0,4.95,35.65933,139.60847,東京都 世田谷区 粕谷 三丁目
17,Katsushika Ku,"$35,343.00",Entire home/apt,8,2 baths,4.0,5.0,4.9,35.73784,139.85201,東京都 葛飾区 立石 七丁目
18,Ota Ku,"$75,000.00",Entire home/apt,16,2 baths,6.0,9.0,4.78,35.58958,139.72636,東京都 大田区 山王 二丁目
19,Shinagawa Ku,"$5,000.00",Private room,1,1.5 shared baths,,1.0,4.87,35.61794,139.72313,東京都 品川区 大崎 三丁目
20,Setagaya Ku,"$33,000.00",Entire home/apt,10,1 bath,2.0,2.0,4.91,35.63858,139.64624,東京都 世田谷区 弦巻 三丁目
