,手口,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,full name,latitude,longitude
0,部品ねらい,中央区,日本橋本石町４丁目,2018-03-25,13,北海道 札幌市 中央区,43.05535888671875,141.34100341796875
1,部品ねらい,中央区,日本橋１丁目,2018-01-22,09,北海道 札幌市 中央区,43.05535888671875,141.34100341796875
2,部品ねらい,中央区,日本橋室町１丁目,2018-05-01,15,北海道 札幌市 中央区,43.05535888671875,141.34100341796875
3,部品ねらい,中央区,八重洲１丁目,2017-12-20,不明,北海道 札幌市 中央区,43.05535888671875,141.34100341796875
4,部品ねらい,中央区,八重洲２丁目,2018-11-09,11,北海道 札幌市 中央区,43.05535888671875,141.34100341796875
5,部品ねらい,中央区,新川２丁目,2018-07-19,09,北海道 札幌市 中央区,43.05535888671875,141.34100341796875
6,部品ねらい,江東区,常盤１丁目,2018-01-23,12,東京都 江東区,35.67285919189453,139.81736755371094
7,部品ねらい,江東区,常盤１丁目,2018-04-14,19,東京都 江東区,35.67285919189453,139.81736755371094
8,部品ねらい,江東区,毛利１丁目,2018-07-08,15,東京都 江東区,35.67285919189453,139.81736755371094
9,部品ねらい,江東区,毛利１丁目,2018-07-08,21,東京都 江東区,35.67285919189453,139.81736755371094
10,部品ねらい,江東区,塩浜２丁目,2017-12-01,08,東京都 江東区,35.67285919189453,139.81736755371094
11,部品ねらい,江東区,塩浜２丁目,2018-08-20,16,東京都 江東区,35.67285919189453,139.81736755371094
12,部品ねらい,江東区,東陽３丁目,2018-07-22,17,東京都 江東区,35.67285919189453,139.81736755371094
13,部品ねらい,江東区,東陽３丁目,2018-09-19,23,東京都 江東区,35.67285919189453,139.81736755371094
14,部品ねらい,江東区,東陽４丁目,2018-06-29,18,東京都 江東区,35.67285919189453,139.81736755371094
15,部品ねらい,江東区,東陽４丁目,2018-07-20,12,東京都 江東区,35.67285919189453,139.81736755371094
16,部品ねらい,江東区,門前仲町２丁目,2018-09-19,18,東京都 江東区,35.67285919189453,139.81736755371094
17,部品ねらい,江東区,千石３丁目,2018-10-14,19,東京都 江東区,35.67285919189453,139.81736755371094
18,部品ねらい,江東区,豊洲２丁目,2018-01-13,09,東京都 江東区,35.67285919189453,139.81736755371094
19,部品ねらい,江東区,豊洲２丁目,2018-01-20,15,東京都 江東区,35.67285919189453,139.81736755371094
20,部品ねらい,江東区,豊洲４丁目,2018-04-30,15,東京都 江東区,35.67285919189453,139.81736755371094
21,部品ねらい,江東区,豊洲４丁目,2018-10-03,20,東京都 江東区,35.67285919189453,139.81736755371094
22,部品ねらい,江東区,豊洲５丁目,2018-08-01,06,東京都 江東区,35.67285919189453,139.81736755371094
23,部品ねらい,江東区,平野３丁目,2018-01-26,20,東京都 江東区,35.67285919189453,139.81736755371094
24,部品ねらい,江東区,潮見２丁目,2018-06-11,15,東京都 江東区,35.67285919189453,139.81736755371094
25,部品ねらい,江東区,古石場２丁目,2018-04-01,22,東京都 江東区,35.67285919189453,139.81736755371094
26,部品ねらい,千代田区,六番町,2018-07-20,07,東京都 千代田区,35.69400405883789,139.75363159179688
27,部品ねらい,千代田区,内幸町１丁目,2018-10-26,19,東京都 千代田区,35.69400405883789,139.75363159179688
28,部品ねらい,千代田区,内幸町２丁目,2018-04-17,09,東京都 千代田区,35.69400405883789,139.75363159179688
29,部品ねらい,千代田区,日比谷公園,2018-04-26,18,東京都 千代田区,35.69400405883789,139.75363159179688
30,部品ねらい,千代田区,有楽町１丁目,2018-09-05,14,東京都 千代田区,35.69400405883789,139.75363159179688
31,部品ねらい,千代田区,有楽町２丁目,2018-05-23,08,東京都 千代田区,35.69400405883789,139.75363159179688
32,部品ねらい,千代田区,丸の内１丁目,2018-05-25,16,東京都 千代田区,35.69400405883789,139.75363159179688
33,部品ねらい,千代田区,丸の内１丁目,2018-04-30,12,東京都 千代田区,35.69400405883789,139.75363159179688
34,部品ねらい,千代田区,大手町１丁目,2018-09-06,16,東京都 千代田区,35.69400405883789,139.75363159179688
35,部品ねらい,千代田区,神田多町２丁目,2018-09-07,23,東京都 千代田区,35.69400405883789,139.75363159179688
36,部品ねらい,千代田区,,2018-05-10,12,東京都 千代田区,35.69400405883789,139.75363159179688
37,部品ねらい,千代田区,神田神保町１丁目,2018-12-01,13,東京都 千代田区,35.69400405883789,139.75363159179688
38,部品ねらい,千代田区,東神田１丁目,2018-11-09,19,東京都 千代田区,35.69400405883789,139.75363159179688
39,部品ねらい,千代田区,岩本町３丁目,2018-02-14,17,東京都 千代田区,35.69400405883789,139.75363159179688
40,部品ねらい,千代田区,神田岩本町,2018-04-27,17,東京都 千代田区,35.69400405883789,139.75363159179688
41,部品ねらい,千代田区,東神田１丁目,2018-10-05,18,東京都 千代田区,35.69400405883789,139.75363159179688
42,部品ねらい,千代田区,神田佐久間町３丁目,2018-01-12,16,東京都 千代田区,35.69400405883789,139.75363159179688
43,部品ねらい,千代田区,神田佐久間町３丁目,2018-01-12,23,東京都 千代田区,35.69400405883789,139.75363159179688
44,部品ねらい,千代田区,神田相生町,2018-03-27,08,東京都 千代田区,35.69400405883789,139.75363159179688
45,部品ねらい,千代田区,外神田１丁目,2018-12-05,05,東京都 千代田区,35.69400405883789,139.75363159179688
46,部品ねらい,千代田区,外神田３丁目,2018-03-04,12,東京都 千代田区,35.69400405883789,139.75363159179688
47,部品ねらい,千代田区,外神田４丁目,2018-05-05,10,東京都 千代田区,35.69400405883789,139.75363159179688
48,部品ねらい,中央区,日本橋蛎殻町１丁目,2018-07-09,13,北海道 札幌市 中央区,43.05535888671875,141.34100341796875
49,部品ねらい,中央区,日本橋浜町２丁目,2018-05-31,07,北海道 札幌市 中央区,43.05535888671875,141.34100341796875
