,年次,総数,交通,火災,運動,自然災害,水難,労災,一般,自損,加害,急病,転院搬送,医師搬送,資器材搬送,その他,総数_救護人員数,交通_救護人員数,火災_救護人員数,運動_救護人員数,自然災害_救護人員数,水難_救護人員数,労災_救護人員数,一般_救護人員数,自損_救護人員数,加害_救護人員数,急病_救護人員数,転院搬送_救護人員数,医師搬送_救護人員数,資器材搬送_救護人員数,その他_救護人員数
0,1973,3111,545,32,40,0,11,75,370,42,40,1836,0,…,…,120,3101,634,18,43,0,9,75,359,34,40,1769,…,…,…,120
1,1974,3232,480,18,44,3,2,63,505,41,75,1853,0,…,…,148,3060,522,16,45,3,2,62,481,35,67,1713,…,…,…,114
2,1975,3401,560,25,79,1,3,65,525,40,65,1859,2,…,…,177,3174,607,19,78,1,2,61,476,35,64,1699,…,…,…,132
3,1976,3259,514,11,65,0,1,82,518,41,82,1767,1,…,…,177,2995,530,9,64,0,1,81,482,32,79,1581,…,…,…,136
4,1977,3548,646,24,56,0,1,49,563,33,90,1890,34,…,…,162,3211,674,15,59,0,1,46,502,28,82,1651,…,…,…,153
5,1978,4227,706,40,62,0,3,73,642,45,80,2288,39,…,…,249,3930,765,20,63,0,2,71,597,34,73,2068,…,…,…,237
6,1979,4426,841,34,88,1,4,73,752,47,81,2170,29,…,…,306,4190,912,14,91,1,4,70,701,35,74,1986,…,…,…,302
7,1980,4612,875,36,86,0,1,58,738,43,72,2355,41,…,…,307,4354,929,19,89,0,1,57,682,31,76,2189,…,…,…,281
8,1981,4717,892,33,78,0,1,62,737,46,82,2370,28,…,…,388,4527,976,13,90,0,1,66,701,38,82,2201,…,…,…,359
9,1982,4821,1017,40,91,0,1,44,697,48,107,2346,22,…,…,408,4629,1066,20,96,0,1,43,673,36,118,2193,…,…,…,383
10,1983,4856,1056,30,72,1,4,43,701,49,91,2421,13,…,…,375,4677,1108,18,80,4,2,44,676,37,87,2262,…,…,…,359
11,1984,4846,1106,26,64,0,1,57,688,29,75,2468,298,…,…,34,4683,1187,15,69,0,1,57,663,24,74,2297,296,…,…,…
12,1985,5010,1138,30,66,1,2,62,696,51,94,2583,262,…,…,25,4820,1178,18,72,0,2,61,662,43,92,2429,263,…,…,…
13,1986,4831,1231,41,63,0,5,61,616,49,109,2386,247,…,…,23,4689,1297,20,66,0,5,61,590,37,106,2262,245,…,…,…
14,1987,5276,1272,29,71,1,7,66,695,42,105,2638,326,…,…,24,5134,1390,14,73,0,6,65,663,29,101,2472,321,…,…,…
15,1988,5511,1335,48,61,0,1,67,694,46,108,2789,313,…,…,49,5313,1431,13,62,0,1,63,666,36,106,2622,313,…,…,…
16,1989,5744,1382,48,84,0,4,65,696,65,112,2905,328,…,…,55,5503,1483,9,84,0,3,64,662,53,113,2705,327,…,…,…
17,1990,5914,1382,49,74,0,5,62,718,41,110,3039,383,…,…,51,5658,1522,4,77,0,4,63,676,24,100,2807,381,…,…,…
18,1991,6014,1395,55,78,0,4,76,721,37,116,3058,426,…,…,48,5847,1539,22,79,0,2,78,689,25,121,2875,417,…,…,…
19,1992,6202,1358,57,71,0,9,67,728,48,119,3290,382,…,…,73,5952,1477,14,78,0,8,66,693,37,119,3080,380,…,…,…
20,1993,6277,1300,50,94,0,6,64,738,46,105,3401,397,…,…,76,6013,1419,17,99,0,4,63,699,38,109,3174,391,…,…,0
21,1994,6393,1266,40,83,0,6,52,797,54,85,3519,415,6,12,58,6078,1354,7,86,0,5,50,742,44,87,3293,410,0,0,0
22,1995,6909,1319,63,80,0,5,60,825,60,113,3793,478,8,12,93,6506,1400,9,81,0,5,61,762,48,118,3542,480,0,0,0
23,1996,7504,1309,54,78,0,0,76,992,60,111,4178,506,5,11,124,7072,1414,22,77,0,0,77,934,45,111,3891,501,0,0,0
24,1997,7543,1319,64,85,1,6,75,961,75,118,4194,527,10,9,99,7037,1376,19,86,1,6,74,872,65,116,3903,519,0,0,0
25,1998,7646,1227,48,63,0,11,63,1045,56,123,4306,588,12,17,87,7221,1270,15,64,0,7,62,985,37,124,4075,582,0,0,0
26,1999,7993,1300,52,88,0,14,53,1084,80,120,4521,584,7,12,78,7682,1446,26,87,0,8,53,1046,55,118,4265,578,0,0,0
27,2000,9763,1579,62,86,0,10,89,1362,76,142,5428,793,7,14,115,9055,1483,17,84,0,5,87,1274,60,130,5110,786,7,12,0
28,2001,10498,1607,59,103,0,3,73,1453,87,125,5980,853,10,16,129,10011,1730,24,105,0,1,75,1367,69,117,5672,851,0,0,0
29,2002,10960,1623,58,99,0,4,79,1562,90,138,6203,925,18,11,150,10461,1770,17,100,0,3,79,1474,71,141,5881,925,0,0,0
30,2003,11261,1517,66,120,0,6,86,1655,87,134,6362,1012,20,26,170,10575,1610,16,123,0,4,86,1548,71,123,5991,1003,0,0,0
