,年度,会員数(人)_総数,会員数(人)_Ａコース,会員数(人)_Ｂコース,会費(円)_総数,会費(円)_Ａコース,会費(円)_Ｂコース,請求件数_総数,請求件数_Ａコース,請求件数_Ｂコース,見舞金支給総額(円)_総数,見舞金支給総額(円)_Ａコース,見舞金支給総額(円)_Ｂコース
0,1973,50055,…,…,13613150,…,…,121,…,…,4300000,…,…
1,1974,48614,…,…,13193250,…,…,90,…,…,4823000,…,…
2,1975,51646,…,…,13979850,…,…,47,…,…,1944000,…,…
3,1976,54642,…,…,14790450,…,…,47,…,…,1795000,…,…
4,1977,55585,…,…,15047700,…,…,84,…,…,4330000,…,…
5,1978,53761,…,…,14465200,…,…,129,…,…,6600000,…,…
6,1979,54224,…,…,14589050,…,…,125,…,…,5590000,…,…
7,1980,54497,…,…,14690800,…,…,132,…,…,8055000,…,…
8,1981,56937,…,…,15424950,…,…,144,…,…,7530000,…,…
9,1982,56521,…,…,15299600,…,…,193,…,…,13010000,…,…
10,1983,57685,…,…,15688200,…,…,226,…,…,10110000,…,…
11,1984,58474,…,…,15942500,…,…,220,…,…,15030000,…,…
12,1985,58947,…,…,16107950,…,…,235,…,…,15940000,…,…
13,1986,58793,…,…,16073650,…,…,247,…,…,13360000,…,…
14,1987,58256,…,…,15968850,…,…,206,…,…,11860000,…,…
15,1988,57363,…,…,15880350,…,…,183,…,…,14260000,…,…
16,1989,55091,…,…,20650900,…,…,189,…,…,10210000,…,…
17,1990,50928,…,…,19048350,…,…,202,…,…,11710000,…,…
18,1991,51795,…,…,23325600,…,…,235,…,…,15360000,…,…
19,1992,52790,…,…,23896000,…,…,227,…,…,13870000,…,…
20,1993,52546,…,…,23801400,…,…,228,…,…,13940000,…,…
21,1994,52364,…,…,23774100,…,…,207,…,…,12760000,…,…
22,1995,56239,…,…,25741700,…,…,248,…,…,16450000,…,…
23,1996,58406,…,…,26837100,…,…,235,…,…,13260000,…,…
24,1997,56643,…,…,25988900,…,…,276,…,…,17630000,…,…
25,1998,56608,…,…,25963000,…,…,285,…,…,18870000,…,…
26,1999,54586,…,…,24962400,…,…,278,…,…,24520000,…,…
27,2000,52165,…,…,23749900,…,…,214,…,…,14380000,…,…
28,2001,48260,…,…,21777000,…,…,197,…,…,16180000,…,…
29,2002,49426,10445,38981,27538300,10437300,17101000,228,0,228,21330000,0,21330000
30,2003,50070,11191,38879,28211900,11183400,17028500,210,0,210,16840000,0,16840000
31,2004,48709,10331,38378,27023100,10331000,16692100,274,102,172,21320000,10950000,10370000
32,2005,48309,10416,37893,26801300,10416000,16385300,246,112,134,21440000,9860000,11580000
33,2006,49410,10404,39006,27290600,10394000,16896600,227,107,120,22100000,12430000,9670000
34,2007,44252,11989,32263,25477700,11969400,13508300,223,116,107,24210000,17340000,6870000
35,2008,43827,11778,32049,25123000,11760400,13362600,205,120,85,23860000,19770000,4090000
36,2009,42871,11026,31845,24280800,11011200,13269600,180,118,62,13110000,9970000,3140000
37,2010,42224,10131,32093,23462400,10118900,13343500,148,91,57,8900000,5440000,3460000
38,2011,42607,10480,32127,23784800,10451100,13333700,141,87,54,13610000,12030000,1580000
39,2012,44360,10576,33784,24562000,10555000,14007000,144,68,76,6740000,4540000,2200000
40,2013,43609,10145,33464,22527300,10119600,12407700,126,73,53,6180000,4360000,1820000
41,2014,42737,9396,33341,21712700,9373600,12339100,113,72,41,6330000,4980000,1350000
42,2015,42255,8966,33289,21225600,8927100,12298500,130,79,51,6690000,5150000,1540000
43,2016,41674,8582,33092,20738900,8558200,12180700,146,80,66,9250000,5410000,3840000
44,2017,41108,8044,33064,20182350,8025550,12156800,102,60,42,10740000,9100000,1640000
45,2018,40816,7888,32928,17031750,7859750,9172000,95,66,29,8140000,5670000,2470000
46,2019,39628,6977,32651,15959500,6950750,9008750,104,62,42,8760000,5750000,3010000
47,2020,39579,7221,32358,16123500,7188000,8935500,71,47,24,4850000,3980000,870000
