,年次,総数(人),刃物等所持(凶器携帯)(人),粗暴行為(乱暴)(人),金品不正要求(たかり)(人),家出(人),無断外泊(人),怠学(怠業)(人),金品持出し(人),性的いたずら(人),深夜はいかい(人),不健全性的行為(不純異性交遊)(人),飲酒(人),喫煙(人),不良交友(人),暴走行為(指定行為(暴走族)）(人),不健全娯楽風俗営業所等立入(人),不健全娯楽射幸行為(人),不健全娯楽わいせつ図書等所持(人),不健全娯楽その他(人),薬物乱用(人),指定行為(人)
0,1971,299,2,5,0,15,0,9,0,0,…,16,5,32,15,…,2,47,0,16,135,…
1,1972,170,0,8,0,25,5,1,0,0,…,0,4,11,16,…,0,6,0,23,71,…
2,1973,402,0,13,0,14,49,17,2,0,…,10,10,97,79,…,8,74,0,14,15,…
3,1974,1016,1,0,0,52,60,43,1,3,…,1,39,308,316,0,2,69,2,70,49,…
4,1975,966,1,22,1,60,24,19,8,2,0,3,20,327,325,0,6,54,0,21,73,…
5,1976,1104,4,20,5,45,11,49,23,0,0,9,37,274,330,134,1,96,2,13,51,…
6,1977,1150,2,19,1,38,31,39,8,0,0,8,55,351,369,102,2,62,1,35,27,…
7,1978,1059,3,15,1,25,3,28,3,1,0,18,33,345,457,49,0,51,0,25,2,0
8,1979,1195,1,25,0,21,10,31,1,0,406,10,16,386,185,18,5,48,0,21,8,3
9,1980,1572,0,43,0,16,8,19,1,0,406,8,53,415,337,143,0,53,4,7,56,3
10,1981,1449,1,86,6,22,6,23,3,0,336,8,37,485,362,13,0,48,0,0,13,0
11,1982,1346,3,10,7,15,34,29,0,0,397,2,24,504,275,6,0,32,0,0,8,0
12,1983,958,3,5,0,22,35,21,0,0,274,5,30,305,226,8,0,8,1,0,15,0
13,1984,1263,3,8,0,31,42,15,2,1,539,0,59,406,114,3,0,20,0,0,20,0
14,1985,1310,7,11,0,4,61,29,2,1,676,0,71,328,89,0,0,19,0,0,12,0
15,1986,823,2,15,0,5,60,14,1,0,341,0,27,281,51,8,0,15,0,0,3,0
16,1987,877,3,5,0,12,25,7,0,0,352,0,37,277,43,5,0,109,0,0,2,0
17,1988,1067,0,10,0,11,46,60,0,0,454,0,32,306,85,4,0,53,0,0,6,0
18,1989,484,13,14,0,5,26,6,1,0,122,0,19,181,46,10,0,40,0,0,1,0
19,1990,410,0,3,0,11,14,8,0,0,91,0,15,215,5,17,0,20,0,0,9,2
20,1991,384,2,5,1,19,19,9,0,0,106,0,15,180,13,0,0,5,0,0,10,0
21,1992,177,0,6,0,6,0,0,0,0,46,0,7,91,7,0,0,0,0,0,14,0
22,1993,267,1,15,0,11,4,2,0,0,117,0,31,67,8,2,0,0,0,0,9,0
23,1994,236,0,28,0,5,2,4,0,0,88,0,6,73,19,0,0,8,0,0,3,0
24,1995,248,0,0,0,8,10,18,0,0,81,0,11,87,17,0,0,16,0,0,0,0
25,1996,146,1,7,0,9,2,3,0,0,65,0,1,48,1,0,0,9,0,0,0,0
26,1997,236,0,0,0,1,0,5,0,0,96,0,11,112,1,0,0,9,0,0,1,0
27,1998,307,0,0,0,9,13,4,0,0,132,0,13,113,2,0,0,21,0,0,0,0
28,1999,396,5,0,0,9,3,2,0,0,218,0,26,122,4,3,0,4,0,0,0,0
29,2000,377,0,12,0,13,0,0,0,0,200,0,28,114,4,0,0,6,0,0,0,0
30,2001,678,0,0,0,10,4,12,0,0,418,1,14,212,6,1,0,0,0,0,0,0
31,2002,421,0,0,0,1,8,0,0,0,223,0,43,143,0,0,0,3,0,0,0,0
32,2003,504,0,0,0,1,0,0,0,0,276,0,62,152,0,0,0,6,0,7,0,0
33,2004,854,0,0,0,0,1,2,0,0,580,0,54,202,0,0,0,14,1,0,0,0
34,2005,863,1,2,0,4,15,1,0,0,644,2,10,169,4,1,2,8,0,0,0,0
35,2006,874,0,2,1,2,6,8,0,0,670,2,21,156,1,0,1,4,0,0,0,0
36,2007,714,2,7,0,1,8,3,0,0,549,2,12,125,0,1,2,2,0,0,0,0
37,2008,729,1,1,0,2,4,2,0,0,480,0,19,220,0,0,0,0,0,0,0,0
38,2009,494,1,0,0,0,6,1,0,0,346,0,12,128,0,0,0,0,0,0,0,0
39,2010,438,0,3,0,1,4,0,0,0,312,0,2,107,0,0,6,3,0,0,0,0
40,2011,694,0,7,0,1,1,4,0,0,523,0,16,125,0,0,17,0,0,0,0,0
41,2012,689,1,2,0,0,1,1,0,0,482,0,23,163,0,0,16,0,0,0,0,0
42,2013,634,0,6,0,0,4,0,0,0,445,0,9,164,0,0,6,0,0,0,0,0
43,2014,256,0,0,0,0,0,0,0,0,206,0,3,45,0,0,1,0,0,0,0,1
44,2015,281,4,3,0,0,0,1,0,0,200,0,5,55,0,0,11,0,0,0,0,2
45,2016,464,0,12,0,3,0,0,0,0,335,0,1,55,0,0,56,0,0,0,0,2
46,2017,451,0,2,0,0,0,0,1,0,325,0,7,31,0,0,82,0,0,0,0,3
47,2018,421,0,1,0,1,0,1,0,0,327,1,1,23,0,0,57,1,0,0,0,8
48,2019,451,1,0,0,0,2,0,0,0,328,1,6,14,0,0,86,0,0,1,0,12
49,2020,253,0,0,0,0,1,0,0,0,215,0,6,14,0,0,17,0,0,0,0,0
50,2021,113,0,0,0,0,0,0,0,0,82,0,11,15,0,0,5,0,0,0,0,0
