,年度,交通安全灯(基),道路反射鏡(基),通学路カラー舗装(か所),自転車置場(か所),路側帯カラー舗装(平方メートル),交差点注意点滅器(基),警戒標識灯(基)
0,1975,130,49,23,1,…,…,…
1,1976,83,61,42,1,…,…,…
2,1977,110,70,7,7,…,…,…
3,1978,130,100,0,6,…,…,…
4,1979,147,86,21,2,…,…,…
5,1980,173,101,6,2,…,…,…
6,1981,70,83,18,3,…,…,…
7,1982,92,103,15,3,736,…,…
8,1983,128,98,15,3,2017.2,…,…
9,1984,92,91,13,1,1602.8,…,…
10,1985,53,119,24,0,1953.9,…,…
11,1986,78,117,30,3,1702.5,…,…
12,1987,60,115,31,28,1888,…,…
13,1988,81,127,19,30,1938.26,…,…
14,1989,77,139,20,31,1904,40,…
15,1990,81,106,16,29,1034,45,12
16,1991,102,108,10,29,1905,40,22
17,1992,226,160,20,31,2064.3,43,25
18,1993,68,85,4,34,481.32,10,2
19,1994,5255,2444,121,33,20214.95,189,69
20,1995,5461,2458,121,33,21963.1,199,69
21,1996,5565,2484,121,34,22901.34,209,73
22,1997,5825,2508,121,35,23238.36,229,98
23,1998,5920,2540,121,35,23411.05,238,135
24,1999,6147,2552,123,35,23552.03,245,141
25,2000,6262,2608,125,35,23714.1,252,151
26,2001,6462,2622,125,35,23882.06,259,162
27,2002,6493,2636,125,35,24080.06,265,169
28,2003,6508,2651,125,35,24235.56,276,177
29,2004,6530,2655,137,37,24355.81,280,187
30,2005,6730,2669,140,39,24507.01,287,197
31,2006,6806,2682,144,38,24653.41,291,205
32,2007,6895,2684,147,39,25362.96,309,213
33,2008,6899,2685,150,40,25880.46,320,213
34,2009,7156,2688,152,40,26335.73,332,213
35,2010,7161,2688,156,39,26796,339,213
36,2011,7161,2720,161,39,27241.5,346,213
37,2012,7161,2740,170,40,27820.3,349,213
38,2013,7161,2740,172,40,28204.3,352,213
39,2014,7183,2741,175,42,28728.3,359,213
40,2015,7188,2765,178,42,29038.3,364,213
41,2016,7188,3125,180,44,29474.8,372,213
42,2017,7188,3113,184,45,29968.8,386,213
43,2018,8290,3113,187,46,30404.8,394,213
44,2019,8338,3140,189,46,30648.8,403,213
45,2020,8046,3145,191,46,30648.8,412,213
