,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
0,窃盗,自動車盗,麹町,九段下交番,131016,東京都,千代田区,一ツ橋１丁目,2019-06-03,12,道路上,キーあり,なし,貨物自動車
1,窃盗,自動車盗,丸の内,和田倉門外交番,131016,東京都,千代田区,大手町１丁目,2019-04-16,8,道路上,キーあり,あり,乗用自動車
2,窃盗,自動車盗,高輪,品川駅高輪口交番,131032,東京都,港区,高輪３丁目,2019-03-26,23,その他,キーあり,なし,乗用自動車
3,窃盗,自動車盗,大崎,西五反田交番,131091,東京都,品川区,西五反田３丁目,2019-08-02,22,道路上,キーあり,あり,乗用自動車
4,窃盗,自動車盗,大森,森ケ崎交番,131113,東京都,大田区,大森東５丁目,2019-05-24,22,駐車（輪）場,キーあり,なし,貨物自動車
5,窃盗,自動車盗,田園調布,石川台交番,131113,東京都,大田区,石川町２丁目,2019-04-22,23,道路上,キーあり,なし,乗用自動車
6,窃盗,自動車盗,池上,久が原交番,131113,東京都,大田区,久が原２丁目,2019-03-24,7,駐車（輪）場,キーあり,なし,貨物自動車
7,窃盗,自動車盗,池上,多摩川大橋交番,131113,東京都,大田区,矢口３丁目,2019-04-28,2,その他,キーあり,なし,乗用自動車
8,窃盗,自動車盗,代々木,初台駅前交番,131130,東京都,渋谷区,代々木３丁目,2019-11-15,21,道路上,キーあり,なし,貨物自動車
9,窃盗,自動車盗,代々木,代々木公園交番,131130,東京都,渋谷区,富ヶ谷１丁目,2019-04-22,13,一戸建住宅,キーあり,なし,乗用自動車
10,窃盗,自動車盗,新宿,新宿駅西口交番,131041,東京都,新宿区,西新宿１丁目,2019-10-11,3,道路上,キーあり,なし,特殊自動車
11,窃盗,自動車盗,新宿,大久保交番,131041,東京都,新宿区,大久保３丁目,2019-01-31,0,駐車（輪）場,キーあり,なし,貨物自動車
12,窃盗,自動車盗,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町１丁目,2019-12-24,11,駐車（輪）場,キーあり,なし,乗用自動車
13,窃盗,自動車盗,杉並,阿佐谷北交番,131156,東京都,杉並区,阿佐谷北３丁目,2019-05-31,21,駐車（輪）場,キーあり,なし,貨物自動車
14,窃盗,自動車盗,杉並,阿佐谷駅前交番,131156,東京都,杉並区,阿佐谷北３丁目,2019-05-30,15,駐車（輪）場,キーあり,なし,貨物自動車
15,窃盗,自動車盗,高井戸,,131121,東京都,世田谷区,南烏山４丁目,2019-10-05,16,その他,キーあり,なし,貨物自動車
16,窃盗,自動車盗,池袋,池袋本町交番,131164,東京都,豊島区,池袋本町４丁目,2019-01-24,0,駐車（輪）場,キーあり,なし,乗用自動車
17,窃盗,自動車盗,目白,要町交番,131164,東京都,豊島区,要町３丁目,2019-02-03,19,駐車（輪）場,キーあり,あり,乗用自動車
18,窃盗,自動車盗,目白,千登世橋交番,131164,東京都,豊島区,高田３丁目,2019-07-16,17,駐車（輪）場,キーあり,なし,乗用自動車
19,窃盗,自動車盗,志村,坂上交番,131199,東京都,板橋区,坂下１丁目,2018-12-18,2,その他,キーあり,なし,乗用自動車
20,窃盗,自動車盗,高島平,笹目橋交番,131199,東京都,板橋区,三園２丁目,2019-01-26,19,道路上,キーあり,あり,乗用自動車
21,窃盗,自動車盗,光が丘,練馬高野台駅前交番,131202,東京都,練馬区,南田中４丁目,2019-04-27,10,駐車（輪）場,キーあり,なし,貨物自動車
22,窃盗,自動車盗,光が丘,旭町駐在所,131202,東京都,練馬区,旭町３丁目,2019-04-11,23,駐車（輪）場,キーあり,なし,貨物自動車
23,窃盗,自動車盗,西新井,西新井五丁目交番,131211,東京都,足立区,西新井５丁目,2019-11-05,11,駐車（輪）場,キーあり,なし,乗用自動車
24,窃盗,自動車盗,竹の塚,伊興町交番,131211,東京都,足立区,西竹の塚１丁目,2019-06-03,7,駐車（輪）場,キーあり,なし,貨物自動車
25,窃盗,自動車盗,向島,八広四丁目交番,131075,東京都,墨田区,東墨田１丁目,2019-02-08,19,その他,キーあり,なし,貨物自動車
26,窃盗,自動車盗,亀有,水元公園前交番,131229,東京都,葛飾区,東水元３丁目,2019-11-06,18,駐車（輪）場,キーあり,なし,乗用自動車
27,窃盗,自動車盗,亀有,葛三橋交番,131229,東京都,葛飾区,東水元２丁目,2019-06-02,6,駐車（輪）場,キーあり,なし,乗用自動車
