,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
0,窃盗,部品ねらい,中央,本町交番,131024.0,東京都,中央区,日本橋本町４丁目,2020-11-01,16,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
1,窃盗,部品ねらい,中央,八重洲通交番,131024.0,東京都,中央区,京橋３丁目,2020-12-04,16,その他,駐車（輪）場,その他
2,窃盗,部品ねらい,中央,茅場町交番,131024.0,東京都,中央区,日本橋兜町,2020-11-13,05,その他,駐車（輪）場,その他
3,窃盗,部品ねらい,深川,森下交番,131083.0,東京都,江東区,常盤２丁目,2020-01-28,18,駐車（輪）場,駐車（輪）場,ナンバープレート
4,窃盗,部品ねらい,深川,森下交番,131083.0,東京都,江東区,森下２丁目,2020-09-03,07,道路上,その他,その他
5,窃盗,部品ねらい,深川,東陽交番,131083.0,東京都,江東区,木場５丁目,2020-05-21,10,駐車（輪）場,駐車（輪）場,ナンバープレート
6,窃盗,部品ねらい,深川,東陽交番,131083.0,東京都,江東区,塩浜２丁目,2019-05-01,08,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
7,窃盗,部品ねらい,深川,東陽交番,131083.0,東京都,江東区,塩浜２丁目,2020-10-26,06,その他,その他,その他
8,窃盗,部品ねらい,深川,東陽交番,131083.0,東京都,江東区,東陽４丁目,2020-02-06,08,その他,駐車（輪）場,その他
9,窃盗,部品ねらい,深川,門前仲町交番,131083.0,東京都,江東区,越中島３丁目,2020-01-31,21,４階建て以上共同住宅,駐車（輪）場,その他
10,窃盗,部品ねらい,深川,門前仲町交番,131083.0,東京都,江東区,佐賀２丁目,2020-03-09,10,４階建て以上共同住宅,駐車（輪）場,その他
11,窃盗,部品ねらい,深川,豊洲交番,131083.0,東京都,江東区,豊洲２丁目,2020-01-11,08,駐車（輪）場,駐車（輪）場,その他
12,窃盗,部品ねらい,深川,豊洲交番,131083.0,東京都,江東区,豊洲４丁目,2020-06-23,17,４階建て以上共同住宅,駐車（輪）場,その他
