,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
0,窃盗,オートバイ盗,神田,神保町交番,131016,東京都,千代田区,神田神保町３丁目,2020-10-02,10,道路上,その他,キーあり,なし,自動二輪（50cc超）
1,窃盗,オートバイ盗,築地,数寄屋橋交番,131024,東京都,中央区,銀座６丁目,2020-03-21,16,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
2,窃盗,オートバイ盗,月島,勝どき橋交番,131024,東京都,中央区,勝どき５丁目,2020-08-22,18,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
3,窃盗,オートバイ盗,麻布,盛岡町交番,131032,東京都,港区,南麻布３丁目,2020-07-05,16,道路上,その他,キーあり,なし,自動二輪（50cc超）
4,窃盗,オートバイ盗,麻布,西麻布交番,131032,東京都,港区,西麻布１丁目,2020-05-12,23,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
5,窃盗,オートバイ盗,東京湾岸,お台場海浜公園駅前交番,131083,東京都,江東区,青海１丁目,2020-01-12,11,駐車（輪）場,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
6,窃盗,オートバイ盗,東京湾岸,都橋交番,131083,東京都,江東区,有明３丁目,2020-01-20,21,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
7,窃盗,オートバイ盗,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2020-02-29,15,その他,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
8,窃盗,オートバイ盗,品川,台場交番,131091,東京都,品川区,東品川１丁目,2020-04-09,18,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
9,窃盗,オートバイ盗,品川,台場交番,131091,東京都,品川区,東品川１丁目,2020-11-10,23,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
10,窃盗,オートバイ盗,品川,青物横丁駅前交番,131091,東京都,品川区,南品川２丁目,2020-11-04,19,４階建て以上共同住宅,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
