neighbourhood_cleansed,count
Shinjuku Ku,2278
Taito Ku,1597
Sumida Ku,1290
Toshima Ku,1002
Shibuya Ku,660
Minato Ku,409
Setagaya Ku,394
Ota Ku,360
Nakano Ku,316
Chuo Ku,290
Kita Ku,279
Katsushika Ku,248
Suginami Ku,241
Koto Ku,218
Edogawa Ku,209
Bunkyo Ku,208
Arakawa Ku,198
Itabashi Ku,181
Shinagawa Ku,172
Chiyoda Ku,160
Adachi Ku,94
Meguro Ku,69
Nerima Ku,65
Fuchu Shi,33
Hachioji Shi,23
Hino Shi,18
Kokubunji Shi,17
Machida Shi,17
Ome Shi,14
Chofu Shi,13
Musashino Shi,12
Akiruno Shi,11
Mitaka Shi,10
Koganei Shi,10
Higashimurayama Shi,9
Tama Shi,8
Kunitachi Shi,7
Komae Shi,6
Nishitokyo Shi,6
Tachikawa Shi,6
Kodaira Shi,5
Hamura Shi,4
Musashimurayama Shi,3
Okutama Machi,3
Akishima Shi,2
Fussa Shi,2
