info,address,occurred_date,recorded_date
819号室で女性死亡,東京都新宿区歌舞伎町一丁目202,平成30年5月23日,平成30年7月4日
飛び降り自殺,東京都新宿区歌舞伎町一丁目202アパホテル新宿歌舞伎町タワー↓,令和3年5月18日,令和3年5月26日
告知事項あり ※管理会社に直接確認済み  ハイム大成ビル 403号室 賃料¥78000 管理費¥2000 前入居者が室内で自殺,東京都新宿区西新宿七丁目1813,1年以内,令和3年2月23日
１４Ｆから女性が飛び降り自殺,東京都新宿区西新宿七丁目1713パレステュディオ新宿WEST,令和元年9月23日,令和元年9月23日
事故死,東京都新宿区西新宿七丁目2231,2016,平成28年12月4日
病死,東京都新宿区西新宿一丁目38,令和3年,令和5年5月29日
死体発見,東京都新宿区新宿三丁目227指田ビル地下1階,平成24年11月5日,平成25年1月25日
20階で飛び降り自殺,東京都新宿区西新宿七丁目59,不明,令和3年3月6日
2F 男性死亡 心霊現象あり,東京都新宿区歌舞伎町二丁目4514,平成30年頃,平成31年3月18日
客室浴槽内 死体発見,東京都新宿区歌舞伎町二丁目4514 ホテルボン,平成24年12月24日,令和4年9月8日
飛び降り自殺,東京都新宿区西新宿一丁目39,令和4年,令和5年5月29日
飛び降り自殺,東京都新宿区西新宿七丁目59ファーストリアルタワー31階,2018年,令和5年6月13日
飛び降り自殺,東京都新宿区西新宿七丁目310山京ビル,平成27年2月20日,令和2年1月27日
転落させて殺害,東京都新宿区歌舞伎町一丁目202アパホテル新宿歌舞伎町タワー23階非常階段↓,令和3年12月29日,令和3年12月29日
1Fにて女性自殺,東京都新宿区西新宿七丁目1610,平成19年頃,平成31年3月18日
屋上より 飛び降り自殺,東京都新宿区歌舞伎町一丁目145 ハクタカビル,平成21年8月20日,令和4年10月15日
首吊り自殺,東京都新宿区西新宿七丁目59 ファーストリアルタワー808,令和2年2月29日,令和5年1月8日
死体発見,東京都新宿区歌舞伎町二丁目441東京都健康プラザハイジアB2F駐車場,平成22年3月16日,
2階サウナロイヤル 死体発見,東京都新宿区歌舞伎町一丁目275 中台ビル,平成20年1月5日,令和4年10月20日
1F 首吊り,東京都新宿区歌舞伎町二丁目396,2010年頃,平成31年3月18日
飛び降り自殺,東京都新宿区歌舞伎町一丁目202アパホテル新宿歌舞伎町タワー↓,令和3年5月11日,令和3年5月11日
2019年10月下旬、40代後半男性が部屋の中で孤高死。  2019年12月下旬に発見される。  死亡から2ヶ月経っていたため、遺体の腐乱が進んでいた模様。  遺体回収時には内廊下のため、建物内1階全体が腐乱臭で充満。    2020年2月初旬現在、清掃終了、その後内装解体中。,東京都新宿区西新宿七丁目1514FONTAINE三須102号室,2019年10月下旬,令和2年2月3日
首吊り自殺,東京都新宿区西新宿七丁目59プロスペクト・アクス・ザ・タワー新宿2008,平成27年9月26日,平成27年9月26日
病死,東京都新宿区西新宿一丁目38,2021年,令和5年5月28日
20階  心理的瑕疵あり,東京都新宿区西新宿七丁目525,不明,平成28年3月3日
本館2階女子トイレ 死体発見,東京都新宿区西新宿一丁目13 小田急百貨店新宿店,平成24年7月8日,令和4年9月9日
転落死,東京都新宿区西新宿一丁目73東京モード学園コクーンタワー4階↓地下2階,平成20年5月16日,
1F出入り口付近  身元不明の男性遺体発見,東京都新宿区西新宿一丁目188,平成18年2月1日,平成26年1月25日
飛び降り自殺,東京都新宿区西新宿一丁目73,19年頃,平成26年9月9日
男性 飛び降り自殺,東京都新宿区新宿三丁目275,平成30年2月21日,平成30年2月23日
2階女子トイレ 死体発見,東京都新宿区西新宿一丁目14 京王デパート,平成21年1月21日,令和4年10月17日
8階 死体発見,東京都新宿区西新宿一丁目14 京王百貨店,平成28年11月30日,令和4年8月8日
トイレで心肺停止女性発見、その後死亡,東京都新宿区西新宿一丁目13,平成24年2月11日,令和3年12月22日
死体発見,東京都新宿区西新宿一丁目512 ニューセントラルビル,平成22年4月21日,令和4年10月13日
甲新ビル9階 23時頃  店舗利用客が窓から飛び降り即死,東京都新宿区西新宿一丁目185甲新ビル中沖ビル,平成30年8月1日,平成30年9月12日
首吊り自殺,東京都新宿区西新宿一丁目1,令和2年1月7日,令和2年1月9日
男性が東側男子便所個室にて首吊り自殺,東京都新宿区西新宿一丁目14 京王百貨店 ４階,不明,平成29年11月20日
9回のわかものハローワークに来た仕事探しの男性が何件の仕事を探したが断わりつづられてそのビルの屋上に出て飛び降り自殺をした。    それがもとで今はそのビルは屋上に出れなくなっている。,東京都新宿区西新宿一丁目71,不明,令和2年9月21日
死因不明の変死。,東京都新宿区歌舞伎町二丁目210,2011年12月,平成31年2月14日
5階から飛び降り自殺,東京都新宿区歌舞伎町二丁目43,2020年,令和3年11月3日
店員が急性アルコール中毒にて店内で死亡しているのを別の店員が発見,東京都新宿区歌舞伎町一丁目15,令和4年6月5日,令和4年7月16日
強盗殺人,東京都新宿区新宿三丁目214,2010年頃,令和5年4月30日
飛び降り自殺,東京都新宿区歌舞伎町二丁目二丁目221,201412,平成27年2月15日
コインロッカー内に乳児の腐乱死体。,東京都新宿区歌舞伎町二丁目356,平成30年6月12日,令和5年1月11日
女性の転落死。  屋上から飛び降りたとみられる。,東京都新宿区歌舞伎町一丁目28,2015年8月頃,平成27年9月19日
首吊り自殺,東京都新宿区歌舞伎町二丁目1414コスモ佐藤4F,平成17年,平成30年12月29日
902号室で自殺あり。,東京都新宿区歌舞伎町二丁目82,2020年7月初旬,令和2年7月27日
