,district,address,info,date
0,新宿区,東京都新宿区新宿三丁目22-7指田ビル地下1階,死体発見,平成24年11月5日
1,新宿区,東京都新宿区西新宿一丁目3-9,飛び降り自殺,令和4年
2,新宿区,東京都新宿区歌舞伎町一丁目27-5 中台ビル,2階サウナロイヤル 死体発見,平成20年1月5日
3,新宿区,東京都新宿区歌舞伎町一丁目20-2アパホテル新宿歌舞伎町タワー↓,飛び降り自殺,令和3年5月11日
4,新宿区,東京都新宿区西新宿七丁目5-9プロスペクト・アクス・ザ・タワー新宿2008,首吊り自殺,平成27年9月26日
5,新宿区,東京都新宿区西新宿七丁目5-25,"20階
心理的瑕疵あり",不明
6,新宿区,東京都新宿区歌舞伎町二丁目35-6,コインロッカー内に乳児の腐乱死体。,平成30年6月12日
7,新宿区,東京都新宿区歌舞伎町二丁目8-2,902号室で自殺あり。,2020年7月初旬
8,新宿区,東京都新宿区新宿五丁目16-10,伊勢丹テナント関係者の首吊り自殺,2008年頃
9,新宿区,東京都新宿区新宿五丁目18-20 ビジネスホテルミラベル,309号室 首吊り自殺,平成20年12月4日
10,新宿区,東京都新宿区歌舞伎町二丁目2-20 ライオンズマンション歌舞伎町A棟,"114号室
宅地建物取引業47条1項に基づく告知事項有り",令和4年5月21日
11,新宿区,東京都新宿区歌舞伎町二丁目10-7ダイヤモンドビル,螺旋階段から転落死,平成22年
12,新宿区,東京都新宿区歌舞伎町一丁目11-5扇園ビル1階,刺殺,平成20年4月8日
13,新宿区,東京都新宿区歌舞伎町二丁目2-21,撲殺,平成24年5月17日
14,新宿区,東京都新宿区歌舞伎町二丁目18-5,飛び降り自殺,平成26年12月
15,新宿区,東京都新宿区歌舞伎町二丁目30-5,遺体発見,平成30年12月25日
17,新宿区,東京都新宿区歌舞伎町二丁目3-23新宿セントラルビル3F,刺殺,平成19年4月5日
18,新宿区,東京都新宿区歌舞伎町二丁目10-6,B1・キャバ嬢自殺,2006〜2012の間
19,新宿区,東京都新宿区新宿五丁目18-11,5階から飛び降り,2015年ころ
20,新宿区,東京都新宿区歌舞伎町二丁目8-6,ホテルD-WAVE308号室にて男性が不審死,令和2年1月30日
21,新宿区,東京都新宿区歌舞伎町二丁目22-1ホテルシェーナ504,死体発見,平成22年6月24日
22,新宿区,東京都新宿区歌舞伎町二丁目33-11ホテル大松,死体発見,平成24年4月3日
23,新宿区,東京都新宿区歌舞伎町二丁目14-8 メトロプラザ4F,傷害致死,令和元年9月21日
24,新宿区,東京都新宿区歌舞伎町二丁目21-5,8階から飛び降り自殺,平成30年10月26日
25,新宿区,東京都新宿区歌舞伎町二丁目10-12,ホテルパシャ702号室にて20～30代の男性が死亡しているのを発見。(官報より),令和3年7月13日
26,新宿区,東京都新宿区歌舞伎町二丁目2-6,2012.飛降り,平成24年10月1日
27,新宿区,東京都新宿区新宿六丁目27-19金光コーポ新宿805,絞殺,平成19年5月31日
28,新宿区,東京都新宿区歌舞伎町二丁目2-21ライオンズマンション歌舞伎町,刺殺,令和5年5月29日
29,新宿区,東京都新宿区新宿五丁目18-10,飛び降り自殺,令和4年12月12日
30,新宿区,東京都新宿区歌舞伎町二丁目29-2,転落死の可能性有。,分かりません。
31,新宿区,東京都新宿区歌舞伎町二丁目21-2ソフィア2 8階↓,転落死,平成20年11月28日
32,新宿区,東京都新宿区歌舞伎町一丁目12-3 5階,射殺,平成31年1月21日
33,新宿区,東京都新宿区歌舞伎町二丁目35-9コインロッカー,死体発見,平成30年5月29日
34,新宿区,東京都新宿区歌舞伎町二丁目18,不動産業者より告知物件との報告有,2022年5月頃
35,新宿区,東京都新宿区歌舞伎町二丁目18-5 プラ－ズタワ－東新宿 ［14階/1410号室］，16階,告知事項あり,不明
36,新宿区,東京都新宿区歌舞伎町二丁目5パークネット歌舞伎町第3駐車場,死体遺棄,平成29年2月15日
37,新宿区,東京都新宿区歌舞伎町二丁目28-8ホテルアランド,死体発見,平成29年12月5日
38,新宿区,東京都新宿区歌舞伎町二丁目2-6 ライオンズマンション歌舞伎町第2-701,転落死,平成25年2月10日
39,新宿区,東京都新宿区歌舞伎町二丁目9−１５,401号、病死,26年5月
40,新宿区,東京都新宿区歌舞伎町二丁目22-10,自殺,平成30年10月2日
41,新宿区,東京都新宿区歌舞伎町二丁目8,"ホテルから飛び降り自殺
最上ビルとホテルの間で死亡。",平成25年1月15日
42,新宿区,東京都新宿区歌舞伎町二丁目11-15ホテルイマージュ506,硫化水素自殺,平成20年5月19日
43,新宿区,東京都新宿区歌舞伎町二丁目20-17朝日新宿館5F,湊□クリニック手術ミスによる患者死亡（現在は閉院）,2012年某月
44,新宿区,東京都新宿区歌舞伎町二丁目40-1レディース510,死体発見,平成23年3月1日
45,新宿区,東京都新宿区歌舞伎町二丁目27-4,前のホテルだった頃、女性の遺体発見,7年前ぐらい？
46,新宿区,東京都新宿区歌舞伎町二丁目28-11ホテルまつき1階-2階間踊り場,火災による死亡,平成28年1月7日
47,新宿区,東京都新宿区歌舞伎町二丁目1-11,無理心中 ．,令和3年4月16日
48,新宿区,東京都新宿区歌舞伎町二丁目9-17,車両事故死,平成29年8月19日
49,新宿区,東京都新宿区新宿六丁目27-20 ダイヤモンドレジデンス新宿,1階 101号室 2018年11月10日 告知事項有り,平成30年11月10日
50,台東区,東京都台東区東上野三丁目15-12,告知事项あり,2019年
51,台東区,東京都台東区東上野二丁目21-11上野ターミナルホテル2階,絞殺,平成21年6月24日
52,台東区,東京都台東区上野六丁目8-1 カプセルサウナセンチュリー,2階休息コーナー 脳内出血による死亡,平成20年12月27日
53,台東区,東京都台東区東上野一丁目14タイムズ東上野第27,死体発見,平成24年12月4日
54,台東区,東京都台東区上野六丁目2-11,自殺,平成29年12月27日
55,台東区,東京都台東区台東四丁目29-15 ４０２号室,脳梗塞による孤高死。単身赴任中に死去,平成26年6月23日
56,台東区,東京都台東区東上野二丁目6-2パーク・キューブ上野705,殺人,平成21年2月25日
57,台東区,東京都台東区元浅草二丁目2-12,302の住民が死亡,2020年10月
58,台東区,東京都台東区東上野二丁目25-12,飛び降り,平成31年2月12日
59,墨田区,東京都台東区元浅草二丁目7-8ツクバホテル713,硫化水素自殺,平成21年5月10日
60,墨田区,東京都台東区花川戸一丁目3-6 花川戸ビル,首吊り自殺,平成19年1月27日
61,墨田区,東京都墨田区吾妻橋一丁目23-30 URリバーピア吾妻橋ライフタワー1907↓,飛び降りて死亡,平成30年10月4日
62,墨田区,東京都墨田区吾妻橋二丁目5-1,詳細の日付は不明だが5階の部屋で住人が孤高死してる,令和元年10月1日
63,豊島区,東京都豊島区南池袋二丁目30-16,心理的瑕疵物件,令和3年11月
64,豊島区,東京都豊島区南池袋二丁目9-17,"11階あたりの部屋から飛び降り自殺
1階の裏口に落下",2013年1月ごろ
65,豊島区,東京都豊島区南池袋二丁目9-17ニッシンパレステージ池袋804,男性の変死体発見,2018年６月
66,豊島区,東京都豊島区南池袋二丁目8-18,飛び降り自殺,平成27年8月30日
67,豊島区,東京都豊島区南池袋二丁目8-6,心理的瑕疵物件あり8階,不明
68,豊島区,東京都豊島区南池袋二丁目43-21,三階の一室にて自殺,2012年前後
69,豊島区,東京都豊島区東池袋四丁目5-1エアライズタワー↓,飛び降り自殺,令和4年6月5日
70,豊島区,東京都豊島区東池袋四丁目21-1,飛び降り,平成29年12月15日
