,district,date,address,content
0,Akishima Shi,不明,東京都立川市西砂町二丁目38-5 レオパレス西砂川 207号室,告知事項が御座います
2,Akishima Shi,令和4年5月21日,東京都立川市西砂町一丁目15-25 クレイノソレイユ立川,"102号室
告知事項有"
6,Akishima Shi,2021年,東京都昭島市武蔵野二丁目22-16,独身寮。変死見つかる。
7,Akishima Shi,不明,東京都立川市一番町1丁目14-1 ハイホーム立川一番町 5階/512号室,"告知事項有り

リフォーム済み（2017年07月）"
13,Akishima Shi,令和4年3月1日,東京都立川市上砂町一丁目9-19,"ニューノース壱番館306号室
変死体発見"
15,Akishima Shi,2020年夏,東京都立川市上砂町一丁目,飛び降り
16,Akishima Shi,平成26年12月18日,東京都立川市上砂町一丁目13-1都営上砂町一丁目アパート11号棟316,火災による死亡
17,Akishima Shi,平成22年7月頃,東京都福生市熊川1628-1,独居老人が室内で孤高死
20,Akishima Shi,令和4年5月28日,東京都立川市西砂町二丁目49-2 カザベーラ西武立川,"303号室 分譲賃貸
告知事項有"
35,Akishima Shi,平成29年7月5日,東京都立川市砂川町二丁目71-1,庭石の下敷きになり死亡
37,Akishima Shi,2020年1月現在,東京都昭島市中神町1366-49,告知事項あり（不動産情報より）
38,Akishima Shi,平成21年頃,東京都昭島市武蔵野二丁目2-25 レクセルアベニュー昭島502,告知事項有
39,Akishima Shi,時期不明,東京都昭島市中神町1357-14 メゾン日吉 3階,心理的瑕疵有
40,Akishima Shi,平成30年8月1日,東京都昭島市中神町1366-37,老婆、孤高死
44,Akishima Shi,2014年ごろ,東京都昭島市東町五丁目1-39,車内で男女が焼身自殺
45,Akishima Shi,令和4年7月5日,東京都昭島市東町一丁目13-8 ハイム原島,"103号室
告知事項あり"
46,Akishima Shi,令和2年2月24日,東京都昭島市東町一丁目13-8ハイム原島,風呂場で首吊り自殺
47,Akishima Shi,平成25年2月23日,東京都昭島市東町一丁目3-7,火災による死亡
48,Akishima Shi,2017~2018年,東京都立川市富士見町一丁目30-15,ニュースハイツ105号室で過去に人が死亡しております。登記簿上の立川駅前のABC不動産に差押えが入り、公売になっておりました。生活保護者がほとんど入居している再築不可物件であります。公売公告には心理的瑕疵の記載が見落とさており、公売の鑑定評価でも見落とされている模様です。入居希望者は注意が必要な物件となります。ABC不動産の社長ご本人に確認した内容となります。立川警察では事件記録の閲覧は不可となっております。
49,Akishima Shi,令和二年～三年頃,東京都立川市富士見町一丁目3-3,サンハイム峰2階奥側の部屋で孤独死？事件性無し
50,Akishima Shi,2005ぐらい,東京都立川市富士見町四丁目10-22,刺殺
51,Akishima Shi,平成20年くらい？,東京都立川市富士見町一丁目4-29,飛び降り自殺
52,Akishima Shi,令和元年9月5日,東京都立川市富士見町二丁目32,201号室
60,Akishima Shi,令和5年5月29日,東京都立川市富士見町六丁目22-22,火災による死亡
61,Akishima Shi,2010年前後,東京都立川市富士見町六丁目28号棟,高齢女性が独りで暮らしていた5階の部屋から出火。居住者は死亡。
63,Akishima Shi,平成31年12月,東京都立川市富士見町六丁目40-22,孤高死(白骨化)
64,Akishima Shi,1979年12月15日,東京都立川市富士見町六丁目39−３多摩荘2号室,漫画家が妻子殺害
65,Akishima Shi,平成23年7月28日,東京都立川市富士見町六丁目51-1都営立川富士見町六丁目アパート51号棟806,傷害致死
70,Akishima Shi,令和4年6月1日,東京都八王子市小宮町344 カサ・ヴェルデ（Casa Verde）,"203号室 角部屋
告知事項あり"
72,Akishima Shi,2016年頃,東京都八王子市滝山町一丁目214日通トランスポート多摩（営）,夜中の運行ドライバーがカゴ台車の下敷きになり死亡。
75,Akishima Shi,2021,東京都昭島市拝島町三丁目10-4,906 死体発見
76,Akishima Shi,2005年前後？,東京都昭島市拝島町,飛び降り
77,Akishima Shi,2004年頃,東京都昭島市拝島町三丁目9-1拝島団地1号棟,"夏頃102号室で老婆の孤高死、異臭がするの為、真上の階に住んでいた住人が通報。
その他にも上記の上の階の住人の202号室ではラップ音とポルターガイスト現象が起こったとの事。(テレビが勝手につく)等…。"
80,Akishima Shi,平成22年4月30日,東京都昭島市拝島町三丁目11-6,飛び降り自殺２件・孤高死１件
81,Akishima Shi,時期不明,東京都昭島市拝島町二丁目19-20 インターメディアハイツ 3階/301号室,心理的瑕疵有
82,Akishima Shi,時期不明,東京都昭島市拝島町二丁目19-22 サンアベニュー野島 1階/111号室,心理的瑕疵有
83,Akishima Shi,2005年9月頃,東京都昭島市拝島町二丁目19-22,"一階の一番奥の部屋。
当時隣の部屋に住んでいました。
管理会社から連絡があり隣の様子を見て来てくれないかとのことで外から様子を見るとガラスに目貼りがしてありハエが何匹も飛んでいるのがわかりました。
その後、仕事のため家をでなければいけなかったので、翌日その管理会社に電話をしたところ、自殺したとのこと。その他の詳細は教えられないと言われました。
悪臭と虫の大量発生で対応をお願いしたのですがなにもしてもらえませんでした。
しかも簡単な清掃をした後なのか、その後部屋のドアが開けっぱなしになっていました。ちょっとのぞいたら床に死んだウジ虫が大量にありました。
リフォームは2～3週間後でした。"
84,Akishima Shi,2014年2月,東京都昭島市緑町五丁目9-10,2014年頃 前オーナー自殺
88,Akishima Shi,平成26年4月15日,東京都昭島市緑町四丁目19-16グリーンコーポ205,死体発見
89,Akishima Shi,不明,東京都昭島市緑町四丁目14-22 アンプルール ブワ 翠 1階 108号室,告知事項有り
90,Akishima Shi,不明,東京都昭島市緑町四丁目14-22 アンプルールブワ翠 1階/110号室,告知事項有り
91,Akishima Shi,不明,東京都昭島市緑町四丁目14-22 アンプルールブア翠 102号室,告知事項が御座います
92,Akishima Shi,2009頃,東京都昭島市松原町五丁目15−13,201号室で老人孤高死
