,district,date,address,content
0,Fussa Shi,平成22年7月頃,東京都福生市熊川1628-1,独居老人が室内で孤高死
1,Fussa Shi,平成22年5月25日,東京都昭島市美堀町五丁目16-10,独身居住者が病死し、遺体で発見された
2,Fussa Shi,2006年3月末頃,東京都福生市大字熊川1655-15,"孤高死、もしくは毒殺。(コップに酒が残っており、口や鼻からも嘔吐物が有った為。)
遺体はうつ伏せのまま、死後約18日で発見される
発見日は4/16日。カレンダーには3/28まで×印が付いていた。"
3,Fussa Shi,時期不明,東京都昭島市緑町五丁目14-20 グリーンタウン・ミキ 2階/205号室,心理的瑕疵あり
4,Fussa Shi,令和4年9月4日,東京都昭島市緑町五丁目14-20 グリーンタウン・ミキ,"313号室
告知事項あり"
5,Fussa Shi,2014年2月,東京都昭島市緑町五丁目9-10,2014年頃 前オーナー自殺
6,Fussa Shi,時期不明,東京都昭島市拝島町二丁目19-20 インターメディアハイツ 3階/301号室,心理的瑕疵有
7,Fussa Shi,時期不明,東京都昭島市拝島町二丁目19-22 サンアベニュー野島 1階/111号室,心理的瑕疵有
8,Fussa Shi,平成26年4月15日,東京都昭島市緑町四丁目19-16グリーンコーポ205,死体発見
9,Fussa Shi,不明,東京都昭島市緑町四丁目14-22 アンプルール ブワ 翠 1階 108号室,告知事項有り
10,Fussa Shi,不明,東京都昭島市緑町四丁目14-22 アンプルールブワ翠 1階/110号室,告知事項有り
11,Fussa Shi,不明,東京都昭島市緑町四丁目14-22 アンプルールブア翠 102号室,告知事項が御座います
12,Fussa Shi,平成22年4月30日,東京都昭島市拝島町三丁目11-6,飛び降り自殺２件・孤高死１件
13,Fussa Shi,令和4年5月26日,東京都福生市南田園二丁目15-6 ビューティフルプラザ,"3階 角部屋 南向き2LDK（LDK14帖、洋室6帖、和室6畳）
専有面積57.12㎡
告知事項あり"
14,Fussa Shi,2年前,東京都福生市南田園二丁目15-9,"福生団地12号棟
11階共用廊下から
2年前に飛び降り自殺
過去飛び降り自殺多数"
15,Fussa Shi,2015年11月の広告記載,東京都福生市北田園二丁目5-2,"告知事項あり物件
一階"
16,Fussa Shi,2015～2016頃,東京都福生市北田園一丁目12-1,孤高死 腐乱死体の噂あり
17,Fussa Shi,令和3年4月2日,東京都あきる野市草花1932-4,絞殺
18,Fussa Shi,2010,東京都羽村市川崎二丁目6-19,マンションから飛び降り自殺
19,Fussa Shi,令和4年10月6日,東京都福生市福生1688 コーポラス天神3,"2階 角部屋
告知事項あり"
20,Fussa Shi,2003〜2012年,東京都羽村市川崎二丁目1-1レオパレスオリバ川崎201,"不明
※現在空室なし"
21,Fussa Shi,２０００年頃の春〜夏,東京都福生市加美平一丁目28-9,"この会社の隣にある八百屋のおじさんが自家用車をこちらの会社の駐車場に持ち込み車内で自殺しました。
当時は 家族が勤務しており会社名はマツダアンフィニ関東と言う名称でした。"
22,Fussa Shi,2010年〜2012年,東京都福生市加美平四丁目1-11 105号室,退院し仕事復帰の予定だった男性が出勤せず、連絡も取れない。通報後死亡が確認された。
23,Fussa Shi,不明,東京都福生市武蔵野台二丁目34-2 レヂオンス武蔵野台 1階,"告知事項有

リフォーム完成予定：平成29年11月末"
24,Fussa Shi,５～６年前,東京都福生市武蔵野台一丁目28-1,当時20代女性が警察も出動し目撃者多数のなか12階から飛び降り自殺
25,Fussa Shi,20年以上前,東京都福生市武蔵野台一丁目27−５,飛び降り自殺
26,Fussa Shi,平成23年3月,東京都福生市福生1975-2モナーク福生603,死体発見
27,Bunkyo Ku,平成23年3月,東京都福生市福生1975-2モナーク福生603,死体発見
28,Bunkyo Ku,2015年2月15日,東京都北区田端一丁目10-13ローエングリン2F(部屋番は不明),某不動産サイトにて定期借家、告知事項ありの記載あり
