,district,date,address,content
0,Taito Ku,不明,東京都台東区橋場二丁目3-11,"メロンハイツ2階

精神的瑕疵アリ"
1,Taito Ku,令和2年9月22日,東京都台東区橋場二丁目1-7橋場トドロキ6階,孤高死
2,Taito Ku,2008年以前,東京都台東区花川戸一丁目13-6,共用部外階段より投身自殺
3,Taito Ku,平成27年6月23日,東京都墨田区両国一丁目12-13,"2015年6月23日18時ごろ
飛び降り自殺 詳細不明"
4,Taito Ku,令和4年5月30日,東京都墨田区両国一丁目13-4 アイル東京リバーサイド,"6階 角部屋 東向き1K（洋室7.4帖、K） 専有面積25.61㎡ 分譲賃貸
心理的瑕疵有
定期借家（2年）"
5,Taito Ku,平成22年10月4日,東京都墨田区両国二丁目13-8 両国リバーホテル,年齢35歳位男性の死体発見
6,Taito Ku,不明,東京都台東区柳橋一丁目3-5 ダイヤモンドレジデンス柳橋 ５階,告知事項有り物件
7,Taito Ku,平成24年6月22日,東京都中央区日本橋横山町9-13,9階絞殺事件
8,Taito Ku,令和4年10月18日,東京都中央区東日本橋二丁目23-5 パレステュディオドルチェ日本橋EAST,"7階
告知事項あり"
9,Taito Ku,令和元年12月11日,東京都台東区柳橋一丁目1-10 ドヌール柳橋,飛び降り自殺
10,Taito Ku,2018年,東京都中央区東日本橋二丁目25-4,ホテル利用者が病死
11,Taito Ku,平成19年2月14日,東京都千代田区神田佐久間町四丁目6齋田ビル301,殺人・死体遺棄→
12,Taito Ku,平成22年11月,東京都千代田区岩本町三丁目6-3タワーコート秋葉原902,自殺
13,Taito Ku,不明,東京都千代田区神田佐久間町四丁目11 プレール神田佐久間町 202号室,不明/告知事項あり
14,Taito Ku,2020年2月現在,東京都台東区浅草橋四丁目3-6 Charm One 1階,告知事項あり（不動産情報より）
15,Taito Ku,平成24年12月1日,東京都台東区浅草橋五丁目1-33 THEパームス浅草橋パルクレ・スタ,首吊り自殺
16,Taito Ku,2015年頃。,東京都台東区台東一丁目26-2,法務局上の寮から飛び降り自殺
