,district,date,address,content
0,Katsushika Ku,24年,東京都葛飾区西水元四丁目8-13,老婆がお風呂場で死亡
2,Katsushika Ku,平成30年2月14日,埼玉県八潮市大瀬1654,火災による死亡
7,Katsushika Ku,平成24年1月9日,埼玉県三郷市高州二丁目21-1,火災による死亡
8,Katsushika Ku,令和3年11月21日,埼玉県三郷市高州一丁目348-1,火災による死亡
9,Katsushika Ku,2023年,埼玉県三郷市鷹野一丁目255,部屋番号は記載しないが自殺あり
11,Katsushika Ku,平成26年1月31日,埼玉県三郷市高州二丁目390-1グローリー高州313,火災による死亡
15,Katsushika Ku,平成27年3月31日,東京都葛飾区水元四丁目11-12,死体発見
17,Katsushika Ku,平成24年12月26日,埼玉県三郷市高州四丁目82メゾンサファイア1階,火災による死亡
18,Katsushika Ku,平成24年12月7日,東京都葛飾区東金町五丁目51-11,２Ｆ部屋番不明 自殺
22,Katsushika Ku,10年以上前だと思う,千葉県松戸市松戸1149,屋上から飛び降り自殺。一階外の花屋の前が事故現場
23,Katsushika Ku,2019年,千葉県松戸市根本466-3,買春男性死亡事件(ホテルチェックインの6階)
24,Katsushika Ku,平成19年5月18日,千葉県松戸市本町20-1,"20代男性の腐乱遺体発見。屋上から転落の後、発見されるまでに数週間を要した。
1階、サーティーワンアイスクリーム松戸店の裏側。
http://blog.livedoor.jp/mma_music_andmore/archives/50919619.html"
25,Katsushika Ku,8年前くらい,千葉県松戸市松戸1315-4,屋上から男性が飛び降り自殺。一階広場に居た女性の目の前に落下。以降は飛び降りは発生していないが以前は度々飛び降りが発生している。
27,Katsushika Ku,平成29年1月31日,千葉県松戸市松戸1859-1,首吊り自殺
28,Katsushika Ku,2022年7月1日,千葉県松戸市松戸2094-10,孤高死
31,Katsushika Ku,平成24年6月30日,千葉県松戸市本町12,立体駐車場に挟まれ男性死亡
32,Katsushika Ku,令和4年9月18日,千葉県松戸市松戸2082-2 ベルドミール松戸,"1階 角部屋 南向きワンルーム（洋室8帖） 専有面積19.5㎡ 賃料4.3万円
告知事項あり"
33,Katsushika Ku,2023年年始,千葉県松戸市松戸1853-2,11階元所有者自殺、2階容認事項あり
38,Katsushika Ku,2022年,千葉県松戸市松戸1135-4,suumoにて告知事故有との記載あり
39,Katsushika Ku,2014年,千葉県松戸市松戸1081,練炭自殺
42,Katsushika Ku,平成29年5月1日,千葉県松戸市松戸1554-4,1階正面側にある部屋。浴槽で溺死
43,Katsushika Ku,3、4年程前？,千葉県松戸市小山33,成人男性が首吊り自殺
44,Katsushika Ku,平成21年10月22日,千葉県松戸市松戸1649-1ウィンベルデュエット松戸No.9 204,刺殺
45,Katsushika Ku,不明,千葉県松戸市松戸1595-9,心理的瑕疵あり
48,Katsushika Ku,---,東京都葛飾区東金町三丁目19-2,3階 告知事項有り
51,Katsushika Ku,令和4年8月6日,東京都葛飾区金町六丁目7-8 ユタカキャピタル金町,"6階 南向き2LDK（LDK13.1帖、洋室5.6帖、洋室4.2帖） 専有面積55.44㎡ バルコニー面積7.11㎡ 価格2,798万円 管理費等10,800円 修繕積立金7,870円
告知事項有
2022年10月中旬リフォーム完了予定"
52,Katsushika Ku,平成29年11月17日,東京都葛飾区金町三丁目46-9,火災による死亡
54,Katsushika Ku,平成28年9月25日,東京都葛飾区金町三丁目24-7,火災による死亡
55,Katsushika Ku,令和4年5月3日,東京都葛飾区金町三丁目25-7 グリーンハイツ,"2階 角部屋
告知事項有
定期借家物件"
59,Katsushika Ku,平成28年5月,千葉県松戸市栗山121-24. 102号室,告知事項有り
61,Katsushika Ku,2020年秋ごろ,千葉県松戸市栗山158-3,心理的瑕疵
62,Katsushika Ku,平成21年4月4日,千葉県松戸市栗山171-3,"こたつから住人の男性(22)のミイラ化した遺体を発見
(死後数ヶ月経過)
木造2階建てアパート「サニーハイツ宮本」1階102号室"
67,Katsushika Ku,令和2年9月15日,東京都江戸川区北小岩八丁目3,独居老人、風呂場で死亡
68,Katsushika Ku,平成26年7月22日,東京都葛飾区鎌倉三丁目28-17,死体遺棄
69,Katsushika Ku,不明,東京都江戸川区北小岩八丁目5-18,"ピタアタ北小岩2F（部屋番号不明）
心理的瑕疵物件あり"
70,Katsushika Ku,平成19年9月1日,東京都江戸川区北小岩八丁目30-11,ミイラ
77,Katsushika Ku,不明,東京都江戸川区北小岩六丁目53-10,"メゾンドゥヴァンテアン1F（部屋番号不明）
心理的瑕疵物件あり"
79,Katsushika Ku,2012年頃,東京都江戸川区北小岩六丁目4,"硫化水素自殺
今は新しい家が建っている"
81,Katsushika Ku,平成22年7月18日,東京都葛飾区鎌倉三丁目54-3 かたばみ荘,2階2号室 年齢63歳（自称）男性の死体発見
83,Katsushika Ku,令和4年7月23日,東京都葛飾区鎌倉四丁目29-12 鎌倉ハイツB,"2階 角部屋 南向き1DK（洋室6帖、DK4.5帖） 専有面積24.84㎡
賃料5万円
心理的瑕疵あり
新規リフォーム中（入居時期2022年8月中旬）
外国人可"
86,Katsushika Ku,平成27年11月14日,東京都江戸川区北小岩六丁目38-10パークアベニュー301,絞殺
89,Katsushika Ku,平成24年11月28日,東京都葛飾区鎌倉四丁目34-6,死体発見
91,Katsushika Ku,平成17年9月1日,東京都江戸川区北小岩七丁目19-2,心理的瑕疵物件あり
94,Katsushika Ku,平成26年5月24日,東京都江戸川区北小岩六丁目20-6,心理的瑕疵物件
100,Katsushika Ku,平成24年7月6日,東京都江戸川区北小岩六丁目1-8レジデンス北小岩101,死体発見
103,Katsushika Ku,不明,東京都江戸川区北小岩六丁目9-12 メゾン・ド・ボヌール 4階,心理的瑕疵有
121,Katsushika Ku,平成21年3月21日,東京都江戸川区西小岩三丁目38-7レーベンハイム西小岩ロイヤルガーデン屋上↓2F,転落死
122,Katsushika Ku,令和元年12月26日,東京都江戸川区西小岩三丁目27-9高田荘2階,火災による死亡
126,Katsushika Ku,平成25年7月15日,東京都江戸川区北小岩二丁目27-8田中荘2F13,死体発見
130,Katsushika Ku,2011年,東京都江戸川区西小岩四丁目5-15,首吊り自殺
139,Katsushika Ku,令和4年10月18日,東京都江戸川区西小岩三丁目37-20 コーポマリノ,"101号室 角部屋
心理的瑕疵あり"
145,Katsushika Ku,2005年1月,東京都葛飾区奥戸六丁目25-8,"２階の１室より出火。
火元の住人は死亡。"
146,Katsushika Ku,2012年,東京都江戸川区南小岩六丁目4-3 小林荘202,首吊り自殺(男性)
152,Katsushika Ku,平成26年1月2日,東京都江戸川区上一色二丁目7-5ダイアパレス小岩,死体発見
153,Katsushika Ku,2018,東京都江戸川区上一色二丁目14-14,2018、60代女性孤高死
154,Katsushika Ku,平成25年9月30日,東京都江戸川区上一色２丁目１４-４,首吊り
155,Katsushika Ku,平成20年5月1日,東京都江戸川区興宮町16-15,火災による死亡
156,Katsushika Ku,平成27年1月2日,東京都葛飾区東新小岩二丁目10-6,"6号棟、奥から2個目の302

玄関で首吊り自殺"
162,Katsushika Ku,2020年3月現在,東京都江戸川区上一色一丁目9-5 新ナガシマレジデンス 2階,前入居者室内で病死（不動産情報より）
164,Katsushika Ku,2020年2月現在,東京都江戸川区上一色一丁目1-14 メゾンツチサワ 3階,心理的瑕疵あり（不動産情報より）
165,Katsushika Ku,2009年頃,東京都江戸川区本一色,首吊り自殺
166,Katsushika Ku,2019年2月頃？,東京都江戸川区上一色一丁目12-1,"101号室
居室内で孤高死
（不動産屋情報）"
167,Katsushika Ku,H28年春頃？,東京都江戸川区興宮町14-12,2F病死
174,Katsushika Ku,令和5年2月7日,東京都葛飾区新小岩四丁目43-2,刺殺
183,Katsushika Ku,10年くらい前,東京都江戸川区本一色一丁目12-1,３０代男性、転落死
184,Katsushika Ku,不明,東京都葛飾区新小岩四丁目26-8,心理的瑕疵あり
185,Katsushika Ku,2020年1月現在,東京都江戸川区本一色三丁目24-24 エスポアール 202,告知事項あり（不動産情報より）
188,Katsushika Ku,2020年夏頃,東京都江戸川区松島三丁目26-8 アンバサダ 2階,2階の2部屋で高齢者が自然死
189,Katsushika Ku,平成30年7月12日,東京都江戸川区松島三丁目34-19,2階で高齢男性孤高死 約1週間後に発見
190,Katsushika Ku,--,東京都江戸川区松島二丁目31-8,メゾン藤 0201号室 告知事項有り
196,Katsushika Ku,平成25年4月25日,東京都葛飾区新小岩一丁目54-9 塚田荘,死体発見
199,Katsushika Ku,平成27年8月9日,東京都葛飾区新小岩三丁目27-12,傷害致死
205,Katsushika Ku,令和2年2月8日,東京都江戸川区中央一丁目20,傷害致死事件
206,Katsushika Ku,令和元年9月6日,東京都江戸川区中央一丁目20,警察多数出動。杉田ひろとを名乗るお爺さんや街宣右翼や初音ミクのハッピを着たアメリカ人男性などが出現、聞いた話では、自殺が発生したらしい。
208,Katsushika Ku,令和4年9月26日,東京都江戸川区松島三丁目27-15 マツシマTRA,"2階 角部屋 南東向き2LDK（LDK11帖、洋室6帖、洋室5.5帖） 専有面積52.92㎡ 賃料10.6万円 管理費等9,300円
告知事項あり"
211,Katsushika Ku,令和4年5月11日,東京都葛飾区新小岩三丁目29-9 栂池荘,"1階 角部屋 南向き2K 専有面積22.27㎡
告知事項あり"
215,Katsushika Ku,2018年3月,東京都葛飾区新小岩二丁目38-8,"Monterio 103号室
首吊り自殺"
224,Katsushika Ku,2019年8月頃,東京都江戸川区松島三丁目13-14 コーポダン 3階,告知事項あり（不動産情報より）
229,Katsushika Ku,不明,東京都江戸川区松島三丁目12-11,詐欺師の住む家
236,Katsushika Ku,2021年頃,東京都江戸川区松島三丁目8-16,サンコート205号室で事故
240,Katsushika Ku,令和2年5月12日,東京都江戸川区平井七丁目34-40 304号,浴室で死亡
241,Katsushika Ku,令和元年5月15日,東京都葛飾区堀切二丁目21-12,"せきコーポ １０２号室
姉が妹を刺殺"
245,Katsushika Ku,不明,東京都葛飾区堀切二丁目45-4,"ウィンベル・ソロ堀切菖蒲園 2階/部屋不明
心理的瑕疵有
https://www.homes.co.jp/chintai/b-1246620038129/"
246,Katsushika Ku,14年程前の3月,東京都葛飾区堀切一丁目41-11,"飛び降り自殺は こっちでした。
未だに足音が聞こえてきたり
扉を叩く音がするらしい"
247,Katsushika Ku,2014 夏ごろ,東京都葛飾区堀切一丁目42-8,高齢男性孤高死
248,Katsushika Ku,令和4年9月17日,東京都葛飾区堀切三丁目33-6 ユナイテッドグロー堀切菖蒲園,"503号室
告知事項有"
251,Katsushika Ku,2011,東京都葛飾区堀切二丁目17-11,18歳の子がマンションが飛び込みしぼうしました!
258,Katsushika Ku,平成19年4月20日,東京都足立区柳原二丁目23-14,火災による死亡
259,Katsushika Ku,2018年,東京都足立区柳原二丁目39-6,告知事項、心理的瑕疵有りとのこと２０２０年９月不動産業者の情報より
261,Katsushika Ku,平成16年4月20日,東京都足立区西綾瀬一丁目4-14,殺人
265,Katsushika Ku,平成21年3月15日,東京都足立区足立三丁目27-1 プラザホワイトC,11階より 飛び降り自殺
268,Katsushika Ku,令和4年5月26日,東京都足立区西綾瀬四丁目2-37,一人暮らし70代女性病死と思われる。死後1週間ほどで発見される。
271,Katsushika Ku,平成30年頃,東京都足立区西綾瀬一丁目6-6,老人の孤高死
272,Katsushika Ku,平成22年11月23日,東京都足立区綾瀬一丁目33-15,絞殺
276,Katsushika Ku,令和2年4月8日,東京都足立区西綾瀬二丁目3-9,火災による死亡
278,Katsushika Ku,2006年頃,東京都足立区西綾瀬一丁目5-7 5階,殺人後、自殺
279,Katsushika Ku,平成22年5月17日,東京都足立区西綾瀬二丁目4-2,死体発見
283,Katsushika Ku,2018/12,東京都足立区綾瀬一丁目33-27,"1階/101
物件情報で告知事項有りの表記"
285,Katsushika Ku,平成31年3月16日,東京都足立区綾瀬一丁目33-14アークステージ綾瀬 B1,オーナー川口達也等による従業員暴行死
287,Katsushika Ku,平成22年8月6日,東京都葛飾区小菅一丁目28,刃物による自殺
290,Katsushika Ku,令和4年11月2日,東京都足立区綾瀬一丁目18-11カーサ弥生205,火災による死亡
291,Katsushika Ku,不明,東京都足立区綾瀬二丁目3-16,男性が駐車場でガソリン被って焼身自殺
292,Katsushika Ku,平成27年10月27日,東京都葛飾区小菅四丁目五丁目13-202,腐敗臭により発見
294,Katsushika Ku,平成29年5月11日,東京都足立区綾瀬二丁目6-3,死体発見
295,Katsushika Ku,平成22年7月25日,東京都足立区綾瀬二丁目11-2,201号室 男性 孤高死 腐乱化異臭で発見
296,Katsushika Ku,2020年1月現在,東京都足立区綾瀬一丁目29-1 大塚マンション 206,告知事項あり（不動産情報より）
299,Katsushika Ku,平成24年11月12日,東京都葛飾区小菅三丁目19-16 アーバンコート綾瀬,1階ポンプ室 死体発見
300,Katsushika Ku,平成22年7月23日,東京都足立区綾瀬二丁目6-15,"NKハイム101号室。
佐藤義剛が発狂して首吊り自殺。"
303,Katsushika Ku,不明,東京都足立区綾瀬一丁目16-10 グランシティユーロテラス 3階,心理的瑕疵有
308,Katsushika Ku,平成22年2月25日,東京都葛飾区堀切八丁目26,練炭自殺
317,Katsushika Ku,2018年11月頃,東京都足立区綾瀬一丁目33-29,居住者の高齢の男性が、住居内で孤高死。夜中に病院関係者や関係者とみられる方々が遺体を運び出していた。内部は荒れており身体や精神に病を抱えていたとみられる。
323,Katsushika Ku,平成29年12月9日,東京都足立区綾瀬二丁目25-7Feminaアヤセ8階,死体発見
324,Katsushika Ku,平成24年5月15日,東京都足立区綾瀬四丁目9-18レックスハイツ綾瀬ステーションタワー11階↓,転落死
343,Katsushika Ku,2014年,東京都葛飾区堀切八丁目1-1,自殺
355,Katsushika Ku,不明,東京都足立区綾瀬二丁目3-9,猟銃自殺
370,Katsushika Ku,平成17年9月1日,東京都足立区東綾瀬一丁目6-5,飛び降り自殺
372,Katsushika Ku,令和3年6月16日,東京都葛飾区西亀有二丁目58-1,縊死
373,Katsushika Ku,不明,東京都足立区東綾瀬一丁目9-4 プラザ白うめ 302号室,告知事項が御座います
375,Katsushika Ku,令和4年7月17日,東京都足立区綾瀬五丁目18-18 ニューサンハイツ綾瀬,"206号室
告知事項有"
377,Katsushika Ku,令和4年8月8日,東京都足立区綾瀬五丁目19-7,心理的瑕疵404号室
378,Katsushika Ku,2012,東京都足立区綾瀬三丁目22-6,死因不明 孤高死？による腐乱死体発見
379,Katsushika Ku,平成18年4月15日,東京都足立区東綾瀬一丁目23-14松本マンション205,殺人
380,Katsushika Ku,平成20年,東京都足立区綾瀬五丁目23-1,1階で老人の孤高死
381,Katsushika Ku,2020/03/19,東京都足立区東綾瀬一丁目20-5 206,不明
382,Katsushika Ku,2020年1月現在,東京都足立区東綾瀬一丁目20-5 勘五郎マンション 103,告知事項あり（不動産情報より）
383,Katsushika Ku,2015年9月,東京都足立区東綾瀬一丁目21-10,独身者自殺
384,Katsushika Ku,不明,東京都足立区東綾瀬二丁目7-2,"パークタウン東綾瀬2号棟1004号室
特別募集住宅"
385,Katsushika Ku,平成25年7月14日,東京都足立区東綾瀬二丁目3-22シルバーピア東綾瀬6階,熱中症による死亡
394,Katsushika Ku,3.4年前,東京都足立区東和一丁目12-17,自殺
395,Katsushika Ku,平成25年10月19日,東京都足立区東和一丁目13,不明
400,Katsushika Ku,平成19年6月22日,東京都足立区東和一丁目7-10ラフォーレ21 303,死体発見
402,Katsushika Ku,不明,東京都足立区東綾瀬一丁目16-16,心理的瑕疵物件
409,Katsushika Ku,平成23年1月30日,東京都葛飾区西亀有四丁目3-14さくら荘1F,火災による死亡
415,Katsushika Ku,令和2年6月7日,東京都足立区東和二丁目4-7,402号室 ベランダで首つり
416,Katsushika Ku,2014年初夏,東京都足立区東和二丁目4-15,"二階、独居男性、二名死亡。
死因不明。
発見まで時間が経過"
418,Katsushika Ku,令和4年5月20日,東京都葛飾区亀有五丁目5-12 アドレセント21,"202号室
告知事項あり"
423,Katsushika Ku,不明,東京都足立区東和三丁目東和サニーハイツ103,告知事項あり
424,Katsushika Ku,2017年4月問い合わせ時,東京都足立区東和二丁目11-10,"告知事項あり
102号室にて前入居者が孤高死とのこと"
425,Katsushika Ku,令和2年3月14日,東京都足立区東和二丁目21-1,3-Aに告知事項あり
426,Katsushika Ku,平成27年5月2日,東京都葛飾区亀有五丁目12-12,飛び降り
428,Katsushika Ku,平成28年1月3日,東京都足立区中川四丁目29-9,6階部分にある部屋 首を刺し、自殺
431,Katsushika Ku,令和4年5月17日,東京都葛飾区亀有五丁目38-7 エステートミズノ,"205号室 角部屋
告知事項あり"
432,Katsushika Ku,平成30年1月28日,東京都葛飾区亀有五丁目48-15ダイアパレス亀有211,火災による死亡
433,Katsushika Ku,不明,東京都葛飾区亀有五丁目53-11 サンヨコーポ 305号室,告知事項あり
436,Katsushika Ku,令和3年9月1日,東京都葛飾区亀有五丁目46-1,孤高死
439,Katsushika Ku,10年以上前,東京都葛飾区亀有五丁目48,当時あったパチンコ店の上階マンションより死因不明の腐乱死体発見。その後、取り壊しコインパーキングになった後に分譲マンション建設。
440,Katsushika Ku,2012年9月上旬～中旬,東京都葛飾区亀有五丁目13-13,"独居男性 孤高死(病死)
死後数日間発見されず腐敗"
441,Katsushika Ku,2-3年以内,東京都葛飾区亀有三丁目32-7 2-3階,"違法建築の建物内３階フロアで殺人事件
２階フロアで自殺未遂"
443,Katsushika Ku,10年以内,東京都葛飾区亀有五丁目21-6,首吊り自殺
444,Katsushika Ku,数年前,東京都葛飾区亀有五丁目54-8,首吊り自殺
449,Katsushika Ku,平成27年6月7日,東京都葛飾区亀有五丁目53-11サンヨ・コーポ206,絞殺
450,Katsushika Ku,不明,東京都葛飾区亀有五丁目53-11 サンヨコーポ 3階/306号室(角部屋),心理的瑕疵有
451,Katsushika Ku,数年前に飛び込み自殺,東京都葛飾区亀有三丁目29-1,"下が飲食ビルのマンション。
数年前に飛び込み自殺あり。マンション住人から聞きました。
資産価値が下がるので暗黙…"
454,Katsushika Ku,不明,東京都葛飾区亀有五丁目47-2,"カインドステージ亀有3F（部屋番号不明）
心理的瑕疵物件あり"
462,Katsushika Ku,2019,東京都足立区中川一丁目14-5,"エンゼルハイム亀有第二205号
孤高死だったと思います"
472,Katsushika Ku,平成30年1月27日,東京都葛飾区亀有三丁目9-7東久ハイツ406,幼児死亡 ．
479,Katsushika Ku,平成27年5月1日,東京都葛飾区亀有三丁目四二丁目6-10F,"キッチンで死亡(2014年6月ごろ)
2015年1月に発見"
482,Katsushika Ku,令和4年6月11日,東京都足立区中川一丁目5-6 アル・ソーレ亀有,"103号室
告知事項有り"
483,Katsushika Ku,令和2年8月,東京都足立区中川一丁目5-6,103号室 男性。室内で死亡。
484,Katsushika Ku,平成27年8月19日,東京都葛飾区亀有三丁目51-10,孤高死
495,Katsushika Ku,2018/7/10,東京都葛飾区新宿五丁目6-12,グリーンルーフ101 「告知事項あり」
497,Katsushika Ku,完成後数年,東京都足立区中川一丁目18-15,4階より飛び降り自殺
498,Katsushika Ku,完成直後,東京都足立区中川一丁目20-3,飛び降り自殺
499,Katsushika Ku,令和4年9月6日,東京都葛飾区新宿五丁目5-9 エスポワール,"104号室
告知事項あり
定期借家（3年）"
506,Katsushika Ku,H26年,東京都葛飾区新宿四丁目4-12,AP男性 孤高死
507,Katsushika Ku,2021年2～3月頃,東京都葛飾区新宿二丁目9-6,孤高死
508,Katsushika Ku,令和3年3月16日,東京都葛飾区新宿四丁目3-12,"公告
行旅死亡人本籍・住所・氏名不詳、男性、推定年齢70歳代位、やせ型、身長163㎝、白髪、面長、無精髭、緑色フリース、紺色長袖シャツ、ベージュ色長袖シャツ、青色長袖シャツ、ピンク色長袖シャツ、白色半袖シャツ2枚、灰色ズボン、タオル、年金手帳1冊、預金通帳1冊、現金105万9千円所持上記の者は、令和3年3月16日午後0時40分、葛飾区新宿4丁目3番12号の玄関にて、仰向け状態で死亡しているところを発見。死亡推定日令和3年3月14日頃。身元不明のため火葬に付し、遺骨を当区で保管。心当たりの方は当区福祉管理課まで。令和4年2月25日東京都葛飾区長青木克德"
513,Katsushika Ku,平成26年4月30日,東京都葛飾区金町四丁目3-1都営金町四丁目アパート1号棟402,死体発見
514,Katsushika Ku,平成20年12月23日,東京都葛飾区新宿四丁目26-9都営新宿二丁目アパート9号棟305,傷害致死
517,Katsushika Ku,平成25年11月か12月頃,東京都葛飾区金町五丁目9-3,50代後半の男性、孤高死、死後2~3週間ほどで発見。少し腐乱してた。
518,Katsushika Ku,平成20年2月21日,東京都葛飾区金町四丁目8-14,火災による死亡
519,Katsushika Ku,2021,東京都葛飾区新宿五丁目23-13,孤高死
523,Katsushika Ku,20年位前,東京都足立区大谷田五丁目18,"納品のトラックに下敷きになったアルバイトの脳が飛び散っていたらしい
心霊現象があるらしい"
524,Katsushika Ku,40年くらいまえ,東京都足立区大谷田五丁目18-9,2F駐車場にて死体発見
525,Katsushika Ku,平成17年10月21日,東京都足立区大谷田二丁目14-10セザール第2北綾瀬108,業務上過失致死
526,Katsushika Ku,5年ぐらい前,東京都足立区佐野一丁目18-19,自殺
527,Katsushika Ku,不明,東京都足立区佐野一丁目9-10 レオパレスプリシード3F,3Fの部屋で病死あり。
528,Katsushika Ku,2023年上旬,東京都足立区佐野一丁目12-4,"3階の一室で孤独死。
腐敗臭が凄かった。"
531,Katsushika Ku,15年前くらい,東京都足立区六木1丁目17-20,501号室で首を吊って死んだ人がいるらしい
533,Shinagawa Ku,平成30年2月14日,埼玉県八潮市大瀬1654,火災による死亡
535,Shinagawa Ku,平成２９年１２月,東京都品川区八潮3丁目2-65,飛び降り自殺
