,district,date,address,content
20,Akishima Shi,不明,東京都立川市一番町1丁目14-1 ハイホーム立川一番町 5階/512号室,"告知事項有り

リフォーム済み（2017年07月）"
21,Akishima Shi,2021年,東京都昭島市武蔵野二丁目22-16,独身寮。変死見つかる。
22,Akishima Shi,平成26年12月18日,東京都立川市上砂町一丁目13-1都営上砂町一丁目アパート11号棟316,火災による死亡
25,Akishima Shi,2020年夏,東京都立川市上砂町一丁目,飛び降り
26,Akishima Shi,2020年1月現在,東京都昭島市中神町1366-49,告知事項あり（不動産情報より）
32,Akishima Shi,令和4年3月1日,東京都立川市上砂町一丁目9-19,"ニューノース壱番館306号室
変死体発見"
79,Mitaka Shi,平成17年3月3日,東京都町田市鶴間775-1,殺人（人材派遣会社経営者）
80,Mitaka Shi,平成30年4月30日,東京都三鷹市大沢一丁目5-21,火災による死亡
82,Mitaka Shi,7年前ほど,東京都調布市富士見町四丁目39-8,男子生徒死亡
95,Okutama Machi,7年前ほど,東京都調布市富士見町四丁目39-8,男子生徒死亡
