,district,date,address,content
0,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
1,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
2,Bunkyo Ku,10年位前,東京都文京区本郷三丁目4-6,ビル裏手の駐車場に屋上からの飛び降り。近隣住民の親族で普段は遠方にいた人らしい。ビルとは無関係
3,Bunkyo Ku,令和3年3月27日,東京都文京区湯島三丁目3-2,"被疑事実：傷害致死→不起訴
死因：敗血症"
4,Bunkyo Ku,2013,東京都文京区本郷三丁目22-2 フローレンスパレス御茶ノ水フィアンコ ６０１,ミイラ（白骨化するまで発見されず）
5,Bunkyo Ku,2005年頃,東京都文京区湯島一丁目7-5,"東京ガーデンパレス4階客室
ドアノブに紐をかけ教師が首吊り自殺"
6,Bunkyo Ku,2005年頃,東京都文京区湯島一丁目7-5,"東京ガーデンパレス4階客室
ドアノブに紐をかけ教師が首吊り自殺"
7,Bunkyo Ku,平成31年4月20日,東京都文京区本郷三丁目2-15新興ビル1階,火災による死亡
8,Bunkyo Ku,2018年10月頃,東京都文京区本郷三丁目3-15,"順天堂の患者が不法侵入の後
７階の手擦りから飛び降り自殺、
ビルから出たら凄い音がして死体が転がってたと証言した
ヤマトのお兄さん巻き込まれる寸前で九死に一生"
9,Bunkyo Ku,2018年10月頃,東京都文京区本郷三丁目3-15,"順天堂の患者が不法侵入の後
７階の手擦りから飛び降り自殺、
ビルから出たら凄い音がして死体が転がってたと証言した
ヤマトのお兄さん巻き込まれる寸前で九死に一生"
10,Bunkyo Ku,2018年10月頃,東京都文京区本郷三丁目3-15,"順天堂の患者が不法侵入の後
７階の手擦りから飛び降り自殺、
ビルから出たら凄い音がして死体が転がってたと証言した
ヤマトのお兄さん巻き込まれる寸前で九死に一生"
11,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
12,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
13,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
14,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
15,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
16,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
17,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
18,Bunkyo Ku,2009,東京都文京区湯島二丁目4-8,"マンションの部屋番号は忘れてしまったのですが、
２００９年夏、相場より賃料が安い部屋があったので問い合わせたら
自殺があったので、リフォームしたとのこと。とても綺麗な部屋になっていました。"
19,Bunkyo Ku,2008年頃,東京都千代田区神田駿河台二丁目3−1,ロッテリアの入るビル8階から飛び降り、一階五右衛門パスタに降りる階段手すりに激突、通行人多数の昼間の出来事
20,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
21,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
22,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
23,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
24,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
25,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
26,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
27,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
28,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
29,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
30,Bunkyo Ku,2017年8月以前,東京都文京区本郷二丁目15-1,クレール本郷 2階 所有者の母が室内で孤高死。死後3日に発見。
31,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
32,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
33,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
34,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
35,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
36,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
37,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
38,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
39,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
40,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
41,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
42,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
43,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
44,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
45,Bunkyo Ku,ここ半年ほど,東京都千代田区神田淡路町二丁目101,"削除されているけど、2811号室、ここ半年くらいやたら警察官が出入りしてる。
傷害・脅迫があった旨のチラシが配布されていた。
死亡等は不明だが、告知事項としてはあり得るでしょうね。"
