idx,listing_id,host_id,host_name,review_scores_rating,bedrooms,beds,bathrooms,price,accommodates,minimum_nights,Adachi Ku,Akiruno Shi,Akishima Shi,Arakawa Ku,Bunkyo Ku,Chiyoda Ku,Chofu Shi,Chuo Ku,Edogawa Ku,Fuchu Shi,Fussa Shi,Hachioji Shi,Hamura Shi,Higashimurayama Shi,Hino Shi,Itabashi Ku,Katsushika Ku,Kita Ku,Kodaira Shi,Koganei Shi,Kokubunji Shi,Komae Shi,Koto Ku,Kunitachi Shi,Machida Shi,Meguro Ku,Minato Ku,Mitaka Shi,Musashimurayama Shi,Musashino Shi,Nakano Ku,Nerima Ku,Nishitokyo Shi,Okutama Machi,Ome Shi,Ota Ku,Setagaya Ku,Shibuya Ku,Shinagawa Ku,Shinjuku Ku,Suginami Ku,Sumida Ku,Tachikawa Shi,Taito Ku,Tama Shi,Toshima Ku
0,922833637376956356,490272024,Daiki,5.0,1.0,1.0,1.0,9600.00,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,727140790042920016,481595902,あずさ,5.0,1.0,2.0,1.0,11536.00,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,729355347138793951,481729050,Stay Support,5.0,1.0,1.0,1.0,21600.00,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,30049203,68181338,渥美,5.0,1.0,6.0,1.0,25000.00,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,30047622,68181338,渥美,5.0,1.0,2.0,0.0,9000.00,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,731049085781303386,207024011,Ting,5.0,1.0,2.0,1.5,8800.00,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,731083816711432583,207024011,Ting,5.0,2.0,2.0,1.5,15071.00,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,731681990113119851,218369769,Tatsunari,5.0,0.0,2.0,1.5,7500.00,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,735903721900987365,228133407,Nomad,5.0,0.0,1.0,2.0,2500.00,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,29995358,118302980,Shizuka,5.0,0.0,3.0,1.0,50000.00,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
