idx,listing_id,host_id,host_name,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
0,922833637376956356,490272024,Daiki,5.0,1.0,1.0,1 bath,Koto Ku,"$9,600.00",2,1
1,727140790042920016,481595902,あずさ,5.0,1.0,2.0,1 bath,Sumida Ku,"$11,536.00",4,2
2,729355347138793951,481729050,Stay Support,5.0,1.0,1.0,1 shared bath,Shinjuku Ku,"$21,600.00",3,1
3,30049203,68181338,渥美,5.0,1.0,6.0,1 private bath,Arakawa Ku,"$25,000.00",7,1
4,30047622,68181338,渥美,5.0,1.0,2.0,0 shared baths,Arakawa Ku,"$9,000.00",2,1
5,731049085781303386,207024011,Ting,5.0,1.0,2.0,1.5 baths,Toshima Ku,"$8,800.00",4,4
6,731083816711432583,207024011,Ting,5.0,2.0,2.0,1.5 baths,Toshima Ku,"$15,071.00",4,5
7,731681990113119851,218369769,Tatsunari,5.0,nan,2.0,1.5 shared baths,Minato Ku,"$7,500.00",2,21
8,735903721900987365,228133407,Nomad,5.0,nan,1.0,2 shared baths,Sumida Ku,"$2,500.00",1,2
9,29995358,118302980,Shizuka,5.0,nan,3.0,1 private bath,Sumida Ku,"$50,000.00",4,1
10,736534827808255207,342971176,Yume,5.0,2.0,1.0,1 bath,Shinjuku Ku,"$15,371.00",4,1
11,736736952203944728,130691030,Wison,5.0,2.0,1.0,1.5 baths,Sumida Ku,"$22,266.00",6,1
12,737223893801334281,469532452,髙本,5.0,1.0,1.0,1 private bath,Shinjuku Ku,"$20,000.00",2,1
13,29947521,225161556,Reiko,5.0,nan,nan,1 bath,Nerima Ku,"$5,500.00",2,3
14,29927830,40468635,Clint,5.0,nan,2.0,1 shared bath,Ota Ku,"$6,000.00",3,30
15,739004493300461972,483815637,哲巍,5.0,2.0,nan,1 bath,Katsushika Ku,"$24,000.00",6,1
16,739718263504542631,51322255,雪子,5.0,nan,1.0,0 shared baths,Shinjuku Ku,"$16,364.00",3,2
17,740213219791923388,483909915,良宏,5.0,1.0,1.0,1 bath,Fuchu Shi,"$2,850.00",2,1
18,740919413706078588,461596333,Ariyo,5.0,1.0,1.0,1 bath,Katsushika Ku,"$6,029.00",1,1
19,740964517941808733,483549126,Jiacheng,5.0,1.0,2.0,1 bath,Kita Ku,"$20,000.00",6,1
20,741450344958892026,469036720,Momoe,5.0,1.0,1.0,1 bath,Toshima Ku,"$7,229.00",3,4
21,29662359,222943847,Joan,5.0,nan,2.0,1 private bath,Nakano Ku,"$19,800.00",2,3
22,742241466430561437,484344600,Hotel MONday 秋葉原浅草橋,5.0,1.0,2.0,1 private bath,Taito Ku,"$15,086.00",2,1
23,742258519647406261,21210751,Ken,5.0,2.0,3.0,1 bath,Shibuya Ku,"$24,000.00",4,1
24,742831963675449451,224267449,Yuri,5.0,nan,3.0,1 bath,Shibuya Ku,"$27,657.00",3,1
25,744040615695440848,484739346,由美,5.0,nan,2.0,1.5 shared baths,Setagaya Ku,"$13,571.00",2,1
26,744556631097863380,484343068,イチホテル東京八丁堀,5.0,nan,1.0,1 private bath,Chuo Ku,"$13,475.00",2,1
27,745110330305236915,484970449,Section L,5.0,1.0,4.0,1 bath,Chuo Ku,"$27,411.00",4,1
28,745146060437308947,484339653,Hotel MONday Premium 上野御徒町,5.0,nan,3.0,1 private bath,Taito Ku,"$23,257.00",3,1
29,745192376618073094,484339653,Hotel MONday Premium 上野御徒町,5.0,nan,3.0,1 private bath,Taito Ku,"$23,532.00",3,1
30,745273277949534404,484339653,Hotel MONday Premium 上野御徒町,5.0,nan,3.0,1 private bath,Taito Ku,"$25,300.00",3,1
