user_id,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
0,5.0,1.0,1.0,1 bath,Koto Ku,9600.00,2,1
1,5.0,1.0,2.0,1 bath,Sumida Ku,11536.00,4,2
2,5.0,1.0,1.0,1 shared bath,Shinjuku Ku,21600.00,3,1
3,5.0,1.0,6.0,1 private bath,Arakawa Ku,25000.00,7,1
4,5.0,1.0,2.0,0 shared baths,Arakawa Ku,9000.00,2,1
5,5.0,1.0,2.0,1.5 baths,Toshima Ku,8800.00,4,4
6,5.0,2.0,2.0,1.5 baths,Toshima Ku,15071.00,4,5
7,5.0,nan,2.0,1.5 shared baths,Minato Ku,7500.00,2,21
8,5.0,nan,1.0,2 shared baths,Sumida Ku,2500.00,1,2
9,5.0,nan,3.0,1 private bath,Sumida Ku,50000.00,4,1
10,5.0,2.0,1.0,1 bath,Shinjuku Ku,15371.00,4,1
11,5.0,2.0,1.0,1.5 baths,Sumida Ku,22266.00,6,1
12,5.0,1.0,1.0,1 private bath,Shinjuku Ku,20000.00,2,1
13,5.0,nan,nan,1 bath,Nerima Ku,5500.00,2,3
14,5.0,nan,2.0,1 shared bath,Ota Ku,6000.00,3,30
15,5.0,2.0,nan,1 bath,Katsushika Ku,24000.00,6,1
16,5.0,nan,1.0,0 shared baths,Shinjuku Ku,16364.00,3,2
17,5.0,1.0,1.0,1 bath,Fuchu Shi,2850.00,2,1
18,5.0,1.0,1.0,1 bath,Katsushika Ku,6029.00,1,1
19,5.0,1.0,2.0,1 bath,Kita Ku,20000.00,6,1
20,5.0,1.0,1.0,1 bath,Toshima Ku,7229.00,3,4
21,5.0,nan,2.0,1 private bath,Nakano Ku,19800.00,2,3
22,5.0,1.0,2.0,1 private bath,Taito Ku,15086.00,2,1
23,5.0,2.0,3.0,1 bath,Shibuya Ku,24000.00,4,1
24,5.0,nan,3.0,1 bath,Shibuya Ku,27657.00,3,1
25,5.0,nan,2.0,1.5 shared baths,Setagaya Ku,13571.00,2,1
26,5.0,nan,1.0,1 private bath,Chuo Ku,13475.00,2,1
27,5.0,1.0,4.0,1 bath,Chuo Ku,27411.00,4,1
28,5.0,nan,3.0,1 private bath,Taito Ku,23257.00,3,1
29,5.0,nan,3.0,1 private bath,Taito Ku,23532.00,3,1
30,5.0,nan,3.0,1 private bath,Taito Ku,25300.00,3,1
31,5.0,1.0,1.0,1 shared bath,Shinjuku Ku,18000.00,3,1
