user_id,region,price,accommodates,minimum_nights
0,Setagaya Ku,5503.00,1,2
1,Shinagawa Ku,10143.00,1,1
2,Chiyoda Ku,40000.00,2,1
3,Toshima Ku,8329.00,2,1
4,Shinjuku Ku,23873.00,3,2
5,Koto Ku,20000.00,4,1
6,Toshima Ku,1052387.00,2,2
7,Shinjuku Ku,3729.00,1,1
8,Taito Ku,14793.00,2,1
9,Toshima Ku,10000.00,6,2
10,Shinjuku Ku,8049.00,3,2
11,Fuchu Shi,3000.00,1,1
12,Bunkyo Ku,13200.00,4,1
13,Taito Ku,19200.00,5,2
14,Shinjuku Ku,26571.00,5,1
15,Itabashi Ku,29429.00,7,1
16,Shinjuku Ku,10261.00,4,2
17,Taito Ku,13800.00,2,2
18,Shinjuku Ku,8000.00,2,1
19,Ota Ku,4000.00,1,1
20,Taito Ku,12549.00,2,1
21,Setagaya Ku,8000.00,2,1
22,Minato Ku,6743.00,2,2
23,Toshima Ku,10571.00,3,2
24,Toshima Ku,15371.00,3,1
25,Bunkyo Ku,10571.00,2,1
26,Shibuya Ku,29714.00,5,4
27,Shibuya Ku,4380.00,2,1
28,Setagaya Ku,19886.00,2,1
29,Toshima Ku,8245.00,3,2
30,Shinjuku Ku,15081.00,3,1
31,Taito Ku,14564.00,2,1
32,Taito Ku,8800.00,3,2
33,Shinjuku Ku,14000.00,2,1
34,Arakawa Ku,27857.00,4,1
35,Shinjuku Ku,33857.00,7,2
36,Shinjuku Ku,29857.00,5,1
37,Toshima Ku,15029.00,2,1
38,Ota Ku,14743.00,3,2
39,Shibuya Ku,24064.00,2,1
40,Shinjuku Ku,5980.00,8,2
41,Shibuya Ku,22800.00,4,1
42,Sumida Ku,21571.00,6,4
43,Taito Ku,11257.00,2,1
44,Shibuya Ku,30000.00,5,2
45,Taito Ku,32143.00,14,1
46,Shinjuku Ku,21943.00,5,1
47,Sumida Ku,8383.00,3,2
48,Taito Ku,23257.00,3,1
49,Shinjuku Ku,16000.00,3,2
50,Bunkyo Ku,20072.00,8,2
51,Shinjuku Ku,12000.00,4,30
52,Shibuya Ku,30571.00,3,4
53,Minato Ku,15443.00,3,1
54,Kita Ku,8361.00,4,2
55,Shibuya Ku,14024.00,8,2
56,Itabashi Ku,9228.00,3,2
57,Minato Ku,32200.00,3,2
58,Shinjuku Ku,11329.00,3,1
59,Hino Shi,6400.00,3,4
60,Sumida Ku,12000.00,4,4
61,Taito Ku,12484.00,2,1
62,Taito Ku,13543.00,2,1
63,Shibuya Ku,26857.00,6,1
64,Nakano Ku,11071.00,2,2
65,Setagaya Ku,10000.00,3,2
66,Toshima Ku,10571.00,4,3
67,Shinjuku Ku,16223.00,3,1
68,Ota Ku,15449.00,6,1
69,Ota Ku,6375.00,2,2
70,Sumida Ku,6343.00,2,3
71,Shinjuku Ku,19714.00,4,5
72,Chuo Ku,14057.00,2,1
73,Taito Ku,16521.00,2,1
74,Kita Ku,15062.00,8,2
75,Shinjuku Ku,16286.00,3,2
76,Shinjuku Ku,33700.00,5,1
77,Chuo Ku,32200.00,2,2
78,Adachi Ku,6723.00,1,1
79,Shinjuku Ku,19571.00,6,5
80,Edogawa Ku,16480.00,3,1
81,Shinjuku Ku,6857.00,1,1
82,Sumida Ku,8303.00,3,2
83,Shinjuku Ku,11800.00,2,1
84,Shibuya Ku,26714.00,4,1
85,Higashimurayama Shi,8000.00,2,7
86,Chiyoda Ku,13426.00,4,1
87,Kokubunji Shi,7086.00,2,12
88,Shibuya Ku,23124.00,7,1
89,Sumida Ku,42990.00,10,2
90,Taito Ku,18664.00,4,2
91,Nakano Ku,13800.00,4,1
92,Arakawa Ku,2336.00,1,1
93,Toshima Ku,18857.00,4,3
94,Katsushika Ku,7929.00,4,1
95,Setagaya Ku,5684.00,2,2
96,Shibuya Ku,32857.00,4,1
97,Shibuya Ku,25000.00,8,20
98,Shinjuku Ku,10200.00,2,1
99,Chiyoda Ku,15837.00,2,1
100,Shinjuku Ku,47857.00,14,1
101,Taito Ku,11566.00,2,2
102,Shibuya Ku,7796.00,3,1
103,Shinjuku Ku,30857.00,3,1
104,Shibuya Ku,20000.00,2,1
105,Sumida Ku,15814.00,3,1
106,Sumida Ku,18371.00,6,1
107,Shinjuku Ku,10857.00,3,1
108,Shibuya Ku,12374.00,3,2
109,Shinjuku Ku,26143.00,5,1
110,Shibuya Ku,8000.00,2,2
111,Shinjuku Ku,12571.00,4,1
112,Shinjuku Ku,18000.00,3,1
113,Suginami Ku,4200.00,3,1
114,Taito Ku,6286.00,2,1
115,Shinjuku Ku,50571.00,6,2
116,Chuo Ku,10100.00,2,1
117,Toshima Ku,8000.00,2,1
118,Shinjuku Ku,11200.00,2,1
119,Nakano Ku,29000.00,16,1
120,Sumida Ku,9429.00,2,5
121,Shinjuku Ku,14286.00,3,3
122,Shinjuku Ku,10566.00,2,2
123,Minato Ku,20571.00,6,1
124,Shinjuku Ku,41786.00,8,5
125,Chiyoda Ku,40000.00,2,1
126,Ota Ku,10726.00,3,1
127,Toshima Ku,10571.00,4,3
128,Shinjuku Ku,11057.00,2,1
129,Taito Ku,18018.00,4,2
130,Shinjuku Ku,18800.00,6,1
131,Sumida Ku,38286.00,6,1
132,Taito Ku,27500.00,2,1
133,Shinjuku Ku,19543.00,2,1
134,Chuo Ku,23000.00,3,1
135,Edogawa Ku,10000.00,6,2
136,Shinjuku Ku,23873.00,3,2
137,Ota Ku,12371.00,4,2
138,Edogawa Ku,7000.00,3,2
139,Toshima Ku,34153.00,8,2
140,Nakano Ku,11200.00,3,1
141,Nakano Ku,31286.00,6,1
142,Toshima Ku,15200.00,7,2
143,Shinjuku Ku,11000.00,5,2
144,Machida Shi,8000.00,7,2
145,Setagaya Ku,6294.00,3,2
146,Nakano Ku,26240.00,13,20
147,Toshima Ku,8686.00,3,2
148,Chuo Ku,6000.00,2,2
149,Setagaya Ku,17439.00,4,1
150,Shinjuku Ku,25000.00,5,5
151,Taito Ku,12571.00,2,1
152,Sumida Ku,21143.00,6,2
153,Shinjuku Ku,8979.00,2,1
154,Sumida Ku,8429.00,3,2
