latitude,longitude,price,room_type,accommodates,bedrooms,beds,review_scores_rating,address
35.71707,139.82608,1100000.0,Entire home apt,2,1.0,2.0,4.78,"2-chōme-27-16 Yahiro, Sumida City, Tokyo 131-0041, Japan"
35.73844,139.76917,720800.0,Private room,1,,1.0,4.98,"1-chōme-26-7 Tabatashinmachi, Kita City, Tokyo 114-0012, Japan"
35.67878,139.67847,2306600.0,Entire home apt,6,2.0,4.0,4.76,"2-chōme-1-2-1 Hatagaya, Shibuya City, Tokyo 151-0072, Japan"
35.658,139.67134,1600000.0,Private room,2,,2.0,4.94,"Japan, 〒155-0032 Tokyo, Setagaya City, Daizawa, 2-chōme−16, 池ノ上フラット"
35.744730998785165,139.79738412263163,1000000.0,Private room,4,,,4.71,"1-2 Senjumiyamotochō, Adachi City, Tokyo 120-0043, Japan"
35.65111,139.72165,5478200.0,Entire home apt,3,1.0,1.0,4.96,"5-chōme-4-20 Hiroo, Shibuya City, Tokyo 150-0012, Japan"
35.60742,139.67616,757100.0,Private room,1,,2.0,4.79,"2-chōme-46-14 Okusawa, Setagaya City, Tokyo 158-0083, Japan"
35.73987,139.85176,1600000.0,Entire home apt,4,2.0,4.0,4.93,"8-chōme-14-18 Tateishi, Katsushika City, Tokyo 124-0012, Japan"
35.70263,139.74147,3914300.0,Entire home apt,2,1.0,1.0,4.91,"2-2 Tsukudochō, Shinjuku City, Tokyo 162-0821, Japan"
35.62039,139.69983,2928600.0,Entire home apt,10,2.0,2.0,4.77,"Japan, 〒152-0002 Tokyo, Meguro City, Megurohonchō, 5-chōme−19−６ セザール武蔵小山"
35.7362,139.85178,1525700.0,Entire home apt,4,1.0,,4.93,"4-chōme-37-13 Higashitateishi, Katsushika City, Tokyo 124-0013, Japan"
35.69857,139.704,798000.0,Private room,2,,,4.84,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−３ 大東ビル １階"
35.69848,139.70432,798000.0,Private room,2,,,4.85,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.69847,139.70433,598000.0,Shared room,8,,8.0,4.81,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.69848,139.70433,598000.0,Shared room,8,,8.0,4.82,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.65897,139.60988,330000.0,Private room,1,,1.0,4.8,"1-chōme-10-1 Kasuya, Setagaya City, Tokyo 157-0063, Japan"
35.65933,139.60847,330000.0,Private room,1,,1.0,4.95,"Japan, 〒157-0063 Tokyo, Setagaya City, Kasuya, 3-chōme−1−２６ 田中コーポ"
35.73784,139.85201,3534300.0,Entire home apt,8,4.0,5.0,4.9,"Japan, 〒124-0012 Tokyo, Katsushika City, Tateishi, 8-chōme−7−４ 福寿コーポ壱番館"
35.58958,139.72636,7500000.0,Entire home apt,16,6.0,9.0,4.78,"2-chōme-7-23 Sannō, Ota City, Tokyo 143-0023, Japan"
35.61794,139.72313,500000.0,Private room,1,,1.0,4.87,"3-chōme-19-4 Ōsaki, Shinagawa City, Tokyo 141-0032, Japan"
35.63858,139.64624,3300000.0,Entire home apt,10,2.0,2.0,4.91,"3-chōme-24-18 Tsurumaki, Setagaya City, Tokyo 154-0016, Japan"
35.67191,139.68367,3500000.0,Private room,3,,4.0,4.94,"42-3 Motoyoyogichō, Shibuya City, Tokyo 151-0062, Japan"
35.69847,139.70433,598000.0,Shared room,8,,8.0,4.77,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.69848,139.70433,598000.0,Shared room,8,,8.0,4.82,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.69848,139.70435,598000.0,Shared room,8,,8.0,4.73,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.69848,139.70433,598000.0,Shared room,8,,8.0,4.75,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.70561,139.37975,460000.0,Entire home apt,2,1.0,1.0,4.77,"4-chōme-9-3 Tamagawachō, Akishima, Tokyo 196-0034, Japan"
35.72035,139.76445,908200.0,Private room,2,,1.0,4.89,"2-chōme-32-2 Nezu, Bunkyo City, Tokyo 113-0031, Japan"
35.79124,139.79102,1220000.0,Entire home apt,5,1.0,3.0,4.25,"1-chōme-24-2 Takenotsuka, Adachi City, Tokyo 121-0813, Japan"
35.72208,139.78049,2224300.0,Entire home apt,6,2.0,6.0,4.75,"Japan, 〒110-0003 Tokyo, Taito City, Negishi, 3-chōme−5, 平子ビル"
35.791368746081226,139.79204721255772,1220000.0,Entire home apt,5,1.0,3.0,4.33,"Japan, 〒121-0813 Tokyo, Adachi City, Takenotsuka, 1-chōme−25, 竹の塚 1-25-25 102"
35.79166,139.79285,626600.0,Entire home apt,1,1.0,1.0,4.6,"Japan, 〒121-0813 Tokyo, Adachi City, Takenotsuka, 1-chōme−32−１１ オザリア竹ノ塚"
35.65174,139.72175,4671400.0,Entire home apt,6,2.0,4.0,4.74,"Japan, 〒150-0012 Tokyo, Shibuya City, Hiroo, 5-chōme−4−７ サンパティーク2階"
35.78156,139.63309,600000.0,Entire home apt,2,1.0,1.0,4.77,"Japan, 〒175-0094 Tokyo, Itabashi City, Narimasu, 4-chōme−4−２ ハイツかやま"
35.77932,139.63338,600000.0,Entire home apt,2,1.0,2.0,4.63,"3-chōme-15-4 Narimasu, Itabashi City, Tokyo 175-0094, Japan"
35.7223,139.80049,1000000.0,Entire home apt,4,1.0,4.0,4.73,"Japan, 〒111-0025 Tokyo, Taito City, Higashiasakusa, 1-chōme−17−８ ザチェリークレスト"
35.61728,139.6679,680000.0,Entire home apt,2,2.0,2.0,4.58,"3-chōme-7-20 Yakumo, Meguro City, Tokyo 152-0023, Japan"
35.6989,139.69824,770000.0,Entire home apt,2,1.0,1.0,4.68,"1-chōme-25-14-101 Hyakuninchō, Shinjuku City, Tokyo 169-0073, Japan"
35.68374,139.85971,784700.0,Entire home apt,2,1.0,2.0,4.82,"Japan, 〒134-0091 Tokyo, Edogawa City, Funabori, 2-chōme−11−１４ Ｋ－２"
35.72672,139.78201,287100.0,Entire home apt,2,1.0,2.0,4.86,"4 Chome-7 Higashinippori, Arakawa City, Tokyo 116-0014, Japan"
35.58911,139.48023,481400.0,Entire home apt,2,1.0,2.0,4.87,"Japan, 〒195-0053 Tokyo, Machida, Nōgaya, 6-chōme−5−１６ ヴィラ・シエロ"
35.72784292965493,139.73408415595273,3122900.0,Entire home apt,6,3.0,6.0,4.85,"Japan, 〒170-0005 Tokyo, Toshima City, Minamiōtsuka, 1-chōme−14−１２ 東京エージェント大塚ビル"
35.68358,139.85985,753800.0,Entire home apt,2,1.0,4.0,4.86,"2-chōme-11-16 Funabori, Edogawa City, Tokyo 134-0091, Japan"
35.67205,139.67877,3271400.0,Entire home apt,7,2.0,3.0,4.69,"3-chōme-43-15 Nishihara, Shibuya City, Tokyo 151-0066, Japan"
35.76105,139.716,871400.0,Entire home apt,5,1.0,5.0,4.3,"Japan, 〒114-0034 Tokyo, Kita City, Kamijūjō, 3-chōme−11−１ 三陽マンション"
35.62942,139.63077,1441600.0,Private room,2,,1.0,4.98,"4-chōme-35-17 Yōga, Setagaya City, Tokyo 158-0097, Japan"
35.69847,139.70432,655100.0,Private room,1,,1.0,4.9,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.70293,139.60045,796400.0,Entire home apt,3,1.0,3.0,4.73,"Japan, 〒167-0053 Tokyo, Suginami City, Nishiogiminami, 3-chōme−8−１０ 中根ビル"
35.68245,139.69009,2312400.0,Entire home apt,7,3.0,5.0,4.88,"Japan, 〒151-0053 Tokyo, Shibuya City, Yoyogi, 4-chōme−29−２ 代々木ウエスト"
