price,room_type,accommodates,bedrooms,beds,review_scores_rating,address_japanese,shiku,townpart,detailpart
1100000.0,Entire home apt,2,1.0,2.0,4.78, 墨田区八広2丁目27-16, 墨田区, 墨田区八広2丁目,27-16
720800.0,Private room,1,,1.0,4.98, 北区田端新町1丁目26-7, 北区, 北区田端新町1丁目,26-7
2306600.0,Entire home apt,6,2.0,4.0,4.76, 渋谷区幡ヶ谷2丁目1-2-1, 渋谷区, 渋谷区幡ヶ谷2丁目,1-2-1
1600000.0,Private room,2,,2.0,4.94,世田谷区代沢2丁目−16、池ノ上フラット,世田谷区,世田谷区代沢2丁目,−16、池ノ上フラット
1000000.0,Private room,4,,,4.71, 足立区千住宮元町1-2, 足立区,, 足立区千住宮元町1-2
5478200.0,Entire home apt,3,1.0,1.0,4.96, 渋谷区広尾5丁目4-20, 渋谷区, 渋谷区広尾5丁目,4-20
757100.0,Private room,1,,2.0,4.79, 世田谷区奥沢2丁目46-14, 世田谷区, 世田谷区奥沢2丁目,46-14
1600000.0,Entire home apt,4,2.0,4.0,4.93, 葛飾区立石8丁目14-18, 葛飾区, 葛飾区立石8丁目,14-18
3914300.0,Entire home apt,2,1.0,1.0,4.91, 新宿区津久土町2-2, 新宿区,, 新宿区津久土町2-2
2928600.0,Entire home apt,10,2.0,2.0,4.77,目黒区目黒本町5丁目−19−６ セザール武蔵小山,目黒区,目黒区目黒本町5丁目,−19−６ セザール武蔵小山
1525700.0,Entire home apt,4,1.0,,4.93, 葛飾区東立石4丁目37-13, 葛飾区, 葛飾区東立石4丁目,37-13
798000.0,Private room,2,,,4.84, 新宿区大久保1丁目−11−３ 大東ビル１階, 新宿区, 新宿区大久保1丁目,−11−３ 大東ビル１階
798000.0,Private room,2,,,4.85, 新宿区大久保1丁目−11−１ 大森ビル, 新宿区, 新宿区大久保1丁目,−11−１ 大森ビル
598000.0,Shared room,8,,8.0,4.81, 新宿区大久保1丁目−11−１ 大森ビル, 新宿区, 新宿区大久保1丁目,−11−１ 大森ビル
598000.0,Shared room,8,,8.0,4.82, 新宿区大久保1丁目−11−１ 大森ビル, 新宿区, 新宿区大久保1丁目,−11−１ 大森ビル
330000.0,Private room,1,,1.0,4.8, 世田谷区粕谷1丁目10-1, 世田谷区, 世田谷区粕谷1丁目,10-1
330000.0,Private room,1,,1.0,4.95, 世田谷区粕谷3丁目−1−26 田中コーポ, 世田谷区, 世田谷区粕谷3丁目,−1−26 田中コーポ
3534300.0,Entire home apt,8,4.0,5.0,4.9,葛飾区立石８丁目−７−４ 福寿コーポ壱番館,葛飾区,葛飾区立石８丁目,−７−４ 福寿コーポ壱番館
7500000.0,Entire home apt,16,6.0,9.0,4.78, 大田区山王2丁目7-23, 大田区, 大田区山王2丁目,7-23
500000.0,Private room,1,,1.0,4.87, 品川区大崎3丁目19-4, 品川区, 品川区大崎3丁目,19-4
3300000.0,Entire home apt,10,2.0,2.0,4.91, 世田谷区鶴巻3丁目24-18, 世田谷区, 世田谷区鶴巻3丁目,24-18
3500000.0,Private room,3,,4.0,4.94, 渋谷区元代々木町42-3, 渋谷区,, 渋谷区元代々木町42-3
598000.0,Shared room,8,,8.0,4.77, 新宿区大久保1丁目−11−１ 大森ビル, 新宿区, 新宿区大久保1丁目,−11−１ 大森ビル
598000.0,Shared room,8,,8.0,4.82, 新宿区大久保1丁目−11−１ 大森ビル, 新宿区, 新宿区大久保1丁目,−11−１ 大森ビル
598000.0,Shared room,8,,8.0,4.73, 新宿区大久保1丁目−11−１ 大森ビル, 新宿区, 新宿区大久保1丁目,−11−１ 大森ビル
598000.0,Shared room,8,,8.0,4.75, 新宿区大久保1丁目−11−１ 大森ビル, 新宿区, 新宿区大久保1丁目,−11−１ 大森ビル
460000.0,Entire home apt,2,1.0,1.0,4.77, 昭島市玉川町4丁目9-3, 昭島市, 昭島市玉川町4丁目,9-3
908200.0,Private room,2,,1.0,4.89, 文京区根津 2 丁目 32-2, 文京区, 文京区根津 2 丁目, 32-2
1220000.0,Entire home apt,5,1.0,3.0,4.25, 足立区竹ノ塚 1 丁目 24-2, 足立区, 足立区竹ノ塚 1 丁目, 24-2
2224300.0,Entire home apt,6,2.0,6.0,4.75, 台東区根岸3丁目−5 平子ビル, 台東区, 台東区根岸3丁目,−5 平子ビル
1220000.0,Entire home apt,5,1.0,3.0,4.33, 足立区竹ノ塚1丁目−25 竹の塚1-25-25 102, 足立区, 足立区竹ノ塚1丁目,−25 竹の塚1-25-25 102
626600.0,Entire home apt,1,1.0,1.0,4.6, 足立区竹ノ塚1丁目−32−11 オザリア竹ノ塚, 足立区, 足立区竹ノ塚1丁目,−32−11 オザリア竹ノ塚
4671400.0,Entire home apt,6,2.0,4.0,4.74, 渋谷区広尾5丁目−4−７ サンパティーク2階, 渋谷区, 渋谷区広尾5丁目,−4−７ サンパティーク2階
600000.0,Entire home apt,2,1.0,1.0,4.77, 板橋区成増4丁目−4−２ ハイツカヤマ, 板橋区, 板橋区成増4丁目,−4−２ ハイツカヤマ
600000.0,Entire home apt,2,1.0,2.0,4.63, 板橋区成増3丁目15-4, 板橋区, 板橋区成増3丁目,15-4
1000000.0,Entire home apt,4,1.0,4.0,4.73,台東区東浅草１丁目−１７−８ ザチェリークレスト,台東区,台東区東浅草１丁目,−１７−８ ザチェリークレスト
680000.0,Entire home apt,2,2.0,2.0,4.58, 目黒区八雲3丁目7-20, 目黒区, 目黒区八雲3丁目,7-20
770000.0,Entire home apt,2,1.0,1.0,4.68, 新宿区百人町1丁目25-14-101, 新宿区, 新宿区百人町1丁目,25-14-101
784700.0,Entire home apt,2,1.0,2.0,4.82, 江戸川区船堀2丁目−11−14 Ｋ−２, 江戸川区, 江戸川区船堀2丁目,−11−14 Ｋ−２
287100.0,Entire home apt,2,1.0,2.0,4.86, 荒川区東日暮里4丁目7, 荒川区, 荒川区東日暮里4丁目,7
481400.0,Entire home apt,2,1.0,2.0,4.87,町田市能ヶ谷6丁目−5−16 ヴィラ・シエロ,町田市,町田市能ヶ谷6丁目,−5−16 ヴィラ・シエロ
3122900.0,Entire home apt,6,3.0,6.0,4.85,豊島区南大塚１丁目−１４−１２ 東京エージェント大塚ビル,豊島区,豊島区南大塚１丁目,−１４−１２ 東京エージェント大塚ビル
753800.0,Entire home apt,2,1.0,4.0,4.86, 江戸川区船堀2丁目11-16, 江戸川区, 江戸川区船堀2丁目,11-16
3271400.0,Entire home apt,7,2.0,3.0,4.69, 渋谷区西原3丁目43-15, 渋谷区, 渋谷区西原3丁目,43-15
871400.0,Entire home apt,5,1.0,5.0,4.3, 北区上十条3丁目−11−１ 三陽マンション, 北区, 北区上十条3丁目,−11−１ 三陽マンション
1441600.0,Private room,2,,1.0,4.98, 世田谷区用賀4丁目35-17, 世田谷区, 世田谷区用賀4丁目,35-17
655100.0,Private room,1,,1.0,4.9, 新宿区大久保1丁目−11−１ 大森ビル, 新宿区, 新宿区大久保1丁目,−11−１ 大森ビル
796400.0,Entire home apt,3,1.0,3.0,4.73, 杉並区西荻南3丁目−8−10 中根ビル, 杉並区, 杉並区西荻南3丁目,−8−10 中根ビル
2312400.0,Entire home apt,7,3.0,5.0,4.88, 渋谷区代々木4丁目−29−２ 代々木ウエスト, 渋谷区, 渋谷区代々木4丁目,−29−２ 代々木ウエスト
1200000.0,Entire home apt,2,1.0,1.0,4.86, 杉並区高円寺北1丁目4-11, 杉並区, 杉並区高円寺北1丁目,4-11
1200000.0,Entire home apt,2,1.0,2.0,4.91, 杉並区高円寺北1丁目7-5, 杉並区, 杉並区高円寺北1丁目,7-5
1485700.0,Entire home apt,2,1.0,1.0,4.86,杉並区西荻北3丁目−5−６ 三周ハイツ,杉並区,杉並区西荻北3丁目,−5−６ 三周ハイツ
4614300.0,Entire home apt,8,3.0,6.0,4.6, 渋谷区広尾5丁目−11−14 博聖ビル, 渋谷区, 渋谷区広尾5丁目,−11−14 博聖ビル
4324900.0,Entire home apt,9,2.0,6.0,4.9,東村山市多摩湖町４丁目−１４−１３,東村山市,東村山市多摩湖町４丁目,−１４−１３
1585800.0,Entire home apt,5,2.0,3.0,4.79, 渋谷区幡ヶ谷2丁目1-1, 渋谷区, 渋谷区幡ヶ谷2丁目,1-1
358900.0,Private room,2,,2.0,4.39, 品川区大井4丁目20-1, 品川区, 品川区大井4丁目,20-1
3000000.0,Entire home apt,4,2.0,4.0,4.84, 品川区西五反田２丁目５−１−７０４, 品川区, 品川区西五反田２丁目,５−１−７０４
3857100.0,Entire home apt,8,2.0,,4.94,台東区花川戸2丁目−6−５ 立産業貿易センター台東館 8階,台東区,台東区花川戸2丁目,−6−５ 立産業貿易センター台東館 8階
1009100.0,Entire home apt,2,1.0,1.0,4.72, 中野区上鷺宮3丁目13-1, 中野区, 中野区上鷺宮3丁目,13-1
1057100.0,Entire home apt,3,1.0,,4.94, 江東区海辺9-17, 江東区,, 江東区海辺9-17
496400.0,Private room,2,,,4.88, 国分寺市本多3丁目8-13, 国分寺市, 国分寺市本多3丁目,8-13
1607100.0,Entire home apt,4,1.0,2.0,4.82,杉並区西荻北3丁目−5−６ 三周ハイツ,杉並区,杉並区西荻北3丁目,−5−６ 三周ハイツ
1807100.0,Entire home apt,3,1.0,1.0,4.57,杉並区西荻北3丁目−5−６ 三周ハイツ,杉並区,杉並区西荻北3丁目,−5−６ 三周ハイツ
407100.0,Private room,2,,2.0,5.0,東村山市恩多町４丁目−３４−２,東村山市,東村山市恩多町４丁目,−３４−２
1051400.0,Entire home apt,5,1.0,5.0,4.5, 北区上十条3丁目−11−２ ドリームハウス２, 北区, 北区上十条3丁目,−11−２ ドリームハウス２
850600.0,Entire home apt,3,1.0,3.0,4.51, 日野市栄町２丁目−３１−８, 日野市, 日野市栄町２丁目,−３１−８
2357100.0,Private room,2,1.0,2.0,5.0, 三鷹市大沢2丁目2-8, 三鷹市, 三鷹市大沢2丁目,2-8
1009100.0,Entire home apt,2,1.0,1.0,4.84, 中野区上鷺宮3丁目13-1, 中野区, 中野区上鷺宮3丁目,13-1
2557100.0,Entire home apt,4,2.0,4.0,4.89, 三鷹市大沢2丁目2-8, 三鷹市, 三鷹市大沢2丁目,2-8
421400.0,Private room,2,,1.0,4.95,東村山市恩多町３丁目−１２−７,東村山市,東村山市恩多町３丁目,−１２−７
996300.0,Entire home apt,3,1.0,3.0,4.45,日野市栄町１丁目−２２−９７,日野市,日野市栄町１丁目,−２２−９７
2621700.0,Entire home apt,5,3.0,4.0,4.61, 豊島区長崎4丁目23-18, 豊島区, 豊島区長崎4丁目,23-18
1400000.0,Entire home apt,5,1.0,2.0,4.95, 台東区龍泉2丁目−20−15 都築ビル2階, 台東区, 台東区龍泉2丁目,−20−15 都築ビル2階
1314300.0,Entire home apt,2,,1.0,4.61, 渋谷区西原1丁目31-11, 渋谷区, 渋谷区西原1丁目,31-11
1757100.0,Entire home apt,6,2.0,2.0,4.85, 八王子市狭間町1754-2, 八王子市,, 八王子市狭間町1754-2
1060000.0,Entire home apt,5,1.0,4.0,4.45, 北区上十条3丁目−11−２ ドリームハウス２, 北区, 北区上十条3丁目,−11−２ ドリームハウス２
1461400.0,Entire home apt,5,1.0,5.0,4.93, 葛飾区立石8丁目9-1, 葛飾区, 葛飾区立石8丁目,9-1
828600.0,Entire home apt,3,1.0,2.0,4.6, 渋谷区幡ヶ谷 2 丁目 44-1, 渋谷区, 渋谷区幡ヶ谷 2 丁目, 44-1
2700000.0,Entire home apt,6,2.0,3.0,4.93, 台東区根岸５丁目１９−６ 三ノ輪駅, 台東区, 台東区根岸５丁目,１９−６ 三ノ輪駅
1000000.0,Entire home apt,2,1.0,1.0,4.5, 渋谷区幡ヶ谷3丁目−12−８ シャーメゾン幡ヶ谷, 渋谷区, 渋谷区幡ヶ谷3丁目,−12−８ シャーメゾン幡ヶ谷
857100.0,Entire home apt,2,1.0,1.0,4.59, 渋谷区幡ヶ谷3丁目−19−19番2 ファミリーマート幡ヶ谷三丁目店, 渋谷区, 渋谷区幡ヶ谷3丁目,−19−19番2 ファミリーマート幡ヶ谷三丁目店
650000.0,Private room,3,,4.0,5.0, 江戸川区北小岩2丁目21-16, 江戸川区, 江戸川区北小岩2丁目,21-16
1009100.0,Entire home apt,2,1.0,1.0,4.81, 中野区上鷺宮3丁目17 富士見台駅, 中野区, 中野区上鷺宮3丁目,17 富士見台駅
650000.0,Entire home apt,4,2.0,2.0,4.9, 江東区海辺19-16, 江東区,, 江東区海辺19-16
598000.0,Shared room,8,,8.0,4.87, 新宿区大久保1丁目12-11, 新宿区, 新宿区大久保1丁目,12-11
3480000.0,Entire home apt,7,2.0,5.0,4.79,文京区根津2丁目−34−15 藍染保育園,文京区,文京区根津2丁目,−34−15 藍染保育園
984600.0,Entire home apt,4,,1.0,4.47, 渋谷区富ヶ谷2丁目−14−６ 伸和ビル, 渋谷区, 渋谷区富ヶ谷2丁目,−14−６ 伸和ビル
