price,room_type,address_japanese,shiku,townpart,detailpart
11000.0,Entire home apt,江戸川区船堀2丁目−11−14Ｋ−２,江戸川区,江戸川区船堀2丁目,−11−14Ｋ−２
7208.0,Private room,荒川区東日暮里4丁目7,荒川区,荒川区東日暮里4丁目,7
7847.0,Entire home apt,渋谷区幡ヶ谷2丁目1-2-1,渋谷区,渋谷区幡ヶ谷2丁目,1-2-1
23066.0,Entire home apt,足立区千住宮元町1-2,足立区,,足立区千住宮元町1-2
2871.0,Entire home apt,世田谷区代沢2丁目−16、池ノ上フラット,世田谷区,世田谷区代沢2丁目,−16、池ノ上フラット
16000.0,Private room,墨田区八広2丁目27-16,墨田区,墨田区八広2丁目,27-16
4814.0,Entire home apt,町田市能ヶ谷6丁目−5−16ヴィラ・シエロ,町田市,町田市能ヶ谷6丁目,−5−16ヴィラ・シエロ
10000.0,Private room,北区田端新町1丁目26-7,北区,北区田端新町1丁目,26-7
31229.0,Entire home apt,豊島区南大塚１丁目−１４−１２東京エージェント大塚ビル,豊島区,豊島区南大塚１丁目,−１４−１２東京エージェント大塚ビル
54782.0,Entire home apt,渋谷区広尾5丁目4-20,渋谷区,渋谷区広尾5丁目,4-20
7538.0,Entire home apt,江戸川区船堀2丁目11-16,江戸川区,江戸川区船堀2丁目,11-16
32714.0,Entire home apt,新宿区津久土町2-2,新宿区,,新宿区津久土町2-2
7571.0,Private room,北区上十条3丁目−11−１三陽マンション,北区,北区上十条3丁目,−11−１三陽マンション
16000.0,Entire home apt,葛飾区立石8丁目14-18,葛飾区,葛飾区立石8丁目,14-18
39143.0,Entire home apt,渋谷区西原3丁目43-15,渋谷区,渋谷区西原3丁目,43-15
8714.0,Entire home apt,世田谷区奥沢2丁目46-14,世田谷区,世田谷区奥沢2丁目,46-14
14416.0,Private room,世田谷区用賀4丁目35-17,世田谷区,世田谷区用賀4丁目,35-17
29286.0,Entire home apt,目黒区目黒本町5丁目−19−６セザール武蔵小山,目黒区,目黒区目黒本町5丁目,−19−６セザール武蔵小山
6551.0,Private room,葛飾区東立石4丁目37-13,葛飾区,葛飾区東立石4丁目,37-13
15257.0,Entire home apt,新宿区大久保1丁目−11−１大森ビル,新宿区,新宿区大久保1丁目,−11−１大森ビル
7964.0,Entire home apt,渋谷区代々木4丁目−29−２代々木ウエスト,渋谷区,渋谷区代々木4丁目,−29−２代々木ウエスト
7980.0,Private room,新宿区大久保1丁目−11−１大森ビル,新宿区,新宿区大久保1丁目,−11−１大森ビル
7980.0,Private room,新宿区大久保1丁目−11−３大東ビル１階,新宿区,新宿区大久保1丁目,−11−３大東ビル１階
23124.0,Entire home apt,杉並区西荻南3丁目−8−10中根ビル,杉並区,杉並区西荻南3丁目,−8−10中根ビル
5980.0,Shared room,新宿区大久保1丁目−11−１大森ビル,新宿区,新宿区大久保1丁目,−11−１大森ビル
12000.0,Entire home apt,杉並区高円寺北1丁目4-11,杉並区,杉並区高円寺北1丁目,4-11
5980.0,Shared room,杉並区高円寺北1丁目7-5,杉並区,杉並区高円寺北1丁目,7-5
12000.0,Entire home apt,新宿区大久保1丁目−11−１大森ビル,新宿区,新宿区大久保1丁目,−11−１大森ビル
3300.0,Private room,世田谷区粕谷1丁目10-1,世田谷区,世田谷区粕谷1丁目,10-1
14857.0,Entire home apt,杉並区西荻北3丁目−5−６三周ハイツ,杉並区,杉並区西荻北3丁目,−5−６三周ハイツ
3300.0,Private room,渋谷区広尾5丁目−11−14博聖ビル,渋谷区,渋谷区広尾5丁目,−11−14博聖ビル
46143.0,Entire home apt,世田谷区粕谷3丁目−1−26田中コーポ,世田谷区,世田谷区粕谷3丁目,−1−26田中コーポ
35343.0,Entire home apt,東村山市多摩湖町４丁目−１４−１３,東村山市,東村山市多摩湖町４丁目,−１４−１３
75000.0,Entire home apt,品川区大崎3丁目19-4,品川区,品川区大崎3丁目,19-4
43249.0,Entire home apt,葛飾区立石８丁目−７−４福寿コーポ壱番館,葛飾区,葛飾区立石８丁目,−７−４福寿コーポ壱番館
5000.0,Private room,渋谷区幡ヶ谷2丁目1-1,渋谷区,渋谷区幡ヶ谷2丁目,1-1
15858.0,Entire home apt,大田区山王2丁目7-23,大田区,大田区山王2丁目,7-23
3589.0,Private room,品川区大井4丁目20-1,品川区,品川区大井4丁目,20-1
33000.0,Entire home apt,世田谷区鶴巻3丁目24-18,世田谷区,世田谷区鶴巻3丁目,24-18
30000.0,Entire home apt,品川区西五反田２丁目５−１−７０４,品川区,品川区西五反田２丁目,５−１−７０４
35000.0,Private room,新宿区大久保1丁目−11−１大森ビル,新宿区,新宿区大久保1丁目,−11−１大森ビル
5980.0,Shared room,新宿区大久保1丁目−11−１大森ビル,新宿区,新宿区大久保1丁目,−11−１大森ビル
