,区分１,区分２,区分３,１,２,３,４,５,６,７,８,９,１０,１１,１２,年
0,平均海面気圧＋１０００ｈＰａ,,,12.4,14.8,14.2,14.7,10.6,7.9,7.5,10.1,15.3,15.9,15.9,12.9,12.7
1,気温（℃）,平均気温,,10.2,9.8,11.7,16.2,18.2,21.9,24.6,26.4,24.1,20.8,16.9,9.4,17.5
2,気温（℃）,最高,平均,12.4,11.9,14.1,19.1,21.0,24.2,27.1,29.1,26.3,22.8,18.6,11.1,19.8
3,気温（℃）,最高,極値と,16.5,16.7,19.5,22.7,23.9,29.2,29.8,31.7,29.7,27.3,23.6,16.4,31.7
4,気温（℃）,最高,その起日,4,23,17,10,1,30,30,21,7,8,7,2,8/21
5,気温（℃）,最低,平均,7.5,7.4,8.4,12.5,15.0,20.0,22.5,23.9,22.2,18.8,14.2,6.9,14.9
6,気温（℃）,最低,極値と,2.3,1.4,1.5,5.7,11.8,16.7,19.3,20.5,19.5,13.3,11.5,1.3,1.3
7,気温（℃）,最低,その起日,2,26,7,5,4,8,7,30,25,31,2,20,12/20
8,湿度（％）,平均湿度,,65,66,65,73,76,90,91,87,87,83,66,60,76
9,湿度（％）,最小,極値と,27,35,27,33,29,59,57,60,62,642,33,26,26
10,湿度（％）,最小,その起日,21,21,7,22,10,8,28,21,29,25,9,18,12/18
11,平均雲量,,,×,×,6.3,5.1,7.4,9.1,7.7,6.3,6.4,7.7,5.9,5.6,6.8
12,風（ｍ／ｓ）,平均風速,,7.8,7.8,7.5,6.0,5.5,5.1,5.0,3.9,4.8,7.1,6.1,8.9,6.3
13,風（ｍ／ｓ）,最大風速,,19.7,23.0,18.9,18.4,18.7,14.0,15.0,13.9,23.6,19.6,24.7,24.2,24.7
14,風（ｍ／ｓ）,風向と,,ＮＮＥ,ＮＮＥ,ＮＮＥ,Ｗ,ＮＮＥ,Ｎ,ＷＳＷ,ＳＳＷ,ＮＮＥ,ＮＮＥ,ＮＮＥ,ＷＮＷ,ＮＮＥ
15,風（ｍ／ｓ）,その起日,,15,19,6,22,30,10,26,26,25,18,12,22,11/12
16,風（ｍ／ｓ）,最大瞬間風速,,32.6,32.7,36.8,31.2,27.7,24.9,26.2,37.3,36.2,28.4,35.7,38.3,38.3
17,風（ｍ／ｓ）,風向と,,Ｗ,Ｗ,Ｗ,ＷＮＷ,Ｎ,Ｓ,ＷＳＷ,Ｓ,ＮＮＥ,Ｗ,ＳＳＥ,Ｗ,Ｗ
18,風（ｍ／ｓ）,その起日,,20,1,25,22,31,22,26,25,25,23,6,22,12/22
19,日照,日照時間（ｈｒ）,,89.1,93.8,171.2,196.8,199.6,88.3,146.8,217.5,173.0,87.4,133.2,124.3,1721.0
20,日照,日照率（％）,,28,31,46,51,46,21,33,52,47,25,43,41,39
21,降水（ｍｍ）,降水総量,,120.5,165.5,234.0,141.0,330.0,529.5,215.5,282.5,361.0,230.5,172.0,16.5,2798.5
22,降水（ｍｍ）,最大日量と,,30.0,45.0,119.0,50.0,186.5,94.5,97.0,218.0,166.0,56.0,135.0,7.0,218.0
23,降水（ｍｍ）,その起日,,15,24,11,20,30,15,26,25,5,27,12,7,8/25
24,降水（ｍｍ）,日数,≧０．０,13,10,18,17,15,24,17,14,15,25,13,19,200
25,降水（ｍｍ）,日数,≧０．５,13,10,14,9,10,16,10,6,8,12,8,5,121
26,降水（ｍｍ）,日数,≧１．０,11,10,12,9,9,15,9,6,8,12,6,5,112
27,降水（ｍｍ）,日数,≧１０．０,5,6,4,5,6,10,6,4,4,6,2,0,58
28,降水（ｍｍ）,日数,≧３０．０,1,2,2,2,2,8,2,1,4,3,1,0,28
29,天気日数,平均雲量＜１．５,,×,×,2,6,1,0,1,1,0,3,3,0,1.7
30,天気日数,平均雲量≧８．５,,×,×,6,7,11,23,16,8,10,17,8,2,11.3
31,天気日数,雨（≧０．５ｍｍ）,,13,10,14,9,10,16,10,6,8,12,8,5,121.0
32,天気日数,雪,,×,×,×,0,0,0,0,0,0,0,0,2,2.0
33,天気日数,積雪,,×,×,×,0,0,0,0,0,0,0,0,0,0.0
34,天気日数,ひょう,,×,×,×,0,0,0,0,0,0,0,0,0,0.0
35,天気日数,霧,,×,×,×,0,0,0,7,0,0,0,0,0,7.0
36,天気日数,雷,,×,×,×,2,1,1,0,1,1,2,2,1,11.0
37,天気日数,不照,,5,5,6,4,2,10,6,3,3,11,4,3,62
38,天気日数,日最大風速１０（ｍ／ｓ）以上,,26,24,26,15,15,12,7,5,6,20,19,27,202
