,区分１,区分２,１,２,３,４,５,６,７,８,９,１０,１１,１２,年
0,平均気温（℃）,東京,6.1,6.2,9.0,15.1,17.7,23.2,25.6,28.1,24.7,19.2,13.3,6.4,16.2
1,平均気温（℃）,大島,7.6,7.2,10.0,14.7,16.9,21.1,24.0,26.0,23.3,19.0,13.8,7.2,15.9
2,平均気温（℃）,三宅島,10.2,9.8,11.7,16.2,18.2,21.9,24.6,26.4,24.1,20.8,16.9,9.4,17.5
3,平均気温（℃）,八丈島,10.2,10.0,11.9,16.3,18.1,21.8,24.5,26.4,24.8,21.8,16.6,9.3,17.6
4,降水（ｍｍ）,東京,77.0,48.0,71.0,81.0,180.5,170.5,247.5,189.5,177.5,201.5,34.5,3.5,1482.0
5,降水（ｍｍ）,大島,157.5,171.0,142.0,169.5,309.0,515.5,238.0,310.5,191.5,238.5,211.5,8.5,2663.0
6,降水（ｍｍ）,三宅島,120.5,165.5,234.0,141.0,330.0,529.5,215.5,282.5,361.0,230.5,172.0,16.5,2798.5
7,降水（ｍｍ）,八丈島,182.0,223.0,235.0,139.5,148.0,516.5,214.5,90.5,299.5,371.0,240.5,61.0,2721.0
8,日照時間（ｈ）,東京,200.0,148.9,175.1,216.1,172.3,119.3,103.9,159.9,154.2,108.3,194.6,212.4,1965.0
9,日照時間（ｈ）,大島,140.9,106.9,197.6,209.6,209.4,100.8,102.9,171.5,174.3,115.3,167.2,169.7,1866.1
10,日照時間（ｈ）,三宅島,89.1,93.8,171.2,196.8,199.6,88.3,146.8,217.5,173.0,87.4,133.2,124.3,1721.0
11,日照時間（ｈ）,八丈島,68.1,65.9,143.7,172.5,163.9,57.7,96.6,181.6,158.3,92.1,117.4,85.6,1403.4
12,平均風速（ｍ／ｓ）,東京,3.7,3.9,3.5,3.8,3.9,3.0,2.9,3.4,3.6,3.3,2.9,3.4,3.4
13,平均風速（ｍ／ｓ）,大島,6.0,5.6,6.2,5.4,4.7,4.2,4.2,4.0,4.6,5.3,4.4,6.5,5.1
14,平均風速（ｍ／ｓ）,三宅島,7.8,7.8,7.5,6.0,5.5,5.1,5.0,3.9,4.8,7.1,6.1,8.9,6.3
15,平均風速（ｍ／ｓ）,八丈島,5.9,6.0,6.0,4.7,4.7,4.9,4.0,3.0,5.0,5.6,4.3,6.2,5.0
16,平均湿度（％）,東京,47.0,45.0,49.0,54.0,58.0,70.0,71.0,68.0,67.0,69.0,52.0,39.0,57.0
17,平均湿度（％）,大島,64.0,65.0,66.0,74.0,75.0,88.0,89.0,87.0,84.0,83.0,72.0,60.0,76.0
18,平均湿度（％）,三宅島,65.0,66.0,65.0,73.0,76.0,90.0,91.0,87.0,87.0,83.0,66.0,60.0,76.0
19,平均湿度（％）,八丈島,66.0,70.0,68.0,76.0,80.0,94.0,95.0,89.0,87.0,84.0,69.0,61.0,78.0
