,科目１,科目２,調定額現年課税分（円）,調定額件数,調定額滞納繰越分（円）,調定額件数.1,収入額現年課税分（円）,収入額件数,収入額滞納繰越分（円）,収入額件数.1,収入歩合現年（％）,収入歩合件数（％）,収入歩合滞納（％）,収入歩合件数（％）.1
0,都民税,個人,33868271,3064,38862558,5798,29056389,1987,11565032,944,85.7,64.8,29.7,16.2
1,都民税,法人,16081900,265,394243,16,15951900,264,289243,8,99.1,99.6,73.3,0.5
2,都民税,小計,49950171,3329,39256801,5814,45008289,2251,11854275,952,90.1,67.6,30.1,16.3
3,事業税,個人,1357700,28,0,0,1346200,27,0,0,99.1,96.4,0.0,0.0
4,事業税,法人,56959700,35,1871837,2,56959700,35,1865637,1,100.0,100.0,99.6,50.0
5,事業税,小計,58317400,63,1871837,2,58305900,62,1865637,1,99.9,98.4,99.6,50.0
6,不動産取得税,,68500,1,1040200,5,68500,1,26700,0,100.0,100.0,2.5,0.0
7,自動車税,,1943900,50,2172400,142,1325700,35,176900,4,68.1,70.0,8.1,2.8
8,軽油引取税,,20223,1,0,0,20223,1,0,0,100.0,100.0,0.0,0.0
9,入猟税,,66000,4,0,0,66000,4,0,0,100.0,100.0,0.0,0.0
10,合計,,110366194,3448,44341238,5963,104794612,2354,13923512,957,94.9,68.2,31.4,16.0
