,科目,１７決算額（千円）,１７構成比（％）,１６決算額（千円）,１６構成比（％）,１７対前年度増減額（千円）,１６対前年度増減額（千円）,１７増減率（％）,１６増減率（％）
0,地方税,109938,11.0,35163,3.8,74775,-789,212.7,-2.2
1,地方譲与税,3143,0.3,2614,0.3,529,626,20.2,31.5
2,利子割交付金,284,0.0,294,0.0,-10,-39,-3.4,-11.7
3,地方消費税交付金,4322,0.4,4667,0.5,-345,517,-7.4,12.5
4,配当割交付金,135,0.0,76,0.0,59,76,77.6,
5,株式等譲渡所得割交付金,202,0.0,82,0.0,120,82,146.3,
6,地方特例交付金,1434,0.1,1554,0.2,-120,300,-7.7,23.9
7,地方交付税,234746,23.4,305447,33.1,-70701,-40127,-23.1,-11.6
8,自動車取得税交付金,2296,0.2,2173,0.2,123,-247,5.7,-10.2
9,使用料,37824,3.8,37506,4.1,318,360,0.8,1.0
10,手数料,199,0.0,726,0.1,-527,-191,-72.6,-20.8
11,国庫支出金,2104,0.2,4915,0.5,-2811,400,-57.2,8.9
12,都道府県支出金,325989,32.5,299686,32.4,26303,11328,8.8,3.9
13,財産収入,4431,0.4,16711,1.8,-12370,16334,-74.0,4332.6
14,分担金及び負担金,1195,0.1,1195,0.1,0,0,0.0,0.0
15,繰入金,100000,10.0,60043,6.5,39957,-13112,66.5,-17.9
16,繰越金,32843,3.3,29148,3.2,3695,4994,12.7,20.7
17,諸収入,81672,8.1,82791,9.0,-1119,-2793,-1.4,-3.3
18,地方債,60300,6.0,39100,4.2,21200,-15800,54.2,-28.8
19,合計,1002967,100.0,923891,100.0,79076,-38081,8.6,-4.0
