,科目１,科目２,科目３,調定額現年課税分（千円）,調定額滞納繰越分（千円）,収入額現年課税分（千円）,収入額滞納繰越分（千円）,収入歩合現年（％）,収入歩合滞納（％）
0,普通税,村民税,個人,80797,65102,64183,15988,79.4,24.6
1,普通税,村民税,法人,40099,3492,36225,740,90.3,21.2
2,普通税,村民税,計,120896,68594,100408,16728,83.1,24.4
3,普通税,固定資産税,純固定資産税,47271,63383,38576,517,81.6,0.8
4,普通税,固定資産税,交付金,18389,0,18389,0,100.0,
5,普通税,固定資産税,計,65660,63383,56965,517,86.8,0.8
6,普通税,軽自動車税,,4835,7002,3465,1164,71.7,16.6
7,普通税,たばこ税,,33460,0,33460,0,100.0,
8,普通税,特別土地保有税,,0,0,0,0,,
9,普通税,入湯税,,0,0,0,0,,
10,普通税,合計,,224851,138979,194298,18409,96.4,16.6
11,国民健康保険税,,,54557,211440,41563,13094,76.2,6.2
