,区分１,区分２,区分３,三宅村消防本部,三宅村消防本部条例定数,三宅村消防団本部,三宅村神着分団,三宅村伊豆分団,三宅村伊ヶ谷分団,三宅村阿古分団,三宅村坪田分団,三宅村計,三宅村計条例定数,御蔵島村,御蔵島村条例定数,合計,合計条例定数
0,団員数,,,,,4.0,26.0,12.0,11.0,37.0,16.0,106,150.0,35.0,35.0,141,185.0
1,消防吏員,,,9.0,12.0,,,,,,,9,12.0,,,9,12.0
2,ポンプ数,ガソリンポンプ,四輪駆動車,0.0,,,1.0,1.0,0.0,1.0,1.0,4,,0.0,,4,
3,ポンプ数,ガソリンポンプ,小型動力ポンプ,0.0,,,3.0,1.0,3.0,4.0,4.0,15,,5.0,,20,
4,ポンプ数,ガソリンポンプ,小型動力ポンプ付積載車,0.0,,,1.0,1.0,1.0,1.0,1.0,5,,2.0,,7,
5,ポンプ数,ガソリンポンプ,水槽付ポンプ自動車,1.0,,,0.0,0.0,0.0,0.0,0.0,1,,0.0,,1,
6,ポンプ数,ガソリンポンプ,化学消防車,0.0,,,0.0,0.0,0.0,0.0,0.0,0,,0.0,,0,
7,ポンプ数,計,,1.0,,,5.0,3.0,4.0,6.0,6.0,25,,7.0,,32,
8,消火設備,消防栓,,,,,,,,,,0,,25.0,,25,
9,消火設備,防火水槽,,,,,18.0,12.0,8.0,20.0,22.0,80,,5.0,,85,
10,消火設備,計,,,,,18.0,12.0,8.0,20.0,22.0,80,,30.0,,110,
