,島名,事業項目,事業細目,箇所名,施行地又は受益地,事業主体,着工年度,完了年度,全体計画事業費,全体計画国費,残事業事業費,残事業国費,１７当初事業費,１７当初国費,１７修正後事業費,１７修正後国費,１８事業計画事業費,１８事業計画国費,１８事業計画都費,１８事業計画町村費
0,三宅島,砂防,火山砂防,川田沢支川,三宅村神着,都,H17,H18,1055000.0,580250.0,0.0,0.0,0.0,0.0,862000.0,474100.0,237000.0,130350.0,106650.0,
1,三宅島,砂防,火山砂防,美茂井沢,三宅村神着,都,H17,H20,624000.0,343200.0,394000.0,216700.0,0.0,0.0,73000.0,40150.0,212000.0,116600.0,95400.0,
2,三宅島,砂防,火山砂防,三ノ輪沢,三宅村神着,都,H17,H20,497000.0,273350.0,320000.0,176000.0,0.0,0.0,75000.0,41250.0,147000.0,80850.0,66150.0,
3,三宅島,砂防,火山砂防,間川,三宅村神着,都,H18,H21,449000.0,246950.0,371000.0,204050.0,0.0,0.0,,,111000.0,61050.0,49950.0,
4,三宅島,砂防,火山砂防,ハルゲ沢,三宅村神着,都,H18,H21,738000.0,405900.0,642000.0,353100.0,0.0,0.0,,,120000.0,66000.0,54000.0,
5,三宅島,砂防,火山砂防,鉄砲沢・夕景沢,三宅村阿古,都,H18,H21,277000.0,152350.0,209000.0,114950.0,0.0,0.0,,,377000.0,207350.0,169650.0,
6,三宅島,砂防,火山砂防,火山砂防計,,,,,3640000.0,20200.0,1936000.0,1064800.0,0.0,0.0,11000.0,555500.0,1204000.0,662200.0,541800.0,
7,三宅島,建設海岸,局部改良,阿古,三宅村阿古,都,H16,H21,332000.0,166000.0,264000.0,132000.0,36000.0,18000.0,46000.0,23000.0,40000.0,20000.0,20000.0,
8,三宅島,港湾海岸,侵食,三池,三宅村坪田,都,H13,H25,21000.0,1105500.0,21000.0,1105500.0,30000.0,16500.0,,,30000.0,16500.0,13500.0,
9,三宅島,海岸計,,,,,,,2342000.0,1271500.0,2274000.0,1237500.0,66000.0,34500.0,46000.0,23000.0,70000.0,36500.0,33500.0,
10,三宅島,一般都道,特殊改良（一種）,三宅循環線,三宅村伊豆,都,H17,H17,58000.0,29000.0,0.0,0.0,58000.0,29000.0,,,0.0,,,
11,三宅島,一般都道,特殊改良（一種）,三宅循環線,三宅村神着,都,H17,H20,463000.0,231500.0,207000.0,103500.0,140000.0,70000.0,,,116000.0,58000.0,58000.0,
12,三宅島,一般都道,特殊改良（一種）,三宅循環線,三宅村坪田,都,H17,H21,1149000.0,574500.0,507000.0,253500.0,190000.0,95000.0,,,174000.0,87000.0,87000.0,
13,三宅島,一般都道,特殊改良（一種）,三宅循環線,三宅村伊豆,都,H17,H21,596000.0,298000.0,354000.0,177000.0,12000.0,6000.0,,,13000.0,6500.0,6500.0,
14,三宅島,一般都道,特殊改良（一種）,特殊改良（一般）計,,,,,2266000.0,1133000.0,1068000.0,534000.0,400000.0,200000.0,0.0,0.0,303000.0,151500.0,151500.0,
15,三宅島,港湾,地方港湾,三池港,三宅村沖ノ平,都,S42,H19,2631000.0,2102800.0,2526000.0,2020800.0,736000.0,588800.0,,,710000.0,568000.0,142000.0,
