,島名,事業項目,箇所名,施行地又は受益地,事業主体,着工年度（Ｈ）,完了年度（Ｈ）,全体計画事業費,全体計画国費,残事業事業費,残事業国費,１７当初事業費,１７当初国費,１７補正後事業費,１７補正後国費,１８事業計画事業費,１８事業計画国費,１８事業計画都費,１８事業計画町村費
0,三宅島,文教,三宅小学校校舎の新増築,伊豆,村,17.0,17.0,89412,20773,,,89412.0,21516.0,110569.0,20773.0,,,,
1,三宅島,文教,三宅小学校校舎の大規模改造,伊豆,村,17.0,17.0,98745,32915,,,74890.0,24963.0,121271.0,31958.0,,,,
2,三宅島,文教,三宅小学校校舎の公害防止工事,伊豆,村,17.0,17.0,0,0,,,99657.0,54811.0,0.0,0.0,,,,
3,三宅島,文教,文教計,,,,,188157,53688,0.0,0.0,263959.0,101290.0,231840.0,52731.0,,,,
4,三宅島,構造改善関係（水産経営）,築いそ,三宅村,都,17.0,17.0,24200,12100,,,24200.0,12100.0,,,,,,
5,三宅島,構造改善関係（水産経営）,築いそ,三宅村,都,18.0,18.0,28480,14240,28480.0,14240.0,,,,,25080.0,12540.0,12540.0,
6,三宅島,構造改善関係（水産経営）,構造改善関係計,,,,,52680,26340,28480.0,14240.0,24200.0,12100.0,0.0,0.0,25080.0,12540.0,12540.0,0.0
7,三宅島,三宅島計,,,,,,240837,80028,28480.0,14240.0,288159.0,113390.0,231840.0,52731.0,25080.0,12540.0,12540.0,0.0
8,御蔵島,公営住宅,御蔵島村,御蔵島村入かねざ沢,村,18.0,18.0,89943,40474,89943.0,40474.0,,,,,89943.0,40474.0,22485.0,26984.0
9,御蔵島,御蔵島村計,,,,,,89943,40474,89943.0,40474.0,0.0,0.0,0.0,0.0,89943.0,40474.0,22485.0,26984.0
