,年次,村別,総人口,就業者総数,分類不能の産業,第一次産業,第二次産業,第三次産業,完全失業人口
0,30,三宅村,7131,3396,,2335,181,880,61
1,30,御蔵島村,337,139,,64,11,64,0
2,40,三宅村,5629,2246,,849,460,937,23
3,40,御蔵島村,243,121,,2,65,54,0
4,45,三宅村,4857,2184,7.0,654,343,1180,42
5,45,御蔵島村,203,109,,1,39,69,0
6,50,三宅村,4631,2186,12.0,459,369,1346,42
7,50,御蔵島村,177,102,,6,35,61,1
8,55,三宅村,4228,2115,,349,388,1378,41
9,55,御蔵島村,225,132,,22,49,61,2
10,60,三宅村,4167,2155,1.0,307,501,1346,23
11,60,御蔵島村,260,133,,16,38,78,4
12,2,三宅村,3911,1993,1.0,324,387,1281,21
13,2,御蔵島村,293,162,,4,69,89,3
14,7,三宅村,3828,2042,10.0,305,440,1287,37
15,7,御蔵島村,275,167,,0,66,101,1
16,12,三宅村,-,-,,-,-,-,-
17,12,御蔵島村,308,181,,20,66,95,0
