,種類１,種類２,種類３,三宅村神着,三宅村神着生活と併給のもの,三宅村伊豆,三宅村伊豆生活と併給のもの,三宅村伊ヶ谷,三宅村阿古,三宅村阿古生活と併給のもの,三宅村坪田,三宅村坪田生活と併給のもの,三宅村計,三宅村計生活と併給のもの,御蔵島,御蔵島生活と併給のもの,合計,合計生活と併給のもの
0,生活,世帯,,3.0,,7.0,,0,14.0,,6.0,,30.0,,1.0,,31.0,
1,生活,人員,,3.0,,8.0,,0,21.0,,8.0,,40.0,,1.0,,41.0,
2,教育,世帯,,0.0,,0.0,,0,,1.0,,1.0,,2.0,0.0,,,2.0
3,教育,人員,,0.0,,0.0,,0,,3.0,,2.0,,5.0,0.0,,,5.0
4,住宅,世帯,,,2.0,,2.0,0,,11.0,,5.0,,20.0,0.0,,,20.0
5,住宅,人員,,,2.0,,2.0,0,,17.0,,7.0,,28.0,0.0,,,28.0
6,介護,世帯,,0.0,,,1.0,0,3.0,2.0,,1.0,3.0,4.0,0.0,,3.0,4.0
7,介護,人員,,0.0,,,1.0,0,3.0,2.0,,1.0,3.0,4.0,0.0,,3.0,4.0
8,医療,単給,世帯,0.0,,1.0,,0,4.0,,2.0,,7.0,,0.0,,7.0,
9,医療,単給,人員,0.0,,1.0,,0,4.0,,2.0,,7.0,,0.0,,7.0,
10,医療,その他との併給,世帯,,2.0,,7.0,0,,14.0,,6.0,,29.0,,1.0,,30.0
11,医療,その他との併給,人員,,2.0,,8.0,0,,19.0,,8.0,,37.0,,1.0,,38.0
12,就学,世帯,,0.0,,0.0,,0,,1.0,0.0,,,1.0,0.0,,,1.0
13,就学,人員,,0.0,,0.0,,0,,2.0,0.0,,,2.0,0.0,,,2.0
14,合計,世帯,,3.0,,8.0,,0,21.0,,8.0,,40.0,,1.0,,41.0,
15,合計,人員,,3.0,,9.0,,0,28.0,,10.0,,50.0,,1.0,,51.0,
