,事業区分,１５施工箇所,１５数量,１５工事費（千円）,１５工事費繰越（千円）,１５工事費予算で支払い（千円）,事業区分.1,１６施工箇所,１６数量,１６工事費（千円）,１６工事費繰越（千円）,１６工事費予算で支払い済（千円）,事業区分.2,１７施工箇所,１７数量,１７工事費（千円）,１７工事費繰越（千円）,１７工事費予算で支払い済（千円）
0,災害復旧,三宅村（空粟沢）,谷止工２基,68383.0,,,災害復旧,三宅村（榎木沢）,谷止工１基／床固工１基／流路工一式,209647.0,154647.0,-55000.0,災害復旧,三宅村（榎木沢）,谷止工１基／床固定１基／流路工一式,154647,,
1,災害復旧,三宅村（伊ヶ谷沢）,谷止工３基,122422.0,,,災害復旧,三宅村（夕景沢）,谷止工２基／床固工１基／流路工一式,383619.0,383619.0,,災害復旧,三宅村（夕景沢）,谷止工２基／床固定１基／流路工一式,383619,,
2,災害復旧,三宅村（角屋敷沢）,谷止工１基,242968.0,,,災害復旧,三宅村（平山沢）,谷止工７基,346944.0,246944.0,-100000.0,災害復旧,三宅村（平山沢）,谷止工７基,246944,,
3,災害復旧,三宅村（道の沢）,谷止工８基／床固工２基／流路工一式,384106.0,,,災害復旧,三宅村（伊豆川）,谷止工１基,43515.0,,,災害復旧,三宅村（大沢）,谷止工５基,244830,,
4,災害復旧,三宅村（立根沢）,谷止工７基,245018.0,147018.0,-98000.0,災害復旧,三宅村（大沢）,谷止工５基,332325.0,199425.0,-132900.0,災害復旧,三宅村（榎木沢）,谷止工１基／床固定３基／流路工二式,223162,,
5,災害復旧,三宅村（築穴沢）,谷止工１２基／床固工７基／流路工一式,467250.0,467250.0,,災害復旧,三宅村（田ヶ沢）,谷止工２基,75455.0,,,災害復旧,三宅村（坊田沢）,谷止工７基,284297,,
6,災害復旧,三宅村（空粟沢）,谷止工１基,96285.0,96285.0,,災害復旧,三宅村（金曽沢）,土留工３基,123090.0,,,災害復旧,三宅村（とんび沢）,土留工２基,82346,47946.0,-34400.0
7,災害復旧,三宅村（角屋敷沢）,谷止工２基,129150.0,129150.0,,委託（災害）,三宅村（坪田）,脱硫宿舎設備保守点検,6868.0,,,災害復旧,三宅村（金曽沢）,谷止工３基／土留工３基,399610,274510.0,-125100.0
8,災害復旧,三宅村（芦穴沢）,谷止工２基／床固工５基／流路工２基,292425.0,292425.0,,委託（災害）,三宅村（全域）,森林復旧対策調査,25000.0,,,災害復旧,三宅村（角屋敷沢）,谷止工１基／床固定２基／流路工一式,86212,,-32000.0
9,災害復旧,三宅村（榎木沢）,谷止工２基／床固工２基／流路工一式,296625.0,296625.0,,委託（災害）,三宅村（全域）,測量・設計,23730.0,,,災害復旧,三宅村（倉沢）,谷止工２基,62533,39433.0,-23100.0
10,災害復旧,三宅村（道の沢）,谷止工２基,68250.0,68250.0,,委託（災害）,三宅村（全域）,現場技術業務,10920.0,,,委託（災害）,三宅村（全域）,現場技術業務,20790,,
11,委託（災害）都単治山,御蔵島,緑化工,28875.0,,,委託（災害）,三宅村（全域）,森林災害復旧調査,42300.0,,,委託（災害）,三宅村（坪田）,測量・設計,4935,,
12,委託（災害）都単治山,三宅村（坪田・阿古）,測量・設計,38850.0,,,委託（災害）,三宅村（全域）,全体計画作成,25100.0,21967.0,-3133.0,委託（災害）,三宅村（坪田）,測量・設計,6496,,
13,委託（災害）都単治山,三宅村（坪田・阿古）,測量・設計,3150.0,,,委託（災害）,三宅村（全域）,荒廃地緑化試験,37500.0,37500.0,,委託（災害）,三宅村（伊豆）,測量・設計,4912,,
14,委託（災害）都単治山,三宅村（全域）,森林総合調査,22800.0,,,都単治山,三宅村（椎取沢）,吹付工一式,4515.0,,,委託（災害）,三宅村（全域）,森林復旧対策調査,23662,,
15,委託（災害）都単治山,三宅村（全域）,種子採取,6890.0,,,都単治山,三宅村（伊ヶ谷）,防風柵工一式,9534.0,,,委託（災害）,三宅村（全域）,荒廃地緑化試験,14196,,
16,委託（災害）都単治山,御蔵島,写真撮影,2499.0,,,都単治山,御蔵島（川田沢）,根継工一式,10651.0,,,委託（災害）,三宅村（全域）,森林災害復旧調査,18692,,
17,都単治山,,,,,,,,,,,,委託（災害）,三宅村（神着・坪田）,測量・設計,13657,,
18,都単治山,,,,,,,,,,,,都単治山,三宅村（空粟沢）,伏工一式,1470,,
19,都単治山,,,,,,,,,,,,都単治山,三宅村（伊ヶ谷）,防風柵工一式,1365,,
20,都単治山,,,,,,,,,,,,都単治山,御蔵島（川田沢）,水叩き工垂直壁工一式,15315,,
