,路線名,既設延長（ｍ）,既設幅員１（ｍ）,既設幅員２（ｍ）,既設利用区域（ｈａ）,年度別工事費１４（千円）,年度別工事費１５（千円）,年度別工事費１６（千円）,年度別工事費１７（千円）,備考
0,雄山環状線,20809.0,3.6,4.0,1042.0,4966.0,141774.0,346144.0,576161.0,
1,神着線,2845.0,3.6,,,,,,,
2,神着線,120.0,4.0,,264.0,,,,,村営
3,三の宮線,1900.0,4.0,,120.0,,,,,
4,土佐線,3180.0,3.6,4.0,202.0,37067.0,4073.0,22001.0,10913.0,
5,坪田線,1347.0,4.0,,41.0,,,,,
6,阿古線,2377.0,3.6,,317.0,,,,,
7,南戸線,3077.0,3.6,4.0,140.0,,,,,
8,伊ヶ谷線,2539.0,3.6,,86.0,9255.0,,,,
9,上山線,1977.0,4.0,,56.0,,,,,村営
10,清水線,4528.0,4.0,,116.0,,,,,村営
11,調査・設計委託,,,,,49672.0,67959.0,48273.0,67998.0,
12,小計,44699.0,,,2384.0,100960.0,213806.0,416418.0,655072.0,
13,黒崎高尾線,6000.0,3.0,4.0,576.0,,1500.0,1500.0,1500.0,
14,鳥の尾線,1675.0,3.0,,78.0,7637.0,6790.0,6174.0,7143.0,
15,小計,7675.0,,,654.0,7637.0,8290.0,7674.0,8643.0,
16,計,52400.0,,,3038.0,108597.0,222096.0,424092.0,663715.0,
