,種別,区分,１３,１４,１５,１６,１７
0,さば,漁獲量（ｋｇ）,54,3,5,45,209
1,さば,金額（千円）,8,1,1,5,43
2,とびうお,漁獲量（ｋｇ）,1732,3,263,336,1824
3,とびうお,金額（千円）,433,1,84,93,511
4,むろあじ,漁獲量（ｋｇ）,840,55,32,37,243
5,むろあじ,金額（千円）,8,9,16,2,78
6,まあじ,漁獲量（ｋｇ）,126,0,0,0,0
7,まあじ,金額（千円）,25,0,0,0,0
8,しまあじ,漁獲量（ｋｇ）,243,775,8,23,741
9,しまあじ,金額（千円）,718,2174,22,60,2175
10,たかべ,漁獲量（ｋｇ）,6548,771,283,1223,4610
11,たかべ,金額（千円）,6273,684,259,1427,4929
12,いさき,漁獲量（ｋｇ）,230,24,4,48,64
13,いさき,金額（千円）,230,33,4,17,45
14,かつお類,漁獲量（ｋｇ）,8919,12593,22400,18125,29436
15,かつお類,金額（千円）,3924,7873,12305,11535,15636
16,まぐろ類,漁獲量（ｋｇ）,7713,22345,34708,13746,37689
17,まぐろ類,金額（千円）,7474,13043,16146,7915,18899
18,かじき類,漁獲量（ｋｇ）,336,99,253,112,46
19,かじき類,金額（千円）,403,13,212,18,43
20,きんめだい,漁獲量（ｋｇ）,24941,11305,10865,9252,9615
21,きんめだい,金額（千円）,15713,9918,8735,7860,7475
22,ひめだい,漁獲量（ｋｇ）,0,27,0,50,851
23,ひめだい,金額（千円）,0,21,0,57,687
24,はまだい,漁獲量（ｋｇ）,0,0,0,0,74
25,はまだい,金額（千円）,0,0,0,0,149
26,あおだい,漁獲量（ｋｇ）,445,568,236,1164,2908
27,あおだい,金額（千円）,743,1040,389,1362,2561
28,めだい,漁獲量（ｋｇ）,8994,4562,6390,6240,4813
29,めだい,金額（千円）,5486,2300,2671,2887,1885
30,あこうだい,漁獲量（ｋｇ）,9315,1508,170,34,69
31,あこうだい,金額（千円）,6902,1541,187,34,65
32,まだい,漁獲量（ｋｇ）,62,15,12,12,12
33,まだい,金額（千円）,106,22,16,11,9
34,ひらまさ,漁獲量（ｋｇ）,306,830,564,198,211
35,ひらまさ,金額（千円）,342,712,649,199,234
36,かんぱち,漁獲量（ｋｇ）,10861,6540,2788,4646,3058
37,かんぱち,金額（千円）,12165,7064,3645,4860,2949
38,さわら,漁獲量（ｋｇ）,514,1790,284,2214,2095
39,さわら,金額（千円）,93,297,82,443,642
40,むつ,漁獲量（ｋｇ）,2058,383,90,127,147
41,むつ,金額（千円）,3633,555,104,169,200
42,さめ類,漁獲量（ｋｇ）,0,0,0,0,0
43,さめ類,金額（千円）,0,0,0,0,0
44,ぶり類,漁獲量（ｋｇ）,0,0,0,66,45
45,ぶり類,金額（千円）,0,0,0,7,16
46,ひらめ,漁獲量（ｋｇ）,0,0,5,0,25
47,ひらめ,金額（千円）,0,0,6,0,39
48,ぼら類,漁獲量（ｋｇ）,0,0,0,7,0
49,ぼら類,金額（千円）,0,0,0,2,0
50,その他の魚類,漁獲量（ｋｇ）,7941,6369,5145,2734,5493
51,その他の魚類,金額（千円）,8050,8130,2809,2216,5578
52,魚類計,漁獲量（ｋｇ）,92178,70565,84505,60439,104278
53,魚類計,金額（千円）,72729,55431,48342,41179,64848
54,かめ,漁獲量（ｋｇ）,0,0,0,0,0
55,かめ,金額（千円）,0,0,0,0,0
56,いか類,漁獲量（ｋｇ）,1313,736,2229,1340,181
57,いか類,金額（千円）,1681,1495,2368,1941,313
58,いせえび,漁獲量（ｋｇ）,5724,6264,3660,2941,5086
59,いせえび,金額（千円）,20190,22935,15087,12103,21028
60,とこぶし,漁獲量（ｋｇ）,0,84,107,74,729
61,とこぶし,金額（千円）,0,185,284,183,1911
62,その他,漁獲量（ｋｇ）,15,0,25,8,2315
63,その他,金額（千円）,8,0,29,8,3585
64,水生動物計,漁獲量（ｋｇ）,7052,7084,6021,4363,8311
65,水生動物計,金額（千円）,21879,24615,17768,14235,26837
66,てんぐさ,漁獲量（ｋｇ）,0,0,0,0,4183
67,てんぐさ,金額（千円）,0,0,0,0,15534
68,とさかのり,漁獲量（ｋｇ）,12506,15839,68,0,37971
69,とさかのり,金額（千円）,5415,5798,19,0,17839
70,その他の藻類,漁獲量（ｋｇ）,6,0,44,19,7
71,その他の藻類,金額（千円）,2,0,38,394,141
72,藻類計,漁獲量（ｋｇ）,12512,15839,112,19,42161
73,藻類計,金額（千円）,5417,5798,57,394,33514
74,合計,漁獲量（ｋｇ）,111742,93488,90638,64821,154750
75,合計,金額（千円）,100025,85844,66167,55808,125199
