,種別,三宅島漁獲量（ｋｇ）,三宅島生産額（千円）,御蔵島漁獲量（ｋｇ）,御蔵島生産額（千円）,合計漁獲量（ｋｇ）,合計生産額（千円）
0,とび流し刺し網,0,0,0,0,0,0
1,とび流しまき網,0,0,0,0,0,0
2,たかべ刺し網,2875,3561,1735,1368,4610,4929
3,建切網,0,0,0,0,0,0
4,あじさば棒受網,0,0,0,0,0,0
5,底魚一本釣り,20415,13562,157,102,20572,13664
6,いかつり,181,313,0,0,181,313
7,ひきなわ,63025,32113,4146,2465,67171,34578
8,突ん棒,0,0,0,0,0,0
9,えび刺し網,4916,20493,170,535,5086,21028
10,その他刺し網,0,0,0,0,0,0
11,定置網,0,0,0,0,0,0
12,採貝,3040,5492,4,4,3044,5496
13,採藻,42148,33356,13,158,42161,33514
14,その他,10573,9533,1352,2144,11925,11677
15,計,147173,118423,7577,6776,154750,125199
