,区分,指定河川の名称,規模（ｍ）,告示年月日,所在地
0,1,とんび沢,2477,昭和25.6.1,三宅村坪田
1,1,とんび沢,ダム区域,平成14.9.24,三宅村坪田
2,1,とんび沢,,平成17.3.22,三宅村坪田
3,2,金曽沢,,昭和25.6.1,三宅村坪田
4,2,金曽沢,,平成15.1.10,三宅村坪田
5,2,金曽沢,,平成16.3.17,三宅村坪田
6,3,西川,594,昭和33.3.3,三宅村神着
7,3,西川,ダム区域,平成15.1.10,三宅村神着
8,3,西川,,平成17.3.22,三宅村神着
9,4,間川,750,昭和33.3.3,三宅村神着
10,4,間川,380,平成7.2.22,三宅村神着
11,4,間川,,平成17.3.22,三宅村神着
12,5,卯辰川及西川,1380,昭和34.5.20,御蔵島村
13,5,卯辰川及西川（西川）,ダム区域,平成14.9.24,御蔵島村
14,6,榎木沢及支川,1500,昭和37.11.13,三宅村阿古
15,6,榎木沢及支川,ダム区域及び沈砂地,平成15.3.14,三宅村阿古
16,6,榎木沢及支川,,平成17.8.3,三宅村阿古
17,7,姉川,2000,昭和37.11.13,三宅村伊豆
18,7,姉川,ダム区域,平成4.7.24,三宅村伊豆
19,7,姉川,,平成17.4.26,三宅村伊豆
20,8,伊豆川,1320,昭和41.8.16,三宅村伊豆
21,8,伊豆川,２号３号ダム区域,平成15.1.10,三宅村伊豆
22,8,伊豆川,,平成17.3.22,三宅村伊豆
23,9,釜の尻沢,183,昭和41.8.16,三宅村神着
24,9,釜の尻沢,ダム区域,平成14.9.24,三宅村神着
25,9,釜の尻沢,,平成17.3.22,三宅村神着
26,9,釜の尻沢,,平成17.4.26,三宅村神着
27,10,坊田沢,940,昭和45.10.7,三宅村伊豆
28,10,坊田沢,１号ダム区域、１６３,平成15.3.14,三宅村伊豆
29,10,坊田沢,２号ダム区域,平成16.3.17,三宅村伊豆
30,11,ようが沢,1500,昭和47.11.24,三宅村神着
31,11,ようが沢,ダム区域,平成16.3.17,三宅村神着
32,12,道の沢,109,昭和59.1.28,三宅村神着
33,12,道の沢,108,昭和60.12.21,三宅村坪田
34,12,道の沢,706,昭和62.1.26,三宅村坪田
35,12,道の沢,230,平成15.3.14,三宅村坪田
36,12,道の沢,,平成17.3.22,三宅村坪田
37,13,田ヶ沢（坪田沢）,200,昭和59.1.28,三宅村坪田
38,14,筑穴沢,160,昭和59.1.28,三宅村坪田
39,14,筑穴沢,ダム区域,平成16.3.17,三宅村坪田
40,15,川田沢,ダム区域,平成14.9.24,三宅村神着
41,15,川田沢,,平成16.12.2,三宅村神着
42,16,三池沢,ダム区域,平成14.9.24,三宅村坪田
43,16,三池沢,,平成16.3.17,三宅村坪田
44,16,三池沢,,平成16.12.2,三宅村坪田
45,17,伊ヶ谷沢,１号ダム区域、５７４,平成15.3.14,三宅村伊ヶ谷
46,17,伊ヶ谷沢,２号ダム区域,平成15.12.6,三宅村伊ヶ谷
47,18,カニガ沢,１号ダム区域、１１６．５,平成15.1.10,三宅村坪田
48,19,仏沢,１号ダム区域、４１０,平成15.1.01,三宅村坪田
49,19,仏沢,,平成17.8.3,三宅村坪田
50,20,御子敷沢,ダム区域,平成15.1.10,三宅村坪田
51,20,御子敷沢,,平成17.4.26,三宅村坪田
52,20,御子敷沢,,平成17.8.3,三宅村坪田
53,21,大沢,１号ダム区域、１７７．９,平成15.1.10,三宅村坪田
54,22,タデノ沢,ダム区域,平成15.1.10,三宅村阿古
55,22,タデノ沢,,平成17.4.26,三宅村阿古
56,23,榎木沢,,平成15.3.22,三宅村阿古
57,23,榎木沢,,平成17.3.22,三宅村阿古
58,23,榎木沢,,平成17.8.3,三宅村阿古
59,24,清水沢,ダム区域、２１４,平成16.1.28,三宅村伊ヶ谷
60,25,大久保沢,ダム区域,平成15.12.16,三宅村伊豆
61,25,大久保沢,床固定、２３０,平成16.3.17,三宅村伊豆
62,26,厚木沢,ダム区域,平成15.12.16,三宅村坪田
63,27,川田沢支川,,平成15.12.16,三宅村神着
64,27,川田沢支川,２号ダム区域,平成18.8.11,三宅村神着
65,28,地獄谷,,平成15.12.16,三宅村神着
66,28,地獄谷,,平成17.3.22,三宅村神着
67,29,釜方沢,ダム区域、導流工,平成16.3.17,三宅村神着
68,30,大穴沢,ダム区域、２８４,平成16.1.28,三宅村神着
69,31,岡堀沢,ダム区域,平成16.1.28,三宅村阿古
70,32,鉄砲沢・夕景沢,１号２号ダム区域、流向制御工,平成16.1.28,三宅村阿古
71,33,湯舟沢・土佐沢,,平成16.1.28,三宅村神着
72,34,椎取神社付近,,平成16.1.28,三宅村神着
73,34,椎取神社付近,,平成17.3.22,三宅村神着
74,35,しらみ沢,,平成16.3.17,三宅村神着
75,36,空栗沢,,平成17.8.3,三宅村伊ヶ谷
76,37,芦穴沢,,平成17.8.3,三宅村阿古
77,38,立根,,平成17.8.3,三宅村阿古
78,39,角屋敷,,平成17.4.26,三宅村阿古
79,40,美茂井沢,ダム区域、４６６,平成18.8.11,三宅村神着
80,41,三ノ輪沢,ダム区域、８００,平成18.8.11,三宅村神着
