,月,東京⇒三宅入（人）,東京⇒三宅出（人）,東京⇒三宅予定（日）,東京⇒三宅実績（日）,東京⇒三宅就航率（％）,三宅⇒東京入（人）,三宅⇒東京出（人）,三宅⇒東京予定（日）,三宅⇒東京実績（日）,三宅⇒東京就航率（％）,合計入（人）,合計出（人）,東京⇒三宅⇒御蔵入（人）,東京⇒三宅⇒御蔵出（人）,東京⇒三宅⇒御蔵予定（日）,東京⇒三宅⇒御蔵実績（日）,東京⇒三宅⇒御蔵就航率（％）,御蔵⇒三宅⇒東京入（人）,御蔵⇒三宅⇒東京出（人）,御蔵⇒三宅⇒東京予定（日）,御蔵⇒三宅⇒東京実績（日）,御蔵⇒三宅⇒東京就航率（％）,合計入（人）.1,合計出（人）.1
0,4,5102,313,30,30,100,136,4326,30,30,100,5238,4639,368,37,30,19,63,53,230,30,21,70,421,267
1,5,5307,320,31,31,100,155,5085,31,31,100,5462,5405,834,80,31,24,77,88,908,31,26,83,922,988
2,6,4772,304,30,28,93,371,4780,30,29,96,5143,5084,879,58,30,25,83,47,772,30,24,80,926,830
3,7,5438,340,31,29,93,235,5166,31,29,93,5673,5506,1301,115,31,21,67,171,1122,31,22,71,1472,1237
4,8,6283,353,31,29,93,269,6216,31,28,90,6552,6569,1801,66,31,27,87,53,1755,31,16,51,1854,1821
5,9,4253,301,30,26,87,197,4192,30,24,80,4450,4493,1358,64,30,24,80,37,1292,30,24,80,1395,1356
6,10,4594,288,31,28,90,222,4544,31,28,90,4816,4832,996,18,31,21,68,12,752,31,21,68,1008,770
7,11,4213,253,30,29,96,145,3947,30,29,96,4358,4200,135,7,30,14,47,10,162,30,20,66,145,169
8,12,3285,271,31,28,90,77,3067,31,24,77,3362,3338,16,2,31,6,19,6,19,31,8,25,22,21
9,1,3510,200,31,29,93,80,2925,31,26,83,3590,3125,68,7,31,14,45,3,28,31,16,51,71,35
10,2,2921,222,28,26,93,126,2626,28,25,90,3047,2848,52,21,28,12,43,2,38,28,11,39,54,59
11,3,3698,223,31,25,80,505,3852,31,27,87,4203,4075,109,19,31,16,51,8,94,31,12,38,117,113
12,計,53376,3388,365,338,93,2518,50726,365,330,90,55894,54114,7917,494,365,223,61,490,7172,365,221,60,8407,7666
13,16,28534,2944,256,228,89,1420,26212,281,257,92,29954,29156,6523,449,365,188,52,675,5883,365,193,53,7198,6332
