,月,三池港定期船回数,三池港定期船トン数,三池港臨時船回数,三池港臨時船トン数,三池港計回数,三池港計トン数,阿古漁港定期船回数,阿古漁港定期船トン数,阿古漁港臨時船回数,阿古漁港臨時船トン数,阿古漁港計回数,阿古漁港計トン数,御蔵港定期船回数,御蔵港定期船トン数,御蔵港臨時船回数,御蔵港臨時船トン数,御蔵港計回数,御蔵港計トン数
0,4,24,115776,27,1833,51,117609,35,164751,87,2493,122,167244,39,186867,11,4052,50,190919
1,5,20,81252,15,1579,35,82831,42,192738,126,3506,168,196244,50,224562,9,3592,59,228154
2,6,29,139473,24,2893,53,142366,27,134055,101,1887,128,135942,49,238773,7,2774,56,241547
3,7,48,184176,28,3885,76,188061,10,38370,47,1281,57,39651,43,164991,6,1584,49,166575
4,8,32,122786,19,3160,51,125946,25,95925,114,3056,139,98981,54,207198,8,2218,62,209416
5,9,19,72903,13,1254,32,74157,32,129552,138,2938,170,132490,48,190944,7,2053,55,192997
6,10,15,74475,13,1405,28,75880,41,201309,137,3139,178,204448,42,207402,12,3525,54,210927
7,11,34,168810,27,2088,61,170898,23,111939,72,1859,95,113798,34,167682,8,2070,42,169752
8,12,50,248250,26,2515,76,250765,5,24825,17,564,22,25389,14,69510,4,794,18,70304
9,1,31,142635,20,1713,51,144348,25,106077,48,1212,73,107289,30,129774,11,3348,41,133122
10,2,30,148950,29,1600,59,150550,19,94335,38,1026,57,95361,24,119160,7,2224,31,121384
11,3,27,134055,46,1690,73,135745,24,119160,211,2072,235,121232,28,139020,10,2826,38,141846
12,合計,359,1633541,287,25615,646,1659156,308,1413036,1136,25033,1444,1438069,455,2045883,100,31060,555,2076943
