,施設名１,施設名２,面積（ｍ２）,利用単位１,利用単位２,利用料（円）,摘要
0,集会室,洋室,66.72,,午前（午前９時～正午）,1350,定員４５名
1,集会室,洋室,※,,午後（午後１時～午後５時）,1800,定員４５名
2,集会室,洋室,※,,夜間（午後５時３０分～午後９時３０分）,1800,定員４５名
3,集会室,第一和室,53.20,,午前（午前９時～正午）,1050,２０畳床の間付／定員２５名
4,集会室,第一和室,※,,午後（午後１時～午後５時）,1800,２０畳床の間付／定員２５名
5,集会室,第一和室,※,,夜間（午後５時３０分～午後９時３０分）,1800,２０畳床の間付／定員２５名
6,集会室,第二和室,28.42,,午前（午前９時～正午）,600,１５畳水屋付／定員１５名
7,集会室,第二和室,※,,午後（午後１時～午後５時）,900,１５畳水屋付／定員１５名
8,集会室,第二和室,,,夜間（午後５時３０分～午後９時３０分）,900,１５畳水屋付／定員１５名
9,体育室,,284.40,貸切,午前（午前９時～正午）,1650,舞台／シャワー付
10,体育室,,※,貸切,午後（午後１時～午後５時）,2700,舞台／シャワー付
11,体育室,,※,貸切,夜間（午後５時３０分～午後９時３０分）,2700,舞台／シャワー付
12,体育室,,※,貸切,卓球一式１回,130,舞台／シャワー付
13,体育室,,※,個人,１人１時間,150,舞台／シャワー付
14,ボウリング室,,342.00,,午前１０時～午後９時,１人１ゲーム／３００,４レーン
15,野外コート,,1119.57,貸切,１団体１時間,600,テニスコート／１面
16,野外コート,,※,個人,１人１時間,150,テニスコート／１面
17,野外コート,,※,,屋外照明１時間,100,テニスコート／１面
18,娯楽談話室,,151.50,,,無料,テレビ／囲碁、将棋
