,区分,施設名１,施設名２,施設名３,９,１０,１１,１２（８月までの累計）,１３～１６（事業未実施）,１７（９月から暫定利用開始）
0,団体利用,集会室,洋室,件数,191,181,177,58,-,61
1,団体利用,集会室,洋室,人数,3360,2807,2870,919,-,542
2,団体利用,集会室,和室,件数,161,173,192,55,-,8
3,団体利用,集会室,和室,人数,2380,2387,2586,781,-,369
4,団体利用,体育室,,件数,190,205,163,52,-,41
5,団体利用,体育室,,人数,7838,7944,7065,2084,-,1206
6,団体利用,屋外コート,,件数,436,515,622,145,-,-
7,団体利用,屋外コート,,人数,2531,3019,3980,968,-,-
8,団体利用,計,,件数,978,1074,1154,310,-,130
9,団体利用,計,,人数,16109,16157,16501,4752,-,2117
10,個人利用,体育室,,件数,958,1006,1291,268,-,-
11,個人利用,屋外コート,,人数,323,292,284,114,-,-
12,個人利用,ボーリング室,,ゲーム数,23525,21120,22734,5609,-,-
13,個人利用,ボーリング室,,人数,11018,9967,10681,2396,-,-
14,個人利用,計,,人数,12299,11265,12256,5591,-,-
15,合計（人数）,,,,28408,27422,28757,10743,-,2117
16,娯楽談話室（人数）,,,,10379,10890,10509,3595,-,-
17,利用料（調定額）,,,,5413766,4911880,5043670,1249850,-,-
