,種別,学校名,校長,校長兼務,副校長,副校長兼務,教諭,教諭兼務,養護教諭,養護教諭兼務,事務栄養士,事務栄養士兼務,計,その他指導主事,その他産代育代,その他嘱託員
0,小学校,三宅,1.0,,1.0,,3,7.0,1.0,,1.0,,7,,,
1,小学校,阿古,,1.0,,1.0,4,6.0,,1.0,,1.0,4,,,
2,小学校,坪田,,1.0,1.0,,3,7.0,,1.0,,1.0,4,,,
3,小学校,３校合同,1.0,,2.0,,10,,1.0,,1.0,,15,,,
4,小学校,御蔵島,,1.0,1.0,,6,,1.0,,2.0,,10,,1.0,
5,小学校,計,1.0,,3.0,,16,,2.0,,3.0,,25,,1.0,
6,中学校,三宅,1.0,,1.0,,3,7.0,1.0,,1.0,,7,1.0,,
7,中学校,阿古,,1.0,,1.0,4,6.0,,1.0,,1.0,4,,,
8,中学校,坪田,,1.0,1.0,,3,7.0,,1.0,,1.0,4,,,
9,中学校,３校合同,1.0,,2.0,,10,,1.0,,1.0,,15,1.0,,
10,中学校,御蔵島,1.0,,1.0,,10,,,1.0,,,12,,,
11,中学校,計,2.0,,3.0,,20,,1.0,,1.0,,27,1.0,,
12,合計,,3.0,,6.0,,36,,3.0,,4.0,,52,1.0,1.0,0.0
