,区分１,区分２,文化財名,指定年月日,所在,備考
0,有形文化財,絵画,板絵着色神馬図類（多賀朝湖）,32.2.21,御蔵島村,稲根神社
1,有形文化財,絵画,板絵着色大森彦七図類（多賀朝湖）,32.2.21,御蔵島村,稲根神社
2,有形文化財,工芸品,銅製鍍金銚子,32.2.21,三宅村,神着（御笏神社）
3,有形文化財,工芸品,銅製提子,32.2.21,三宅村,神着（御笏神社）
4,有形文化財,工芸品,銅製黒釉瓶子,32.2.21,三宅村,神着（御笏神社）
5,有形文化財,工芸品,銅鏡（鸚鵡双綬鏡外１０面）,32.2.21,三宅村,神着（御笏神社）
6,有形文化財,工芸品,銅鏡（籬二菊花双鳥鏡外３面）,32.2.21,三宅村,神着（浅沼方）
7,有形文化財,工芸品,銅鏡（菊花双鳥鏡外３２面）,32.2.21,三宅村,神沢神社（島沢方）
8,有形文化財,工芸品,銅鏡（菊花双鳥文）,32.2.21,三宅村,伊ヶ谷（后神社）
9,有形文化財,工芸品,銅鏡（松喰鶴鏡外１７面）,32.2.21,三宅村,坪田（二宮神社）
10,有形文化財,工芸品,銅鏡（蓬莱双鶴文外１面）,32.2.21,三宅村,坪田（松村方）
11,有形文化財,工芸品,銅鏡（山吹双鳥文）,32.2.21,三宅村,坪田（田中方）
12,有形文化財,工芸品,銅鏡（秋草双鳥文）,32.2.21,御蔵島村,小林方
13,有形文化財,彫刻,木造楽面（２面）,32.2.21,三宅村,伊豆（御祭神社）
14,有形文化財,彫刻,木造薬師如来座像,51.1.16,三宅村,伊豆（薬師堂）
15,有形文化財,古文書類,三宅島民政資料（３０３冊、１７２通）,32.2.21,三宅村,三宅支庁・都公文書館
16,有形文化財,古文書類,三宅島民政資料（１０７点）,52.4.5,三宅村,神着（浅沼方）
17,有形文化財,民俗,板絵着色島民生産労働図額,52.4.5,御蔵島村,稲根神社
18,無形民俗文化財,,御笏神社の神事,32.2.21,三宅村,神着
19,無形民俗文化財,,御祭神社の神事,32.2.21,三宅村,伊豆
20,無形民俗文化財,,三宅島の歌と踊り,32.2.21,三宅村,
21,無形民俗文化財,,御蔵島の歌と踊り,32.2.21,御蔵島村,
22,無形民俗文化財,,三宅村坪田のヨミンチャラ,53.3.16,三宅村,坪田
23,史跡,,三宅島役所,57.3.26,三宅村,神着（壬生方）
24,史跡,,三宅島大里遺跡,58.5.6,三宅村,坪田（弥生中期）
25,旧跡,,三宅島ココマ遺跡,32.2.21,三宅村,坪田（弥生中期）
26,旧跡,,ゾウ遺跡,32.2.21,御蔵島村,里（縄文期）
27,天然記念物,,神着の大ザクラ,11.3.4,三宅村,神着
28,天然記念物,,ビャクシン,11.3.4,三宅村,神着（浅沼方）
29,天然記念物,,堂山のシイ,11.3.4,三宅村,伊豆（御祭神社）
30,天然記念物,,御蔵島鈴原の湿原植物群落,32.2.21,御蔵島村,鈴原
31,天然記念物,,三宅島椎取神社の樹叢と溶岩流,60.3.18,三宅村,神着
