,区分１,区分２,文化財名,指定年月日,所在,備考
0,有形文化財,彫刻,善光寺式阿弥陀如来像,47.2.20,三宅村,伊豆（普済院）
1,有形文化財,工芸品,バイキング号キャプスタンを台座にした灯篭,平18.2.1,御蔵島村,稲根神社境内
2,有形文化財,工芸品,普済院銅鉦,47.2.20,三宅村,伊豆（普済院）
3,有形文化財,工芸品,ヨイト船,47.2.20,三宅村,伊ヶ谷（笹本方）
4,有形文化財,工芸品,刀剣,47.2.20,三宅村,阿古（沖山方）
5,有形文化財,工芸品,御笏神社御刀,47.2.20,三宅村,神着（御笏神社）
6,有形文化財,古文書類,小金井小次郎自筆証文（２通）,47.2.20,三宅村,伊豆（池田方）
7,有形文化財,古文書類,井上正鉄の書,47.2.20,三宅村,伊ヶ谷（高松方）
8,旧跡,,竹内式部の墓,47.2.20,三宅村,伊ヶ谷（大林寺）
9,旧跡,,不受不施派僧の墓,47.2.20,三宅村,伊豆（山本方）
10,旧跡,,小金井小次郎の首切り地蔵,47.2.20,三宅村,伊豆（普済院）
11,旧跡,,井上正鉄の墓,47.2.20,三宅村,伊ヶ谷
12,旧跡,,生島新五郎の墓,47.2.20,三宅村,伊ヶ谷
13,旧跡,,小金井小次郎建立の地蔵尊,47.2.20,三宅村,伊豆（曾利川墓地）
14,旧跡,,小金井小次郎井戸,47.2.20,三宅村,伊豆
15,旧跡,,処刑場跡,47.2.20,三宅村,伊ヶ谷
16,天然記念物,,大路藻,47.2.20,三宅村,大路池
17,天然記念物,,迷子椎,47.2.20,三宅村,大路湖畔
18,天然記念物,,普済院の大桜,47.2.20,三宅村,普済院（池田方）
19,天然記念物,,普済院の蘇鉄,47.2.20,三宅村,普済院（池田方）
20,天然記念物,,ハコネコメツツジ,47.2.20,三宅村,雄山山頂
21,天然記念物,,リュウビンタイ,47.2.20,三宅村,神着地区
22,天然記念物,,オオシマハイネス,47.2.20,三宅村,阿古海岸地帯
23,天然記念物,,三池浜の松,47.2.20,三宅村,三池浜
24,天然記念物,,ミヤケコゲラ,47.2.20,三宅村,三宅村一円
25,天然記念物,,オーストンヤマガラ,47.2.20,三宅村,三宅村一円
26,天然記念物,,タネコマドリ,47.2.20,三宅村,三宅村一円
27,天然記念物,,モスケミソサザイ,47.2.20,三宅村,三宅村一円
28,天然記念物,,ウチヤマセンニュウ,47.2.20,三宅村,三宅村一円
29,天然記念物,,シチトウメジロ,47.2.20,三宅村,三宅村一円
