,区分,神着,伊豆,伊ヶ谷,阿古,坪田,雄山,小計,御蔵島,合計
0,総数,38.0,14.0,4.0,62.0,54.0,0.0,172.0,33.0,205
1,飲食店営業（旅館・ホテル以外）,15.0,5.0,1.0,14.0,18.0,,53.0,5.0,58
2,飲食店営業（旅館・ホテル）,7.0,1.0,3.0,18.0,11.0,,40.0,11.0,51
3,菓子製造業,2.0,,,3.0,4.0,,9.0,2.0,11
4,乳類販売業,3.0,2.0,,5.0,3.0,,13.0,3.0,16
5,食肉販売業,3.0,1.0,,3.0,4.0,,11.0,2.0,13
6,魚介類販売業,2.0,1.0,,4.0,4.0,,11.0,3.0,14
7,食品の冷蔵業,,,,1.0,,,1.0,1.0,2
8,清涼飲料水製造業,,,,,,,,1.0,1
9,氷雪製造業,,,,,,,,1.0,1
10,氷雪販売業,,,,2.0,,,2.0,,2
11,魚介類せり売営業,,,,1.0,,,1.0,,1
12,豆腐製造業,,,,,1.0,,1.0,1.0,2
13,そうざい製造業,,,,1.0,2.0,,3.0,,3
14,粉末食品製造業,,1.0,,,,,1.0,,1
15,魚介類加工業,2.0,,,1.0,,,3.0,,3
16,食料品等販売業,4.0,1.0,,9.0,5.0,,19.0,2.0,21
17,給食施設（届出）,,2.0,,,2.0,,4.0,1.0,5
