,年度別,変革,発電設備（ｋＷ）,送電時間,備考
0,昭和4年7月,ディーゼル発電機１台新設,60,日没より日の出,三宅島電気（株）経営
1,16.9,三宅島各村組合にて買収,60,日没より５時間,三宅島各村組合経営
2,18.4,関東配電（株）と統合,60,日没より５時間,関東配電（株）経営
3,23.8,ディーゼル発電機取替,80,日没より５時間,
4,26.5,発電、配電統合により改組,80,日没より５時間,東京電力（株）と名称変更
5,28.8,ディーゼル発電機取替,120,日没より５時間,
6,31.8,ディーゼル発電機取替,240,日没より５時間,
7,32.1,早朝２時間追加送電,240,日没より５時間,左記に早朝２時間追加
8,33.1,ディーゼル発電機増設２４０ｋＷ,480,日没より５時間,左記に早朝２時間追加
9,33.12,昼夜送電実施,480,２４時間,
10,34.12,ディーゼル発電機増設２４０ｋＷ,720,２４時間,
11,40.12,ディーゼル発電機増設２４０ｋＷ,960,２４時間,
12,44.6,ディーゼル発電機増設４００ｋＷ,1360,２４時間,
13,46.6,ディーゼル発電機増設４００ｋＷ,1760,２４時間,
14,47.4,ディーゼル発電機撤去２４０ｋＷ,1520,２４時間,
15,48.4,ディーゼル発電機増設１０００ｋＷ,2520,２４時間,
16,48.4,ディーゼル発電機撤去２４０ｋＷ,2280,２４時間,
17,49.7,ディーゼル発電機増設１０００ｋＷ,3280,２４時間,
18,52.9,ディーゼル発電機増設１０００ｋＷ,4280,,
19,平成4.10,ディーゼル発電機撤去２４０ｋＷ×２,3800,２４時間,
