,名称,所在地,電話,臨時事務所連絡先（所在地）,臨時事務所連絡先（電話）
0,東京都三宅支庁総務課,東京都三宅島三宅村伊豆６４２,04994-2-1311,,
1,東京都三宅支庁産業課,東京都三宅島三宅村伊豆６４２,04994-2-1312,,
2,東京都三宅支庁土木港湾課,東京都三宅島三宅村伊豆６４２,04994-2-1313,,
3,東京都三宅島空港管理事務所,東京都三宅島三宅村坪田１３７８,04994-6-0203,,
4,東京都島しょ保健所三宅出張所,東京都三宅島三宅村伊豆１００４,04994-2-0181,,
5,東京都教育庁三宅出張所,東京都三宅島三宅村伊豆６４２,04994-2-0191,,
6,東京都島しょ農林水産総合センター三宅事業所,東京都三宅島三宅村坪田４３５７,04994-6-1414,,
7,東京都家畜保健衛生所三宅支所,東京都三宅島三宅村坪田４３５７,04994-6-1414,東京都立川市富士見町３－１９－４東京都畜産保健衛生所内,042-524-8001
8,東京都立三宅高等学校,東京都三宅島三宅村坪田４５８６,04994-6-1136,秋川分教場東京都あきる野市下代継２２１,042-558-0156
9,東京都島部海区漁業調整委員会三宅分室,東京都三宅島三宅村伊豆６４２,04994-2-1312（代）,,
10,警視庁三宅島警察署,東京都三宅島三宅村伊豆６４０,04994-2-0511,,
11,三宅勤労福祉会館,東京都三宅島三宅村神着１０６,04994-2-0680,,
12,三宅村役場,東京都三宅島三宅村坪田１７７４,,東京都三宅島三宅村阿古４９７,04994-5-0981
13,御蔵島村役場,東京都御蔵島村,04994-8-2121,,
14,東京法務局三宅島出張所,東京都三宅島三宅村神着２４０,04994-2-0063,東京都千代田区九段南１－１－１５九段第２合同庁舎内,03-5213-1329
15,気象庁三宅島測候所,東京都三宅島三宅村神着７４,04994-2-0019,,
16,下田海上保安部航行援助センター（旧三宅島航路標識事務所）,静岡県下田市３－１８－２３,0558-23-0145,,
17,三宅島郵便局,東京都三宅島三宅村神着２２２,04994-2-0001,,
18,坪田郵便局,東京都三宅島三宅村坪田３０４９－１,04994-6-0001,,
19,三宅島阿古郵便局,東京都三宅島三宅村阿古７００－６,04994-5-0001,,
20,三宅島伊豆郵便局,東京都三宅島三宅村伊豆１０１６,04994-2-0018,東京都三宅島三宅村神着２２２,04994-2-0001
21,三宅島伊ヶ谷郵便局,東京都三宅島三宅村伊ヶ谷４３２,04994-2-0151,,
22,御蔵島郵便局,東京都御蔵島村,04994-8-2201,,
23,ＮＴＴ三宅営業所,東京都三宅島三宅村伊豆６２７－１,04994-2-0710,,
24,東京島しょ農業協同組合三宅島支店,東京都三宅島三宅村神着３１３－１,04994-2-0003,,
25,御蔵島村農業協同組合,東京都御蔵島村,04994-8-2212,,
26,三宅村森林組合,東京都三宅島三宅村阿古４９７（三宅村役場産業振興課内）,04994-5-0899,,
27,三宅島漁業協同組合,東京都三宅島三宅村阿古６８０,04994-5-0011,,
28,御蔵島村漁業協同組合,東京都御蔵島村,04994-8-2151,,
29,東京電力株式会社東京支店三宅島事務所,東京都三宅島三宅村伊豆９９１,04994-2-0711,,
30,株式会社みずほ銀行東京中央支店三宅島出張所,東京都三宅島三宅村伊豆６４２,04994-2-0787,,
31,七島信用組合三宅島支店,東京都三宅島三宅村神着２３９－１,04994-2-0081,,
32,東海汽船株式会社三宅島支店,東京都三宅島三宅村阿古６７２－３,04994-5-0221,,
33,三宅島観光協会,東京都三宅島三宅村坪田１３６２,,東京都三宅島三宅村阿古６８０－３,04994-5-1144
34,三宅村商工会,東京都三宅島三宅村坪田１２７１－１,,東京都三宅島三宅村神着８９４,04994-2-1381
35,三宅村シルバー人材センター,東京都三宅島三宅村坪田３０５０,04994-6-1244,,
36,三宅島あじさいの会,東京都三宅島三宅村坪田３０５３,04994-6-1288,,
37,三宅島社会福祉協議会,東京都三宅島三宅村阿古４９７（三宅村役場臨時庁舎内）,04994-5-7051,,
