,要素１,要素２,1,2,3,4,5,6,7,8,9,10,11,12,年
0,平均気温℃,東京,5.6,7.2,10.6,13.6,20.0,21.8,24.1,28.4,25.1,19.4,13.1,8.5,16.5
1,平均気温℃,大島,8.5,9.4,11.7,14.0,19.1,21.3,23.8,27.3,24.8,20.3,15,11.7,17.2
2,平均気温℃,三宅島,10.8,12.0,13.4,15.4,20.0,22.4,25.0,27.6,25.9,22.5,17.7,14.3,18.9
3,平均気温℃,八丈島,10.5,12.3,13.4,15.2,19.1,21.7,25.0,27.2,25.6,22.4,17.8,14.4,18.7
4,降水量ｍｍ,東京,16.0,42.0,117.5,90.5,120.5,225.0,193.0,110.0,197.0,529.5,156.5,76.5,1874.0
5,降水量ｍｍ,大島,34.5,97.0,237.5,230.5,233.0,645.5,447.0,116.0,463.0,939.0),296,151.5,3890.5
6,降水量ｍｍ,三宅島,49.0,190.0,313.0,384.5,225.5,482.5,647.0,60.5,399.0,758,356,259,4124.0
7,降水量ｍｍ,八丈島,170.0,263.5,352.5,238.0,274.5,322.0,763.0,34.0,553.5,771,342.5,256,4340.5
8,日照時間ｈ,東京,222.2,138.0,177.3,194.4,229.4,129.5,81.1,187.8,137.6,112.8,170.3,128.6),1909.0
9,日照時間ｈ,大島,154.2,94.1,173.0,179.9,222.1,148.1,72.6,186.4,156.8,110.7,159,120.7,1777.6
10,日照時間ｈ,三宅島,117.6,73.0,133.3,163.7,200.2,127.1,107.5,237.4,149.3,85.7,104.2,73.9,1572.9
11,日照時間ｈ,八丈島,76.9,82.7,112.3,145.5,185.5,116.1,105.3,194.2,137.4,96.2,98.5),88.4,1439.0
12,平均風速ｍ／ｓ,東京,2.8,2.7,3.0,3.3,3.3,2.9,2.6,3.2,2.7,2.8,2.6,2.4,2.9
13,平均風速ｍ／ｓ,大島,5.4,4.8,5.7,4.7,4.2,4.7,4.6,4.7,4.8,5.4,5.2,4.8,4.9
14,平均風速ｍ／ｓ,三宅島,6.7,6.0,6.3,5.6,4.4,5.1,4.8,4.2,5.6,6.6,6,6.1,5.6
15,平均風速ｍ／ｓ,八丈島,5.1,4.7,4.8,4.6,4.0,4.4,4.1,3.9,5.4,5.7,4.6),4.3,4.6
16,平均湿度％,東京,51.0,59.0,60.0,63.0,65.0,81.0,89.0,80.0,79.0,80,69,66,70.0
17,平均湿度％,大島,60.0,71.0,69.0,73.0,77.0,87.0,93.0,89.0,84.0,84,75,75,78.0
18,平均湿度％,三宅島,64.0,74.0,73.0,74.0,76.0,87.0,93.0,90.0,86.0,83,77,76,79.0
19,平均湿度％,八丈島,68.0,76.0,73.0,78.0,81.0,90.0,95.0,89.0,90.0,86,80,77,82.0
