,年次（年）,村別（村）,総人口（人）,就業者総数（人）,就業者総数分類不能の産業（人）,第一次産業（人）,第二次産業（人）,第三次産業（人）,完全失業人口（人）
0,30,三宅村,"7,131",3396,,"2,335",181,880,61
1,30,御蔵島,337,139,,64,11,64,0
2,40,三宅村,"5,629",2246,,849,460,937,23
3,40,御蔵島,243,121,,2,65,54,0
4,45,三宅村,"4,857",2184,7,654,343,"1,180",42
5,45,御蔵島,203,109,,1,39,69,0
6,50,三宅村,"4,631",2186,12,459,369,"1,346",42
7,50,御蔵島,177,102,,6,35,61,1
8,55,三宅村,"4,228",2115,,349,388,"1,378",41
9,55,御蔵島,225,132,,22,49,61,2
10,60,三宅村,"4,167",2155,1,307,501,"1,346",23
11,60,御蔵島,260,133,,16,38,78,4
12,2,三宅村,"3,911",1993,1,324,387,"1,281",21
13,2,御蔵島,293,162,,4,69,89,3
14,7,三宅村,"3,828",2042,10,305,440,"1,287",37
15,7,御蔵島,275,167,,0,66,101,1
16,12,三宅村,－,－,－,－,－,－,－
17,12,御蔵島,308,181,,20,66,95,0
18,17,三宅村,"2,439",1289,3,80,320,886,80
19,17,御蔵島,292,184,,3,46,135,0
20,22,三宅村,"2,676",1499,40,105,317,"1,037",42
21,22,御蔵島,348,234,10,6,69,149,0
22,27,三宅村,"2,482",1413,17,100,282,"1,014",34
23,27,御蔵島,335,217,,4,51,162,0
