,税目１,税目２,調定額現年課税分（円）,調定額件数（件）,調定額滞納繰越分（円）,調定額件数（件）.1,収入額現年課税分（円）,収入額件数（件）,収入額滞納繰越分（円）,収入額件数（件）.1,収入歩合現年（％）,収入歩合滞納（％）
0,都民税,個人,113865684,2777,3316616,640,111353862,2659,2273472.0,153,97.8,68.5
1,都民税,法人,4202000,122,10000,1,4202000,122,10000.0,1,100,100
2,都民税,小計,118067684,2899,3326616,641,115555862,2781,2283472.0,154,97.9,68.6
3,事業税,個人,2204200,40,0,0,2204200,40,0.0,0,100,- 
4,事業税,法人,15548500,34,0,0,15548500,34,0.0,0,100,-
5,事業税,小計,17752700,74,0,0,17752700,74,0.0,0,100,- 
6,不動産取得税,,2457900,41,74400,2,2457900,41,28.9,1,100,38.8
7,自動車税,,1935000,46,159002,4,1935000,46,0.0,0,100,- 
8,軽油引取税,,0,0,0,0,0,0,0.0,0,-,-
9,狩猟税,,27500,3,0,0,27500,3,0.0,0,100,-
10,合計,,140240784,3063,3560018,647,137728962,2945,2312372.0,155,98.2,65
