,科目,01決算額（千円）,01構成比（％）,30決算額（千円）,30構成比（％）,対前年度増減額01（千円）,増減率01（％）
0,議会費,52740,1.3,50057,1.1,2683,5.4
1,総務費,677630,16.4,1013309,22.4,"△335,679",△33.1
2,民生費,484124,11.7,650037,14.4,"△165,913",△25.5
3,衛生費,822586,20.0,1037846,22.9,"△215,260",△20.7
4,労働費,53245,1.3,44772,1.0,8473,18.9
5,農林水産業費,208236,5.1,157297,3.5,50939,32.4
6,商工費,253293,6.1,282064,6.2,"△28,771",△10.2
7,土木費,511420,12.4,423003,9.4,88417,20.9
8,消防費,323817,7.9,300398,6.6,23419,7.8
9,教育費,369230,9.0,318322,7.0,50908,16
10,災害復旧費,81089,2.0,8834,0.2,72255,817.9
11,公債費,242263,5.9,201852,4.5,40411,20
12,諸支出金,36900,0.9,37480,0.8,△580,△1.5
13,合計,4116573,100.0,4525271,100.0,"△408,698",△9.0
