,補助単独別,事業名,事業量,事業費（千円）,財源内訳国庫支出金（千円）,財源内訳都支出金（千円）,財源内訳地方債（千円）,財源内訳その他（千円）,財源内訳一般財源（千円）
0,単独,職員住宅整備事業,職員住宅新築工事、職員住宅ドア改修工事,"43,521",,,"29,000",,"14,521"
1,単独,情報通信基盤施設整備事業,光ケーブル敷設工事、地上デジタル放送設備追加作業工事　ほか,"17,050",,"13,000",,"2,435","1,615"
2,単独,友好町村親善事業,三七山スポーツ公園基本設計　,"5,172",,"4,800",,,372
3,単独,三宅村老人福祉館,伊豆ゲートボール場改修工事,"11,068",,,"10,200",,868
4,単独,保育所運営,みやけ保育園屋上防水補修塗装工事、エアコン取替等電気工事　ほか,"2,641",,"2,500",,,141
5,単独,児童遊園管理,児童公園遊具設置工事、児童遊園フェンス取替工事　ほか,"6,742",,"6,177",,,565
6,単独,火葬場新設整備事業,火葬場新設整備工事（繰越）,"259,085",,,"247,900",,"11,185"
7,単独,クリーンセンター施設整備事業,クリーンセンター施設設備整備工事、緊急整備工事　ほか,"71,643",,"70,761",,,882
8,単独,汚泥再生処理センター管理,汚泥再生処理センター設備保全管理、破砕装置点検整備工事　ほか,"13,515",,"13,158",,,357
9,単独,八重間ストックマネジメント事業,八重間地区農業水利施設整備,"34,969",,"34,469",,,500
10,単独,水産業施設整備事業,阿古魚箱倉庫改修工事、漁業振興施設整備　ほか,"27,440",,"26,245",,,"1,195"
11,単独,観光振興施設整備事業,ジオスポット看板改修作業委託、ふるさと体験ビレッジ給水ポンプ取替工事　ほか,"22,879",,"18,654",,"2,481","1,744"
12,補助,村営住宅改修事業,清水ヶ原第四団地改修工事、下錆第六団地・二島第一団地改修工事,"74,662",16403.0,"55,000",,,"3,259"
13,単独,残土処分場新設整備事業,新残土処分場建設に伴う用地測量、油圧ショベル購入　ほか,"234,176",,,,"163,185","70,991"
14,単独,村道整備事業,村道大崎線落石防護柵取替工事、村道赤沢線舗装補修工事　ほか,"70,217",,"8,400","56,900",,"4,917"
15,単独,村営住宅改修事業,住宅内装補修、床改修工事　ほか,"22,666",,"22,000",,,666
16,単独,消防施設環境整備,詰所シャッター修繕、詰所屋根防水工事　ほか,"5,988",,"5,000",,,988
17,単独,災害対策事業費,二酸化硫黄濃度常時観測システム改修作業、噴石シェルター設置工事　ほか,"26,136",,"13,016","5,400",,"7,720"
18,単独,防災行政無線デジタル化整備,防災行政無線デジタル化整備工事、工事監理業務委託,"88,359",,,"84,600",,"3,759"
19,単独,小中学校体育館空調設置事業,小中学校体育館空調設置工事,"89,945",,"86,100",,,"3,845"
20,単独,小学校施設整備事業,三宅小学校ブロック塀補修工事、小学校5・6年生教室空調機取替工事　ほか,"6,643",,"5,644",,,999
21,単独,中学校施設整備事業,三宅中学校グラウンド改修工事、中学校理科室空調機入替工事　ほか,"37,207",,"4,200","29,900",,"3,107"
22,単独,社会教育施設整備事業,三宅村文化会館駐車場転落防護柵改修工事、引割緞帳補修及びサスペンションライト移設工事　ほか,"4,132",,"3,414",,,718
