,島名,事業項目,事業細目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,02年度予算事業費（千円）,02年度予算国費（千円）,02年度予算都費（千円）,02年度予算町村費（千円）,02年度予算その他（千円）,事業概要,備考整備計画名
0,三宅島,治山,－,復旧治山,阿古,阿古,都,H29,R2,241734.0,132953.0,72728.0,40000.0,32728.0,0.0,0.0,,産業労働局
1,三宅島,治山,－,復旧治山,金曽沢,坪田,都,R2,R3,145000.0,79750.0,32000.0,17600.0,14400.0,0.0,0.0,,
2,三宅島,治山,治山計,,,,,,,386734.0,212703.0,104728.0,57600.0,47128.0,0.0,0.0,,
3,三宅島,港湾,－,地方港湾,三池港,三宅村沖ヶ平,都,S55,R8,18981334.0,11439388.0,777400.0,621920.0,155480.0,0.0,0.0,防波堤,港湾局
4,三宅島,農業農村整備,－,農村地域防災減災事業,三宅島,三宅村阿古・伊豆,村,R2,R2,2893.0,2893.0,2893.0,2893.0,0.0,0.0,0.0,浸水想定図作成,
5,三宅島,水産基盤,漁港,水産生産,阿古漁港,三宅村阿古,都,H24,R8,8051505.0,6111986.0,367000.0,254000.0,113000.0,,,岸壁（改良）　等,港湾局
6,三宅島,水産基盤,漁港,水産生産,伊ヶ谷漁港,三宅村伊ヶ谷,都,H14,R1,8490697.0,5884736.0,534000.0,301400.0,232600.0,,,岸壁　等,港湾局
7,三宅島,水産基盤,水産基盤計,,,,,,,16542202.0,11996722.0,901000.0,555400.0,345600.0,0.0,0.0,,
8,三宅島,廃棄物処理,循環型社会形成推進交付金,浄化槽設置整備,三宅村,三宅村内,村,R2,R6,4500.0,2250.0,1800.0,900.0,450.0,450.0,0.0,浄化槽設置事業,環境局
9,三宅島,社会資本整備総合交付金,道路,都道,三宅循環線,三宅村坪田,都,H22,R3,1681000.0,840500.0,0.0,0.0,0.0,0.0,0.0,現道拡幅,建設局
10,三宅島,社会資本整備総合交付金,道路,都道,三宅循環線,三宅村坪田,都,H25,R3,1759000.0,879500.0,0.0,0.0,0.0,0.0,0.0,バイパス,建設局
11,三宅島,社会資本整備総合交付金,道路,都道,三宅循環線,三宅村伊ヶ谷,都,H27,R5,1265000.0,632500.0,0.0,0.0,0.0,0.0,0.0,現道拡幅,建設局
12,三宅島,社会資本整備総合交付金,道路,都道,三宅循環線,三宅村伊ヶ谷,都,R2,R12,7961000.0,3980500.0,0.0,0.0,0.0,0.0,0.0,現道拡幅,建設局
13,三宅島,社会資本整備総合交付金,港湾,地方港湾,三池港,三宅村沖ヶ平,都,R2,R7,2348000.0,1191000.0,0.0,0.0,0.0,0.0,0.0,駐車場等,
14,三宅島,社会資本整備総合交付金,社会資本整備総合交付金計,,,,,,,15014000.0,7524000.0,0.0,0.0,0.0,0.0,0.0,,
15,三宅島,防災・安全交付金,港湾,港湾改修,三池港,三宅村沖ヶ平,都,H24,R7,869584.0,434792.0,0.0,0.0,0.0,0.0,0.0,防波堤（改良）,港湾局
16,三宅島,防災・安全交付金,砂防,火山砂防事業,西川西支川,三宅村伊豆,都,H26,R4,110000.0,60500.0,10000.0,5500.0,4500.0,0.0,0.0,砂防堰堤,建設局
17,三宅島,防災・安全交付金,砂防,火山砂防事業,長沢,三宅村伊ヶ谷,都,H28,R5,530000.0,291500.0,55000.0,30250.0,24750.0,0.0,0.0,砂防堰堤,建設局
18,三宅島,防災・安全交付金,砂防,火山砂防事業,とんび沢南支川,三宅村坪田,都,R2,R6,275000.0,151250.0,0.0,0.0,0.0,0.0,0.0,用地買収,建設局
19,三宅島,防災・安全交付金,砂防,火山砂防事業,筑穴ヶ沢,三宅村坪田,都,H13,R6,2602000.0,1431100.0,20000.0,11000.0,9000.0,0.0,0.0,,建設局
