,島名,事業項目,箇所名,施行地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,02年度予算当初事業費（千円）,02年度予算当初国費（千円）,02年度予算当初都費（千円）,02年度予算当初町村費（千円）,02年度予算当初その他費（千円）,備考事業概要,所感局
0,三宅島,特定有人国境離島地域社会維持推進交付金,三宅島,三宅島全域,村,H30,,,,11940.0,5970.0,0.0,2985.0,2985.0,雇用機会拡充事業,
1,三宅島,特定有人国境離島地域社会維持推進交付金,三宅島,三宅島全域,村,H30,,,,2998.0,1648.0,0.0,1350.0,0.0,滞在型観光事業,
2,三宅島,特定有人国境離島地域社会維持推進交付金,離島活性化交付金（流通効率化事業含む）計,,,,,0.0,0.0,14938.0,7618.0,0.0,4335.0,,,
3,三宅島,離島漁業再生支援交付金,三宅村,三宅島全域,村,R2,R6,24400.0,12200.0,4880.0,2440.0,1220.0,1220.0,,漁業の精算力向上に係る取組、漁業の再生に関する実践的な取組,産業労働局
4,三宅島,へき地児童生徒援助費補助金,高度へき地修学旅行費,三宅村,村,R2,R2,1709.0,970.0,1709.0,970.0,,739.0,,児童生徒の修学旅行に要する経費を一部負担。年度単位で実施,教育庁
5,三宅島,その他（消防）,三宅村,阿古,村,R2,R2,8555.0,1927.0,0.0,,,,,防火水槽（林野）40?級現場打ちRC有蓋,総合防災部
6,三宅島,その他（消防）,三宅村,阿古,村,R2,R2,8555.0,1927.0,0.0,,,,,防火水槽（林野）41?級現場打ちRC有蓋,総合防災部
7,三宅島,その他（消防）,三宅村,阿古,村,R2,R2,8555.0,1927.0,0.0,,,,,防火水槽（林野）42?級現場打ちRC有蓋,総合防災部
8,三宅島,その他（消防）,へき地児童生徒援助費補助金計,,,,,25665.0,5781.0,0.0,0.0,0.0,0.0,0.0,,
9,三宅島,その他（生活基盤施設耐震化等交付金）,水道施設等耐震化事業・生活基盤近代化事業・基幹改良,三宅村,村,H26,R5,518460.0,129258.0,54370.0,13720.0,25259.0,15391.0,0.0,配水管整備事業,福祉保健局
10,三宅島,その他（生活基盤施設耐震化等交付金）,水道施設等耐震化事業・生活基盤近代化事業・基幹改良,三宅村,村,H30,R2,470491.0,122696.0,217993.0,56851.0,104659.0,56483.0,0.0,監視システム整備,福祉保健局
11,三宅島,その他（生活基盤施設耐震化等交付金）,生活基盤施設耐震化等交付金計,,,,,988951.0,251954.0,272363.0,70571.0,129918.0,71874.0,0.0,,
12,三宅島,三宅島計,,,,,,1040725.0,270905.0,293890.0,81599.0,131138.0,78168.0,0.0,,
13,御蔵島,離島漁業再生支援交付金,御蔵島村,御蔵島全域,村,R2,R6,16800.0,8400.0,3360.0,1680.0,840.0,840.0,,漁業の精算力向上に係る取組、漁業の再生に関する実践的な取組,産業労働局
14,御蔵島,へき地児童生徒援助費補助金,高度へき地修学旅行費,御蔵島村,村,R2,R2,400.0,266.0,400.0,266.0,,134.0,,児童生徒の修学旅行に要する経費を一部負担。年度単位で実施,教育庁
15,御蔵島,御蔵島計,,,,,,17200.0,8666.0,3760.0,1946.0,840.0,974.0,0.0,,
16,三宅支庁管内計,,,,,,,1057925.0,279571.0,297650.0,83545.0,131978.0,79142.0,0.0,,
17,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
