,事業区分,29年度施工箇所,29年度数量,29年度工事費（千円）,30年度施工箇所,30年度数量,30年度工事費（千円）,元年度施工箇所,元年度数量,元年度工事費（千円）
0,復旧治山,三宅村（阿古）,法面工（684ｍ2）,55232.0,三宅村（阿古）,法面工（900ｍ2）,71775,三宅村（阿古）,法面工（490ｍ2）,45603.0
1,復旧治山,御蔵島村（卯辰川）,鋼製谷止工（2基）,53503.0,御蔵島村（卯辰川）,鋼製谷止工（1基）,33934,,,
2,都単林地荒廃復旧,三宅村（金曽）,山腹基礎工山腹緑化工,46753.0,三宅村（角屋敷沢）,谷止工（1基）,67217,三宅村（大久保）,流路浚渫等（1式）,483.0
3,都単林地荒廃復旧,三宅村（三池）,法面工（112ｍ2）,11621.0,三宅村（榎木沢）,流路浚渫（1式）,7111,,,
4,都単林地荒廃復旧,三宅村（角屋敷沢）,谷止工（1基）,65790.0,三宅村（伊ヶ谷）,堰堤補修（1基）,5594,,,
5,都単委託（災害）,三宅村（金曽沢）,測量・設計,7452.0,三宅村（卯辰川）,測量・設計,5724,御蔵島村（卯辰川）,測量・設計,2398.0
6,都単委託（災害）,三宅村（金曽）,緑化試験区,1264.0,三宅村（金曽）,測量・設計,3240,御蔵島村（卯辰川）,全体計画作成,11220.0
7,都単委託（災害）,三宅村（阿古）,機能強化,3672.0,三宅村（金曽）,緑化試験区,1382,三宅村（島内一円）,機能強化強化,4400.0
8,都単委託（災害）,三宅支庁,山地災害危険地区システムデータ整理,972.0,三宅村（阿古）,機能強化,4320,三宅村（島内一円）,機能強化強化,4180.0
9,都単委託（災害）,三宅村（伊豆）,支障木処理作業,999.0,三宅支庁,建設資材価格調査,166,三宅支庁,建設資材価格調査,132.0
10,都単委託（災害）,,,,三宅支庁,建設資材調査委託,125,,,
