,種別１,種別２,27,28,29,30,元
0,さば,漁獲量（ｋｇ）,"3,089","2,610","1,775",789,278
1,さば,金額（千円）,724,867,583,314,91
2,とびうお,漁獲量（ｋｇ）,"1,709","3,705",716,"2,143","1,636"
3,とびうお,金額（千円）,777,"1,459",459,"1,103",800
4,むろあじ,漁獲量（ｋｇ）,"13,207","16,747","6,743","1,530",61
5,むろあじ,金額（千円）,"3,292","4,318","1,789",416,17
6,まあじ,漁獲量（ｋｇ）,89,137,1,0,0
7,まあじ,金額（千円）,31,41,0,0,0
8,しまあじ,漁獲量（ｋｇ）,949,"1,047",385,573,411
9,しまあじ,金額（千円）,"3,565","3,155",961,"1,484","1,359"
10,たかべ,漁獲量（ｋｇ）,977,"5,500",936,"2,422",610
11,たかべ,金額（千円）,"1,211","5,589","1,212","2,936",999
12,いさき,漁獲量（ｋｇ）,131,46,285,14,71
13,いさき,金額（千円）,132,50,282,13,65
14,かつお類,漁獲量（ｋｇ）,"9,625","21,130","8,811","22,276","38,354"
15,かつお類,金額（千円）,"6,346","13,813","5,802","11,552","24,291"
16,まぐろ類,漁獲量（ｋｇ）,"46,236","34,021","32,399","85,738","113,779"
17,まぐろ類,金額（千円）,"67,685","56,300","41,059","97,821","118,465"
18,かじき類,漁獲量（ｋｇ）,"1,097","3,852","2,134","3,102","7,551"
19,かじき類,金額（千円）,"1,065","4,381","2,040","3,213","7,124"
20,きんめだい,漁獲量（ｋｇ）,"56,096","77,146","95,100","114,605","104,876"
21,きんめだい,金額（千円）,"83,012","115,870","129,708","155,151","151,164"
22,ひめだい,漁獲量（ｋｇ）,282,501,332,122,84
23,ひめだい,金額（千円）,263,513,312,157,81
24,はまだい,漁獲量（ｋｇ）,122,55,8,106,6
25,はまだい,金額（千円）,243,101,12,182,14
26,あおだい,漁獲量（ｋｇ）,"3,878","3,341","2,448","1,391",624
27,あおだい,金額（千円）,"4,323","4,057","2,967","1,941",810
28,めだい,漁獲量（ｋｇ）,"10,961","20,921","20,090","20,586","7,142"
29,めだい,金額（千円）,"7,527","14,321","14,013","15,505","5,378"
30,あこうだい,漁獲量（ｋｇ）,125,328,315,544,547
31,あこうだい,金額（千円）,192,527,485,"1,057","1,272"
32,むつ,漁獲量（ｋｇ）,"1,207",761,"1,524","2,006","2,772"
33,むつ,金額（千円）,958,909,"2,772","3,313","6,121"
34,まだい,漁獲量（ｋｇ）,281,252,97,27,29
35,まだい,金額（千円）,238,175,65,18,24
36,ひらまさ,漁獲量（ｋｇ）,"1,365","1,228","2,256",871,401
37,ひらまさ,金額（千円）,909,779,"1,911",560,274
38,かんぱち,漁獲量（ｋｇ）,"3,950",967,"2,790","6,396","4,882"
39,かんぱち,金額（千円）,"3,026",997,"1,979","7,054","5,923"
40,さわら,漁獲量（ｋｇ）,432,430,"1,181",996,894
41,さわら,金額（千円）,213,180,453,392,347
42,さめ類,漁獲量（ｋｇ）,0,0,0,0,6
43,さめ類,金額（千円）,0,0,0,0,1
44,ぶり類,漁獲量（ｋｇ）,392,43,41,20,1
45,ぶり類,金額（千円）,210,16,22,8,0
46,ひらめ,漁獲量（ｋｇ）,36,12,14,8,8
47,ひらめ,金額（千円）,36,12,14,14,16
48,ぼら類,漁獲量（ｋｇ）,0,0,0,2,0
49,ぼら類,金額（千円）,0,0,0,0,0
50,その他の魚類,漁獲量（ｋｇ）,"7,308","8,330","8,806","7,957","7,034"
51,その他の魚類,金額（千円）,"5,816","8,673","8,063","8,430","7,970"
52,魚類計,漁獲量（ｋｇ）,"163,545","203,110","189,186","274,224","292,210"
53,魚類計,金額（千円）,"191,793","237,103","216,965","312,634","332,576"
54,かめ,漁獲量（ｋｇ）,0,0,0,0,0
55,かめ,金額（千円）,0,0,0,0,0
56,いか類,漁獲量（ｋｇ）,"2,715","1,167","1,961",794,"1,109"
57,いか類,金額（千円）,"4,458","2,236","3,606","1,094","2,023"
58,いせえび,漁獲量（ｋｇ）,"1,322","1,812","1,158","1,150",939
59,いせえび,金額（千円）,"7,022","9,494","6,713","6,534","5,467"
60,とこぶし,漁獲量（ｋｇ）,305,447,606,541,367
61,とこぶし,金額（千円）,"1,128","1,645","2,247","2,003","1,356"
62,その他,漁獲量（ｋｇ）,"1,297",777,900,514,321
63,その他,金額（千円）,"1,725","1,166","1,244",773,515
64,水生動物計,漁獲量（ｋｇ）,"5,639","4,203","4,625","2,999","2,736"
65,水生動物計,金額（千円）,"14,333","14,541","13,811","10,404","9,361"
66,てんぐさ,漁獲量（ｋｇ）,"12,536","18,160","17,007","7,162","1,312"
67,てんぐさ,金額（千円）,"7,940","16,083","15,211","6,359","1,220"
68,とさかのり,漁獲量（ｋｇ）,149,0,0,0,0
69,とさかのり,金額（千円）,328,0,0,0,0
70,※その他の藻類,漁獲量（ｋｇ）,289,227,146,437,170
71,※その他の藻類,金額（千円）,571,594,651,"1,387",761
72,藻類計,漁獲量（ｋｇ）,"12,974","18,387","17,153","7,599","1,482"
73,藻類計,金額（千円）,"8,839","16,677","15,862","7,746","1,981"
74,合計,漁獲量（ｋｇ）,"182,158","225,700","210,964","284,822","296,428"
75,合計,金額（千円）,"214,964","268,322","246,638","330,784","343,918"
