,年月,三宅島東京⇒三宅入（人）,三宅島東京⇒三宅出（人）,三宅島東京⇒三宅予定（日）,三宅島東京⇒三宅実績（日）,三宅島東京⇒三宅就航率（％）,三宅島三宅⇒東京入（人）,三宅島三宅⇒東京出（人）,三宅島三宅⇒東京予定（日）,三宅島三宅⇒東京実績（日）,三宅島三宅⇒東京就航率（％）,三宅島合計入（人）,三宅島合計出（人）
0,4,"2,715",144,30,29,97,289,"1,883",30,30,100,"3,004","2,027"
1,5,"3,352",160,31,30,97,260,"3,145",31,30,97,"3,612","3,305"
2,6,"2,307",180,30,28,93,142,"1,886",30,26,87,"2,449","2,066"
3,7,"3,327",124,31,30,97,241,"2,816",31,31,100,"3,568","2,940"
4,8,"4,103",258,31,27,87,196,"3,752",31,26,84,"4,299","4,010"
5,9,"2,753",151,30,28,93,221,"2,467",30,26,87,"2,974","2,618"
6,10,"1,915",131,31,26,84,177,"1,580",31,26,84,"2,092","1,711"
7,11,"2,964",103,30,30,100,120,"2,477",30,27,90,"3,084","2,580"
8,12,"2,214",65,31,29,94,67,"1,700",31,29,94,"2,281","1,765"
9,1,"1,606",62,31,23,74,168,"1,363",31,23,74,"1,774","1,425"
10,2,"1,621",50,29,27,93,102,"1,088",29,24,83,"1,723","1,138"
11,3,"1,442",65,31,28,90,78,"1,140",31,25,81,"1,520","1,205"
12,計,"30,319","1,493",366,335,92,"2,061","25,297",366,323,88,"32,380","26,790"
13,31,"30,319","1,493",366,335,92,"2,061","25,297",366,323,88,"32,380","26,790"
14,30,"31,738","1,281",365,343,94,"1,833","26,248",365,333,91,"33,571","27,529"
15,29,"31,613","1,481",365,335,92,"2,190","25,879",365,324,89,"33,803","27,360"
16,28,"32,309","1,633",365,339,93,"2,092","26,328",365,321,88,"34,401","27,961"
17,27,"34,025","1,436",366,345,94,"1,833","27,748",366,331,90,"35,858","29,184"
18,26,"33,095","1,446",365,339,93,"1,811","27,120",365,324,89,"34,906","28,566"
19,25,"37,158","1,278",365,340,93,"1,626","33,350",365,317,87,"38,784","34,628"
