,区分,神着（箇所）,伊豆（箇所）,伊ヶ谷（箇所）,阿古（箇所）,坪田（箇所）,小計（箇所）,御蔵島（箇所）,合計（箇所）
0,総数,51.0,20.0,4.0,70.0,43.0,188.0,38.0,226.0
1,飲食店営業（旅館・ホテル以外）,13.0,6.0,1.0,21.0,14.0,55.0,8.0,63.0
2,飲食店営業（旅館・ホテル）,7.0,1.0,2.0,17.0,10.0,37.0,8.0,45.0
3,喫茶店営業,1.0,,,1.0,,2.0,,2.0
4,菓子製造業,3.0,2.0,,5.0,3.0,13.0,5.0,18.0
5,乳類販売業,4.0,1.0,,4.0,4.0,13.0,3.0,16.0
6,食肉販売業,4.0,1.0,,4.0,3.0,12.0,2.0,14.0
7,魚介類販売業,3.0,1.0,,6.0,3.0,13.0,3.0,16.0
8,魚介類せり売営業,,,,,,,,
9,食品の冷蔵業,,,,,,,1.0,1.0
10,清涼飲料水製造業,,,,,,,1.0,1.0
11,氷雪製造業,,,,,,,1.0,1.0
12,氷雪販売業,,,,2.0,,2.0,,2.0
13,酒類製造業,1.0,,,,,1.0,,1.0
14,そうざい製造業,2.0,1.0,,3.0,,6.0,,6.0
15,製菓材料等製造業,,,,,,,,
16,粉末食品製造業,,2.0,,,,2.0,1.0,3.0
17,調味料等製造業,1.0,1.0,,,,2.0,,2.0
18,魚介類加工業,3.0,1.0,,,,4.0,1.0,5.0
19,食料品等販売業,5.0,1.0,1.0,7.0,4.0,18.0,2.0,20.0
20,卵選別包装業,4.0,,,,,4.0,,4.0
21,給食施設（届出）,,2.0,,,2.0,4.0,2.0,6.0
