,年次,単独（％）,総数（％）,夫婦のみ（％）,夫婦と子（％）,ひとり親と子（％）,その他（％）
0,平成２２（２０１０）年,32.4,56.5,19.8,27.9,8.7,11.1
1,平成２３（２０１１）年,32.5,56.6,19.9,27.8,8.9,10.9
2,平成２４（２０１２）年,32.7,56.7,20.1,27.6,9.0,10.6
3,平成２５（２０１３）年,32.9,56.8,20.3,27.4,9.2,10.3
4,平成２６（２０１４）年,33.1,56.9,20.4,27.2,9.3,10.0
5,平成２７（２０１５）年,33.3,56.9,20.5,27.0,9.4,9.7
6,平成２８（２０１６）年,33.5,56.9,20.6,26.8,9.5,9.5
7,平成２９（２０１７）年,33.8,56.9,20.6,26.6,9.7,9.3
8,平成３０（２０１８）年,34.0,56.9,20.7,26.4,9.8,9.1
9,平成３１（２０１９）年,34.2,56.9,20.7,26.2,9.9,8.9
10,平成３２（２０２０）年,34.4,56.9,20.8,26.0,10.1,8.7
11,平成３３（２０２１）年,34.7,56.8,20.8,25.9,10.2,8.5
12,平成３４（２０２２）年,34.9,56.8,20.8,25.7,10.3,8.3
13,平成３５（２０２３）年,35.1,56.7,20.8,25.4,10.4,8.2
14,平成３６（２０２４）年,35.4,56.6,20.9,25.2,10.5,8.0
15,平成３７（２０２５）年,35.6,56.6,20.9,25.0,10.6,7.9
16,平成３８（２０２６）年,35.7,56.5,20.9,24.9,10.7,7.8
17,平成３９（２０２７）年,35.9,56.4,20.9,24.7,10.8,7.7
18,平成４０（２０２８）年,36.1,56.3,21.0,24.5,10.9,7.5
19,平成４１（２０２９）年,36.3,56.2,21.0,24.3,11.0,7.4
20,平成４２（２０３０）年,36.5,56.2,21.0,24.1,11.0,7.3
21,平成４３（２０３１）年,36.7,56.1,21.1,23.9,11.0,7.2
22,平成４４（２０３２）年,36.8,56.0,21.1,23.8,11.1,7.1
23,平成４５（２０３３）年,37.0,56.0,21.1,23.6,11.2,7.1
24,平成４６（２０３４）年,37.1,55.9,21.2,23.4,11.3,7.0
25,平成４７（２０３５）年,37.2,55.9,21.2,23.3,11.4,6.9
