,都道府県,出生率
0,北海道,1.31
1,青森県,1.43
2,岩手県,1.49
3,宮城県,1.36
4,秋田県,1.35
5,山形県,1.48
6,福島県,1.58
7,茨城県,1.48
8,栃木県,1.49
9,群馬県,1.49
10,埼玉県,1.39
11,千葉県,1.38
12,東京都,1.24
13,神奈川県,1.39
14,新潟県,1.44
15,富山県,1.51
16,石川県,1.54
17,福井県,1.63
18,山梨県,1.51
19,長野県,1.58
20,岐阜県,1.56
21,静岡県,1.54
22,愛知県,1.57
23,三重県,1.56
24,滋賀県,1.61
25,京都府,1.35
26,大阪府,1.39
27,兵庫県,1.48
28,奈良県,1.38
29,和歌山県,1.54
30,鳥取県,1.65
31,島根県,1.78
32,岡山県,1.54
33,広島県,1.6
34,山口県,1.6
35,徳島県,1.53
36,香川県,1.63
37,愛媛県,1.53
38,高知県,1.51
39,福岡県,1.52
40,佐賀県,1.64
41,長崎県,1.67
42,熊本県,1.68
43,大分県,1.59
44,宮崎県,1.71
45,鹿児島県,1.7
46,沖縄県,1.96
47,全国,1.45
