,îNóÓ,ïΩê¨ÇQÇQÅiÇQÇOÇPÇOÅjîN,ïΩê¨ÇQÇRÅiÇQÇOÇPÇPÅjîN,ïΩê¨ÇQÇSÅiÇQÇOÇPÇQÅjîN,ïΩê¨ÇQÇTÅiÇQÇOÇPÇRÅjîN,ïΩê¨ÇQÇUÅiÇQÇOÇPÇSÅjîN,ïΩê¨ÇQÇVÅiÇQÇOÇPÇTÅjîN,ïΩê¨ÇQÇWÅiÇQÇOÇPÇUÅjîN,ïΩê¨ÇQÇXÅiÇQÇOÇPÇVÅjîN,ïΩê¨ÇRÇOÅiÇQÇOÇPÇWÅjîN,ïΩê¨ÇRÇPÅiÇQÇOÇPÇXÅjîN,ïΩê¨ÇRÇQÅiÇQÇOÇQÇOÅjîN,ïΩê¨ÇRÇVÅiÇQÇOÇQÇTÅjîN,ïΩê¨ÇSÇQÅiÇQÇOÇRÇOÅjîN,ïΩê¨ÇSÇVÅiÇQÇOÇRÇTÅjîN
0,ÇPÇTÅ`ÇPÇXçŒ,99.4,99.4,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3
1,ÇQÇOÅ`ÇQÇSçŒ,89.9,89.8,89.6,89.5,89.4,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3
2,ÇQÇTÅ`ÇQÇXçŒ,61.2,61.2,61.1,61.0,61.0,60.9,60.9,61.0,61.0,61.0,61.1,61.1,61.1,61.1
3,ÇRÇOÅ`ÇRÇSçŒ,35.5,35.3,35.1,34.9,34.7,34.4,34.5,34.6,34.7,34.7,34.8,35.4,35.5,35.5
4,ÇRÇTÅ`ÇRÇXçŒ,23.9,24.0,24.0,24.1,24.2,24.3,24.1,24.0,23.9,23.7,23.6,24.7,25.3,25.3
5,ÇSÇOÅ`ÇSÇSçŒ,18.1,18.5,18.9,19.3,19.7,20.1,20.2,20.2,20.3,20.3,20.3,19.9,21.1,21.6
6,ÇSÇTÅ`ÇSÇXçŒ,13.1,13.8,14.6,15.4,16.2,17.0,17.4,17.8,18.2,18.6,18.9,19.2,18.8,19.9
7,ÇTÇOÅ`ÇTÇSçŒ,9.0,9.8,10.5,11.3,12.0,12.7,13.4,14.2,15.0,15.8,16.6,18.5,18.7,18.4
8,ÇTÇTÅ`ÇTÇXçŒ,6.8,7.2,7.6,8.0,8.4,8.9,9.6,10.3,11.1,11.8,12.5,16.3,18.2,18.5
9,ÇUÇOÅ`ÇUÇSçŒ,5.8,5.9,6.1,6.3,6.5,6.7,7.0,7.4,7.9,8.3,8.7,12.3,16.1,18.0
10,ÇUÇTçŒà»è„,4.1,4.1,4.2,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.7,5.3,6.5,8.4
